"IM072236",,"INSERT FEMORAL CEMENTED 3 LEFT",10098.25
"IM072237",,"INSERT FEMORAL SIGMA CMNT 4LEFT",11582.75
"IM072238",,"INSERT FEMORAL CEMENTED 5 LEFT",10098.25
"IM072239",,"STEM FEMORAL CEMENTED 2.5 LEFT",8915
"IM072240",,"INSERT FEMORAL CEMENTED 4N LEFT",10098.25
"IM072241",,"INSERT FEMORAL CEMENTED 3 RIGHT",10098.25
"IM072242",,"INSERT FEMORAL CEMENTED 4 RIGHT",10098.25
"IM072243",,"INSERT FEMORAL CEMENTED 5 RIGHT",10098.25
"IM072244",,"INSERT FEMORAL CEMENTED 6 RIGHT",10098.25
"IM072245",,"INSERT FEMORAL CEMENTED 2.5 RIGHT",10098.25
"IM072246",,"INSERT FEMORAL CEMENTED 4N RIGHT",10098.25
"IM072247",,"SCREW TI 4.5MM 38MM",274.75
"IM072248",,"INSERT SIGMA PFC 8MM 1581-13-108",6311.5
"IM072249",,"INSERT SIGMA PFC 10MM 1581-13-110",6311.5
"IM072250",,"INSERT SIGMA PFC 12.5MM 1581-13-112",6311.5
"IM072251",,"INSERT SIGMA PFC 17.5MM 1581-13-117",6311.5
"IM072252",,"INSERT SIGMA PFC 10MM 1581-14-110",6311.5
"IM072253",,"INSERT SIGMA PFC 15MM 1581-14-115",6311.5
"IM072254",,"INSERT SIGMA PFC 12.5MM 1581-15-112",6311.5
"IM072255",,"INSERT SIGMA PFC 15MM 1581-15-115",6311.5
"IM072256",,"INSERT SIGMA PFC 17.5MM 1581-15-117",6311.5
"IM072257",,"TRAY TIBIAL SIGMA PFC 2 1581-20-000",8913.5
"IM072258",,"INSERT SIGMA PFC 2 10MM 1581-21-110",6311.5
"IM072259",,"INSERT SIGMA PFC 2.5 10MM 1581-22-110",6311.5
"IM072260",,"INSERT SIGMA PFC 2.5 12.6MM 1581-22-112",6311.5
"IM072261",,"INSERT SIGMA PFC 8MM 1581-23-108",6311.5
"IM072262",,"INSERT SIGMA PFC 10MM 1581-23-110",6311.5
"IM072263",,"INSERT SIGMA PFC SZ 312.5MM 1581-23-112",6311.5
"IM072264",,"INSERT SIGMA PFC 15MM SZ 3 1581-23-115",6311.5
"IM072265",,"INSERT SIGMA PFC 8MM 1581-24-108",5048.25
"IM072266",,"INSERT SIGMA PFC 10MM 1581-24-110",6311.5
"IM072267",,"INSERT SIGMA PFC 12.5MM 1581-24-112",6311.5
"IM072268",,"INSERT SIGMA PFC 15MM 1581-24-115",6311.5
"IM072269",,"TRAY TIBIAL SIGMA PFC 2.5 1581-25-000",8913.5
"IM072270",,"TRAY TIBIAL SIGMA PFC 8MM 1581-25-108",8913.5
"IM072271",,"TRAY TIBIAL SIGMA PFC 10MM 1581-25-110",8913.5
"IM072272",,"TRAY TIBIAL BEARING COCR 3 1581-30-000",8915
"IM072273",,"LINER ACETABULAR PINNACLE 32MMIDX50MMOD",4797.25
"IM072274",,"LINER ACETABULAR 32MMX52MM",6410.5
"IM072275",,"LINER ACETABULAR 32X48",6410.5
"IM072276",,"LINER ACETABULAR 36MMX52MM",6410.5
"IM072277",,"LINER ACETABULAR 36MMX54MM",6410.5
"IM072278",,"LINER ACETABULAR 36MMX56MM",6410.5
"IM072279",,"LINER ACETABULAR 36MMX58MM",6410.5
"IM072280",,"LINER ACETABULAR 36MMX62MM",6410.5
"IM072281",,"LINER ACETABULAR 36MMX52MM +4",6410.5
"IM072282",,"LINER ACETABULAR +4 10DG 36MM 56MM",7071.75
"IM072283",,"LINER ACETABULAR +4 10DG 36MM 58MM",7071.75
"IM072284",,"LINER ACETABULAR 36MMX60MM +4",6410.5
"IM072285",,"LINER ACETABULAR 36MM 58MM 1221-36-258",7071.75
"IM072286",,"TRAY TIBIAL BEARING COCR 4 1581-40-000",8915
"IM072287",,"TRAY TIBIAL BEARING COCR 5 1581-50-000",8915
"IM072288",,"LINER ACETABULAR DURALOC 20DG 28MM DEPUY",3196.75
"IM072289",,"STEM FEMORAL 12/14SZ5 120MM",17029
"IM072290",,"JOINT CAP - H1 BIPOLAR CEMENTED",13855.5
"IM072291",,"JOINT CAP - H2 BIPOLAR POROUS STEM",16322.75
"IM072292",,"JOINT CAP - UPGRADE GRIPTION",949
"IM072293",,"JOINT CAP - UPGRADE DELTA CERAMIC HEAD",949
"IM072294",,"JOINT CAP - H3 METAL ON POLY W/ALTRX",25110.25
"IM072295",,"JOINT CAP - H4 CERAMIC ON CERAMIC",26571.75
"IM072296",,"JOINT CAP - K1 FIXED BEARING CEMENT COCR",21855.25
"IM072297",,"JOINT CAP - K2 MOBILE BEARING CEMENTED",23573
"IM072298",,"JOINT CAP - K3 MOBILE BEARING ALL POROUS",25433
"IM072299",,"JOINT CAP - TRUMATCH CUTTING BLOCKS",4555.25
"IM072300",,"JOINT CAP - TRUMATCH PIN GUIDES",3700.75
"IM072301",,"JOINT CAP - H5 CERAMAX",26571.75
"IM072302",,"INSERT FEMORAL SIGMA SZ4 RGT 96-0014",11006
"IM072303",,"IMPLANT STRAIGHT 8  8/18 0SIZE",34607
"IM072304",,"STEM FEMORAL TRI-LOCK 12/14 SZ5 105MM",20284.75
"IM072305",,"STEM FEMORAL TRI-LOCK SZ0 HI OFFSET",20284.75
"IM072307",,"HEAD BIPOLAR 28MMX50MM",3115.25
"IM072308",,"HEAD BIPOLAR 28MMX51MM",3115.25
"IM072309",,"STEM FEMORAL 155MM/45MM/18.0",16860.25
"IM072311",,"INSERT FEMORAL LCS COMPLETE LFT STD SZ",10487.5
"IM072312",,"INSERT TIBIAL LCS COMPLETE 10MM STD+",5295.5
"IM072313",,"INSERT TIBIAL LCS COMPLETE 15MM STD+",5295.5
"IM072315",,"INSERT FEMORAL SIGMA SZ3 LM/RL",9814
"IM072317",,"PATELLA POLY LCS COMPLETE NO1294-09-550",3568.5
"IM072318",,"PATELLA LCS COMPLETE",4971.75
"IM072319",,"PATELLA LCS COMPLETE 1294-09-850",4971.75
"IM072321",,"TRAY TIBIAL MBT CEMENTED NO4",10487.5
"IM072322",,"TRAY TIBIAL ROTATING 2.5 CEMENTED",10473
"IM072323",,"TRAY TIBIAL ROTATING 3 CEMENTED",10473
"IM072324",,"TRAY TIBIAL ROTATING 4 CEMENTED",10473
"IM072325",,"TRAY TIBIAL ROTATING 5 CEMENTED",10473
"IM072326",,"TRAY TIBIAL REVISION SZ2 CEMENTED",23999.5
"IM072327",,"TRAY TIBIAL ROTATING SZ2.5 1294-35-125",22189
"IM072328",,"TRAY TIBIAL REVISION SZ3 CEMENTED",23999.5
"IM072329",,"TRAY TIBIAL ROTATING PLATFORM SZ4 CEMENT",22188.75
"IM072331",,"TRAY TIBIAL SIGMA SZ3 LM/RL",5958.5
"IM072335",,"SLEEVE FEMORAL CEMENTED 20MM",12344
"IM072337",,"INSERT FIXED BEARING LM/RL SZ3",5958.5
"IM072338",,"COMPONENT REVISION MBT METAPHYSEAL",13190.75
"IM072339",,"SLEEVE REVISION 37MM 1294-54-100",12196.25
"IM072346",,"HEAD FEMORAL 12/14 +1.5 28MM",2667
"IM072347",,"HEAD FEMORAL 28MM 12/14TAPER +5",4097
"IM072348",,"HEAD FEMORAL 28MM 12/14TAPER +8.5",4097
"IM072349",,"HEAD FEMORAL ARTICULEZE 32MM +1 12/14MM",2539.5
"IM072350",,"HEAD FEMORAL 32MM 12/14TAPER +5",4097
"IM072351",,"HEAD FEMORAL 32MM 12/14TAPER +13",4097
"IM072352",,"HEAD FEMORAL 28MM 12/14TAPER +8.5 #72348",10114.75
"IM072353",,"HEAD FEMORAL REVISION 32MM 12/14 +5",10725.25
"IM072354",,"HEAD FEMORAL REVISION 36MM +5 12/14 TA",10725.25
"IM072355",,"HEAD FEMORAL REVISION 36MM 8.5 12/14 TA",10725.25
"IM072356",,"HEAD FEMORAL REVISION 36MM +1.5 12/14 TA",10725.25
"IM072357",,"HEAD BIOPOLAR 28MM ID 43MM OD",4097
"IM072358",,"HEAD BIOPOLAR 28MM ID 44MM OD",4097
"IM072359",,"HEAD BIOPOLAR 28MM ID 45MM OD",4097
"IM072360",,"HEAD BIOPOLAR 28MM ID 48MM OD",4097
"IM072361",,"HEAD BIPOLAR 28MM 47MM 1035-47-000",2667
"IM072362",,"HEAD BIOPOLAR 28MM ID 48MM OD #72360",4097
"IM072363",,"HEAD BIOPOLAR 28MM ID 49MM OD",4097
"IM072364",,"HEAD FEMORAL 36MM 12/14TAPER -2",4097
"IM072365",,"HEAD FEMORAL 36MM 12/14TAPER +1.5",4097
"IM072366",,"HEAD FEMORAL 36MM 12/14TAPER +5",4097
"IM072367",,"HEAD BIPOLAR 28MM ID X 52MM OD",3115.25
"IM072368",,"HEAD FEMORAL 36MM 12/14TAPER +8.5",4097
"IM072369",,"HEAD BIPOLAR 28MMX54MM",3115.25
"IM072370",,"HEAD BIPOLAR 28MMX55MM",3115.25
"IM072371",,"HEAD BIPOLAR 28MMX56MM",3115.25
"IM072372",,"INSERT FEMORAL CEMENTED 4N RGHT",10098.25
"IM072373",,"INSERT FEMORAL CEMENTED 4N LEFT  01",10098.25
"IM072374",,"INSERT FEMORAL CEMENTED 3 LEFT #72236",10098.25
"IM072375",,"INSERT FEMORAL CEMENTED 4 LEFT",10098.25
"IM072377",,"CENTRALIZER STEM 12.0 #1376-21-000",582.5
"IM072378",,"INSERT FEMORAL HINGE LEFT XSMALL",29194
"IM072379",,"INSERT PREMIERON X-LINKED 44MM",11110.75
"IM072380",,"CENTRALIZER STEM 8.5MM 1376-46-000",2667
"IM072381",,"HEAD FEMORAL 36MM 12/14TAPER +5 #72366",4097
"IM072382",,"INSERT POSTERIOR STBLZR #4 AMK DEPUY",10098.25
"IM072383",,"STEM HUMERAL STANDARD 10MMX138MM",24168.25
"IM072384",,"HEAD HUMERAL 44MMX18MM",10112
"IM072386",,"STEM FEMORAL 12/14SZ4 140MM #72218",17029
"IM072388",,"SCREW BONE 65.MMX15MM DEPUY",971
"IM072389",,"SCREW BONE 65.MMX20MM DEPUY",971
"IM072390",,"CUP ACETABULAR PINNACLE SZ MM 50",6368.5
"IM072391",,"SHELL ACETABULAR 52MM 1217-22-052",6888.25
"IM072392",,"SHELL ACETABULAR 54MM 1217-22-054",6888.25
"IM072393",,"SHELL ACETABULAR 56MM 1217-22-056",6888.25
"IM072394",,"SHELL ACETABULAR 58MM 1217-22-058",6888.25
"IM072395",,"SHELL ACETABULAR 60MM 1217-22-060",6888.25
"IM072396",,"SHELL ACETABULAR 62MM 1217-22-062",6888.25
"IM072397",,"SCREW BONE 65.MMX25MM DEPUY",971
"IM072398",,"INSERT TIBIAL HINGE UNIVERSAL XSM 12MM",16418
"IM072399",,"SHELL ACETABULAR PINNACLE 6.5MMX25MM",14404.25
"IM072400",,"SHELL ACETABULAR PINNACLE 52MM 1217-30-0",14404.25
"IM072401",,"SHELL ACETABULAR PINNACLE 54MM 1217-30-0",14404.25
"IM072402",,"SHELL ACETABULAR PINNACLE 56MM 1217-30-0",14404.25
"IM072403",,"SHELL ACETABULAR 58MM OD 1217-30-058",13850
"IM072404",,"SHELL ACETABULAR PINNACLE 62MM 1217-30-0",14404.25
"IM072405",,"SCREW BONE 65.MMX30MM DEPUY",971
"IM072406",,"SCREW BONE 65.MMX35MM DEPUY",971
"IM072407",,"SCREW BONE 65.MMX40MM DEPUY",971
"IM072408",,"SCREW BONE 65.MMX45MM DEPUY",971
"IM072411",,"TRAY TIBIAL BEARING COCR 2.5 1581-26-000",8915
"IM072412",,"PATELLA DOME MEDIALIZED 38MM",5062
"IM072414",,"LINER ACETABULAR GVF 32MM52MM",18614.5
"IM072415",,"HEAD FEMORAL 14/16 TAPER +11",6754.25
"IM072416",,"HEAD HUMERAL 48MMX15MM",10112
"IM072417",,"HEAD HUMERAL 52MMX18MM",10307.75
"IM072418",,"STEM MODULAR CEMENTED 13X30",7546.25
"IM072419",,"STEM FLUTED UNIVERSAL 75MMX12MM",7546.25
"IM072420",,"STEM FLUTED UNIVERSAL 75MMX14MM",7546.25
"IM072421",,"STEM FLUTED UNIVERSAL 75MMX16MM",7546.25
"IM072422",,"STEM UNIVERSAL FLUTED 75MMX18MM",7546.25
"IM072423",,"STEM UNIVERSAL FLUTED 75MMX20MM",7546.25
"IM072424",,"STEM UNIVERSAL FLUTED 115MMX18MM",6980.75
"IM072425",,"STEM UNIVERSAL FLUTED 115MMX20MM",6980.75
"IM072426",,"INSERT FEMORAL SIGMA SZ4 LEFT 94-0014",11006
"IM072427",,"INSERT FEMORAL SIGMA SZ3 LEFT 96-0003",11006
"IM072428",,"INSERT FEMORAL SIGMA SZ4 LFT 96-0004",11006
"IM072429",,"INSERT FEMORAL SIGMA SZ5 LFT 96-0005",11006
"IM072430",,"INSERT FEMORAL SIGMA SZ3 RGT 96-0013",11006
"IM072431",,"NAIL LEFN 10MMX360MM",6178.5
"IM072432",,"INSERT FEMORAL SIGMA SZ5 RGT 96-0015",11006
"IM072433",,"INSERT FEMORAL SZ2.5 LEFT 96-0086",26538.25
"IM072434",,"INSERT FEMORAL SZ2 LEFT 96-0087",26538.25
"IM072435",,"COMPONENT FEMORAL TC3 SZ3 RGHT",28701.25
"IM072436",,"COMPONENT FEMORAL TC3 SZ4 RGHT",28701.25
"IM072437",,"INSERT FEMORAL SZ5 RIGHT 96-0090",26537.25
"IM072438",,"PATELLA DOME OVAL 3PEG 32MM 96-0100",2742
"IM072439",,"PATELLA DOME OVAL 3PEG 35MM 96-0101",2742
"IM072440",,"PATELLA DOME OVAL 3PEG 38MM 96-0102",2742
"IM072441",,"PATELLA DOME OVAL 3PEG 41MM 96-0103",2742
"IM072442",,"ADAPTER FEMORAL 5DG 96-0781",4922.5
"IM072443",,"BOLT FEMORAL ADAPTER NEUTRAL",1503
"IM072444",,"BOLT FEMORAL ADAPTER +2/-2",1503
"IM072445",,"INSERT DISTAL AUGMENT COMBO 2 4MM",4551
"IM072446",,"INSERT DISTAL AUGMENT COMBO 2.4 4MM",4551
"IM072447",,"INSERT DISTAL AUGMENT COMBO 2.4 8MM",4551
"IM072448",,"INSERT POSTERIOR AUGMENT COMBO 2.4 4MM",4551
"IM072449",,"COMPONENT AUGMENT DISTAL SZ2 4MM RGHT",4922.5
"IM072450",,"COMPONENT AUGMENT COMBO SZ3 4MM",4922.5
"IM072451",,"COMPONENT AUGMENT COMBO SZ4 4MM",4922.5
"IM072452",,"INSERT TIBIAL ROTATING PLATFORM 3, 15MM",7546.25
"IM072453",,"INSERT TIBIAL ROTATING #2 10MM",5777.5
"IM072454",,"INSERT TIBIAL ROTATING #2.5 15MM",5777.5
"IM072455",,"INSERT TIBIAL ROTATING #3 10MM",5777.5
"IM072456",,"INSERT TIBIAL ROTATING #3 12.5MM",5777.5
"IM072457",,"INSERT TIBIAL ROTATING #3 17.5MM",6205
"IM072458",,"INSERT TIBIAL ROTATING #4 10MM",5777.5
"IM072459",,"GUIDEWIRE 2.5MM BALL TIP",274.75
"IM072460",,"INSERT TIBIAL ROTATING #5 10MM",5777.5
"IM072461",,"PLATFORM TIBIAL ROTATING 17.5MM",6980.75
"IM072462",,"INSERT TIBIAL ROTATING 2 12.5MM 96-2322",11913
"IM072463",,"INSERT TIBIAL ROTATING 2.5 20MM 96-2335",11913
"IM072464",,"INSERT TIBIAL SIGMA SZ3 17.5MM 96-2344",11912.75
"IM072465",,"INSERT TIBIAL ROTATING 3 20MM 96-2345",11913
"IM072466",,"INSERT TIBIAL CURVED SZ3 12.5MM",6283.75
"IM072566",,"GRAFT VASCULAR NO.RS47050 PTFE 4X7X50",1698.5
"IM072623",,"KIT ADIANA A600",2668.75
"IM072624",,"US VABB MARKER TISSUE BIOPSY TRIMART #72625",68
"IM072625",,"US VABB MARKER TISSUE BIOPSY TRIMART",320
"IM072630",,"KIT NOVASURE NS2007",5009
"IM072661",,"WIRE GUIDE HEMI SMOOTH .062 X4",143
"IM072662",,"IMPLANT HEMI CANNULATED SMALL 17MM",4389.25
"IM072674",,"SCREW CORTICAL 2.7MMX20MM 32271-20",472.25
"IM072675",,"BIT DRILL 3.5MMX110MM DB35-110",403.75
"IM072676",,"WIRE KIRSHNER 1.6MMX102MM KW16-102",403.75
"IM072677",,"BIT DRILL 2.0MMX100MM DB20-100",403.75
"IM072678",,"PLATE PRL LEFT LARGE 4HOLE 210264",4101.75
"IM072679",,"SCREW CORTICAL 2.7MMX16MM 32271-16",472.25
"IM072680",,"SCREW CORTICAL 3.5MMX22MM 32351-22",472.25
"IM072681",,"SCREW CORTICAL 3.5MMX24MM 32351-24",472.25
"IM072682",,"BIT DRILL 2.7MMX100MM DB27-100",403.75
"IM072683",,"SCREW CANCELLOUS 3.0MMX14MM LOCKING",1224.75
"IM072684",,"SCREW CANCELLOUS 3.0MMX16MM LOCKING",1224.75
"IM072685",,"SCREW CANCELLOUS 3.0MMX18MM LOCKING",1224.75
"IM072686",,"SCREW CANCELLOUS 3.0MMX20MM LOCKING",1224.75
"IM072689",,"MESH PHYSIO 10X15 OVAL PHY1015V",2684.5
"IM072690",,"MESH PHYSIO 15X20 RECTANGLE PHY1520R",3809.75
"IM072692",,"SCREW LOCKING 3.5MM 40MM",560.75
"IM072693",,"ANCHOR BIOKNOTLESS SZ1 212724",1013.5
"IM072706",,"TUBING Y ENDOMAT NO.20300068 KARL STORZ",62
"IM072753",,"SCREW LOCKING 3.5MM 26MM",560.75
"IM072806",,"CATHETER DIALYSIS MAXID 23-43 DL LMN",1039.25
"IM072852",,"SHUNT CRTD NO.400-40-8F PRUITT 8FR",1171.75
"IM072854",,"SHUNT CRTD NO.400-40-9F PRUITT 9FR",1420.5
"IM072860",,"ALLOGRAFT FACIA LATA NO.FLL LG",3299
"IM072861",,"GRAFT BONE IC CHAMBER 5CC NOGDS005",1712.5
"IM072862",,"GRAFT BONE PUTTY 5CC NOAPUT05",2591.75
"IM072863",,"ALLOGRAFT FACIA LATA NO.FLM MED",1666
"IM072864",,"WEDGE ILIAC CREST 25MM NOICW2.5",3395.5
"IM072865",,"CHIP BONE CORTICOCANCELLOUS NOCC .5",1438
"IM072866",,"IM-CHIPS BONE GRAFT CANCELLOUS 60CC",2485.25
"IM072867",,"GRAFT PLUG ALLOGRAFT 10X16 NOFCPD10",1208
"IM072869",,"GRAFT GRACILIS TENDON NOFGRACILIS",3715.75
"IM072870",,"GRAFT SEMITENDINOSUS TENDON NOFSTP",3509.5
"IM072871",,"TIBIAL 200MM MATRIGRAFT NOFTS FROZEN",3509.5
"IM072885",,"SUTURE MONOGLIDE 2-0 #021030",1140.5
"IM072886",,"PLATE TIBIAL 2.7/3.5 6H LEFT #72886",6782.5
"IM072887",,"MANIPULATOR UTERINE FORNISEE LIGHTED",947.5
"IM072932",,"GRAFT VASCULAR HMSHLD NO.095220 KNT20X30",1995.25
"IM072956",,"CATHETER ASHSPLIT NO.ASPC28 28FR",1915.25
"IM072957",,"CATHETER ASHSPLIT NO.ASPC24 24FR",1915.25
"IM072958",,"CATHETER SINGLE PRO LINE 6FR MR28036101",768.75
"IM072959",,"KIT REPAIR CATHETER ASH SPLIT MEDCOMP",311
"IM072983",,"PLATE FIBULA 2.7 6H LEFT",6782.5
"IM072989",,"BASE TIBIAL ATTUNE SZ4 CEM",19144.25
"IM073002",,"STEM ATTUNE CEMENTED 14X50MM",11817
"IM073020",,"CIRCUIT ANES PED 1 LTR L/F",42.75
"IM073021",,"CIRCUIT ANES PED 2 LTR L/F",42.75
"IM073050",,"TUBE MORETZ NO.1056705",89
"IM073051",,"TUBE ARMSTRONG BEVELED GROMMET 10-10035",95.5
"IM073052",,"TUBE VENT NO.1016030 UMBRELLA",88.75
"IM073058",,"TUBE VENT ARMSTRONG ID-1.14/IFD-3.5",166
"IM073059",,"CAGE PCR 8X22MM 4200077 SOFAMOR DANEK",8044.25
"IM073062",,"ROD 5CM 8371050 SOFAMOR DANEK",1105.75
"IM073063",,"CONNECTOR SMALL 8379130C SOFAMOR DANEK",3258.5
"IM073066",,"BIT DRILL 13MM 8796012 SOFAMOR DANEK",1054
"IM073067",,"SCREW 6.4X40MM 837-640 SOFAMOR DANEK",1216
"IM073068",,"SCREW 7.5X35MM 837-735 SOFAMOR DANEK",1462.75
"IM073073",,"LEAD NO.506845 MEDTRNIC CAPSREFIX BIPLR",4729.75
"IM073075",,"LEAD NO.459253 CAPSURE SP NOVUS",3395.25
"IM073076",,"LEAD NO.456845 CAPSURE SP NOVUS",3395.25
"IM073077",,"LEAD NO.459245 CAPSURE SP NOVUS",3395.25
"IM073079",,"LEAD NO.556845 MEDTRNC CPSREFIX BIPLR",4729.75
"IM073080",,"LEAD NO.505452 MEDTRNIC CAPSURE Z NOVUS",4729.75
"IM073081",,"LEAD NO.555445 MEDTRNC CAPSREFIX BIPLR",4729.75
"IM073097",,"RECORDER REVEAL LOOP NO9526",15036
"IM073111",,"TUBE EAR VENT NO16191",271.25
"IM073118",,"CEMENT ACTIVOS KYPHON",1252.25
"IM073120",,"GENERATOR PRIME ADVANCED NO37702",44686.5
"IM073121",,"LEAD KIT MEDTRONIC NO3778-60",7500
"IM073122",,"STIMULATOR PAIN MGMT TEMP 3875-45",4362
"IM073123",,"LEAD ATRIAL CAPSURE SPNOVUS 5592-45",3295.75
"IM073126",,"MANAGER PATIENT THERAPY NO8835",3138.5
"IM073157",,"STRIP BONE SM 271460",893
"IM073158",,"BLOCK ILIUM NO.310115 MED TRICORTICAL",3230.25
"IM073159",,"OSTEO-FILL 002710 10CC SYRINGE",6397.75
"IM073160",,"CHIP BONE 110160 CRTCL CNCLS 60CC",2454
"IM073161",,"CHIP BONE 110190 CRTCL CNCLS 90CC",2454
"IM073162",,"CHIP BONE 111590 CRTCL CNCLS 90CC",4125.75
"IM073163",,"SHAFT FEMORAL 632120 HEMI MIDATLANTIC",2381.75
"IM073170",,"ANCHOR ROTATOR CUFF NO.212315 MITEK",1021
"IM073172",,"ANCHOR HEALIX BR 4.5 222229",1050.5
"IM073187",,"ALLOGRAFT PLIF SPACCER 004809 9MM",7308
"IM073188",,"PUTTY BONE DBX 5.0CC",4146.75
"IM073189",,"PUTTY BONE DBX 10.0CC",6343.25
"IM073190",,"PUTTY BONE DBX 2.5CC",2258
"IM073199",,"SCHELERA TISSUE WHOLE PIECE NC",880.25
"IM073267",,"SHUNT EXPRESS R50 TRABECULECTOMY #40053",2494.5
"IM073338",,"MESH PROLENE 1X4 SURGIPRO MONOFILAMENT",431.75
"IM073344",,"INSERT ATTUNE SZ5 16MM",11817
"IM073384",,"MESH PARIETENE MACRO 15X10CMX3",384.25
"IM073437",,"SPRAY CAVILON NO STING BARR FILM",51.75
"IM073471",,"TUBE GASTROSTOMY 22FR",108.5
"IM073743",,"TUBE GASTROSTOMY 18FR #2960",108.5
"IM074902",,"TUBE GASTRIC-ENTERIC MIC 24FR NO0210-24",993
"IM075036",,"MESH PARIETENE MACRO 15X7.5CMX3",384.25
"IM075088",,"ELECTRODE PACING M SERIES",74
"IM075882",,"MARKER CT BIOPSY STRIP",200
"IM076062",,"IMPLANT MAGNUM PI",2897.75
"IM076072",,"POST FIXATION 4.5X30 SN#013141",546
"IM076073",,"POST FIXATION 4.5X35 SN#013142",546
"IM076074",,"FIXATION POST 4.5X40MM 013143",546
"IM076077",,"KIT ACCESSORY CRUCIATE RAPPAC NO014725",1038.5
"IM076078",,"SUTURE ENDOBUTTON 15MM NO7209352",884.75
"IM076079",,"SPEEDLOCK S&N OM-7500",1846
"IM076088",,"ANCHOR SUTURE ULTRABRD 72200887",104.5
"IM076092",,"ANCHOR SUTURE TWINFIX 5.5 W/THREE SUTURE",777.5
"IM076094",,"SCREW BIOSURE 7X20 SN#72201771",953.5
"IM076097",,"GUIDEWIRE 1.5 SN#72202189",1176.75
"IM076098",,"FAST FIX 360 72202468",546
"IM076099",,"BONECUTTER FULL RADIUS 5.5MM",515
"IM076100",,"BONECUTTER FULL RADIUS 4.5MM",515
"IM076101",,"ANCHOR SUTURE TWINFIX 5.5",1163.25
"IM076102",,"ANCHOR SUTURE TWINFIX 6.5",1163.25
"IM076103",,"AWL TAPERED 3.8 72202621",296.25
"IM076104",,"RAP PAC 1.2 SN#72202798",898.5
"IM076105",,"BLADE INCISOR+ 4.5 PLATINUM 72203013",515
"IM076107",,"ANCHOR SUTURE HELICOIL 4.5 72203378",1441
"IM076108",,"ANCHOR SUTURE HELICOIL  72203705",1441
"IM076109",,"ANCHOR SUTURE HELICOIL  72203707",1441
"IM076110",,"HELICOIL 4.7 AWL W/TAP 72203951",898.5
"IM076111",,"SCREW BIOSURE 10X25 72204408",1441
"IM076112",,"SYSTEM FAST FIX ABSORBABLE NO7209399",1184.75
"IM076128",,"SCREW TIBIAL ANCHOR 9X25 ST NO7207186",546
"IM076130",,"CANNULA SCREW 8MM SN 7207228",153.25
"IM076131",,"BIT DRILL CANNULATED 4.5MM NO7207315",546
"IM076132",,"ENDOBUTTON CL 20MM NO7207323 W/ SUTURE",893.5
"IM076133",,"ENDOBUTTON CL 45MM NO7207328 W/ SUTURE",893.5
"IM076134",,"SCREW BIORCI 9MMX25MM NO7207563",1177
"IM076135",,"WASHER SPIKED ACUFEX 17X6 NO7207725",546
"IM076136",,"GUIDEWIRE 2.4 SN#7208678",1176.75
"IM076137",,"SCREW BIORCH-HA 8X20 ST NO7209012",1176.75
"IM076138",,"SCREW BIORCI 10MMX30MM NO7209017",1177
"IM076141",,"RETRIEVER SUTURE ARTHROSCOPIC",196.25
"IM076142",,"ANCHOR SUTURE TWINFIX AB5.0 NO7209300",1008.75
"IM076143",,"BIT DRILL CANNULATED 5.0MM NO7209502",546
"IM076147",,"ENDOBUTTON CL SN#7210088",898.5
"IM076154",,"SCREW TWINFIX TI 5.O PRELOADED NO7210181",1037.25
"IM076155",,"SCREW TWINFIX TI 3.5 PRELOADED NO7210182",1037.25
"IM076156",,"BIT DRILL CANNULATED 6.5MM NO7210215",546
"IM076157",,"ANCHOR SUTURE QUICKFIX 5.O NO7210300",1008.75
"IM076158",,"SUTURE ACCUPASS 70DG UPBEND 72200419",840.5
"IM076159",,"SUTURE ACCU-PASS LEFT 45 7210423",477.25
"IM076160",,"MASK FACE TENET 7210559",301.75
"IM076161",,"SUTURE TWINFIX ANCHOR W/SUTURE 5.0",668
"IM076163",,"ANCHOR SUTURE ULTRABRD #2 7210914",104.5
"IM076165",,"SCREW BIOSURE 9X25 SN#72201781",953.5
"IM076166",,"SCREW BIOSURE 9X20 SN#72201780",953.5
"IM076167",,"BUTTON ULTRA 72290001",953.5
"IM076168",,"BUTTON ULTRA 72290003",953.5
"IM076173",,"SCREW BIOSURE 6X20 SN#72201768",953.5
"IM076174",,"SCREW BIOSURE 8X20 SN#72201775",953.5
"IM076175",,"SUTURE WHIPKNOT NO7210230",546
"IM076177",,"NAIL ENDERS 3.5MMX22CM W SUTURE HOLE",294.75
"IM076188",,"MASK AIRWAY CPAP RESCUER LG ADULT",202.5
"IM076189",,"MASK AIRWAY CPAP RESCUER MED ADULT",202.5
"IM076190",,"MASK AIRWAY CPAP RESCUER II LG ADULT",202.5
"IM076194",,"LENS STAAR TORIC ALL SIZES",0.01
"IM076249",,"INSERT TIBIAL 10MM #7 SCORPIO FLEX",10630.5
"IM076317",,"STAPLE EPIPHYSEAL BLNT 10X22 6985-0-003",520
"IM076318",,"STAPLE EPIPHYSEAL BLNT 16X22 6985-0-005",520
"IM076319",,"STAPLE EPIPHYSEAL BLNT 12X22 6985-0-007",520
"IM076338",,"TROCAR 2.8MM 312.02",1164
"IM076371",,"IRON BENDING PLATES 329.04",2010
"IM076372",,"IRON BENDING PLATES 329.05",2010
"IM076440",,"PLATE CONDYLAR CURVED 10HX242MM LEFT",7131.5
"IM076441",,"PLATE CONDYLAR CURVED 12HX278MM LEFT",7131.5
