"Procedure Record Name","Unit Charge"
"HC BUN BLOOD UREA NITROGEN","59.00"
"HC BUPRENORPHINE","77.00"
"HC BUTTON TRACH","400.00"
"HC BX ABD RETROPERIT LYMPH PERC","2299.00"
"HC BX ADRENAL INPT","3569.00"
"HC BX ARM UPPER/ELBOW SUPERFICAL","3722.00"
"HC BX BONE TROCAR NEEDLE DEEP","2792.00"
"HC BX BONE TROCAR NEEDLE SUPER","1935.00"
"HC BX CRVX SNGL/MULTI LOC EXC WOW FULG","2082.00"
"HC BX LIVER PERC","2548.00"
"HC BX LUNG MEDIASTIN PERC NEEDLE","1325.00"
"HC BX LYMPH NODE PERC W IMAGING","1339.00"
"HC BX MUSCLE PERC","2395.00"
"HC BX NAIL UNIT","1685.00"
"HC BX PANCREAS PERC NEEDLE","2218.00"
"HC BX PLEURA PERC NEEDLE","2222.00"
"HC BX PROSTATE NDL/PUNCH SNG/MULTI ANY APPR","5141.00"
"HC BX RENAL PERC","2795.00"
"HC BX SOFT TISSUE BACK/FLANK SUP","1901.00"
"HC BX SOFT TISSUE BACK/FLNK DEEP","5192.00"
"HC BX SOFT TISSUE NECK OR THORAX","1882.00"
"HC BX SOFT TISSUE SHOULDER, SUPF","1610.00"
"HC BX SOFT TISSUE THIGH/KNEE DEEP","5403.00"
"HC BX THYROID","1731.00"
"HC BX TRANSCATHETER","1715.00"
"HC BX VALVA/PERINEUM EA ADDL LESION","216.00"
"HC BX VULVA/PERINEUM 1 LESION","862.00"
"HC C DIFF AMPLIFIED PROBE","141.00"
"HC C PEPTIDE","163.00"
"HC C PNEUMONIAE AMPLIFIED PROBE","202.00"
"HC C REACTIVE PROTEIN","102.00"
"HC C SECTION EACH ADD NEONATE","1368.00"
"HC CABLE (HEX.OCT.DECA) 401972","445.00"
"HC CABLE 10 5454S","448.00"
"HC CABLE 10 PIN BLACK 401885","445.00"
"HC CABLE 34 PN RD TO 25 PN RD 10FT","1117.00"
"HC CABLE 4 PIN BLUE 401981","329.00"
"HC CABLE 4 PIN RED","329.00"
"HC CABLE ABLATION 85641","537.00"
"HC CABLE ABLATION CRYO 2035U","663.00"
"HC CABLE EXTENSION TOPERA FIRMAP","2385.00"
"HC CABLE FAN-OUT TOPERA FIRMAP","2168.00"
"HC CABLE R/F CONNECTOR","155.00"
"HC CABLE TEMP 3F ABLATION 651","716.00"
"HC CADMIUM","177.00"
"HC CAGE STEALTH CERVICAL PEEK 6MM DP10-1416607","1982.00"
"HC CALCITONIN","196.00"
"HC CALCIUM IONIZED","153.00"
"HC CALCIUM TOTAL","63.00"
"HC CALCIUM URINE QUANT TIMED SPEC","84.00"
"HC CALCULUS INFRARED SPECTROSCOPY","141.00"
"HC CALPROTECTIN FECAL","83.00"
"HC CANALITH REPOSITIONING","118.00"
"HC CANDIDA ANTIBODY","46.00"
"HC CANDIDA DNA AMP PROBE","130.00"
"HC CANDIDA DNA DIR PROBE","77.00"
"HC CANNABINOID SYNTHETIC 7 OR MORE","41.00"
"HC CANNABINOIDS NATURAL","41.00"
"HC CANNABINOIDS SYNTHETIC 1-3","41.00"
"HC CANNABINOIDS SYNTHETIC 4-6","41.00"
"HC CANNISTER RENASYS EZ PLUS 800ML","104.00"
"HC CAR ION CHNNLPATH INC 10 GNS","2926.00"
"HC CAR ION CHNNLPATH INC 2 GNS","2926.00"
"HC CAR SEAT CHALLENGE EACH ADD'L 30 MINS","108.00"
"HC CAR SEAT CHALLENGE INITIAL 60MIN","217.00"
"HC CARBAMAZEPINE FREE","77.00"
"HC CARBAMAZEPINE TOTAL","150.00"
"HC CARBOHYDRATE DEF TRANSFERRIN","96.00"
"HC CARBON DIOXIDE BICARBONATE C02","36.00"
"HC CARBON MONOXIDE ASSAY BLOOD","72.00"
"HC CARCINOEMBRYONIC ANTIGEN CEA","181.00"
"HC CARDIAC DIAGNOSTIC","63.00"
"HC CARDIAC EVENT RECORDING 30 DAY","400.00"
"HC CARDIAC REHAB PHASE II","325.00"
"HC CARDIAC REHAB PHASE II W/O CONT ECG","325.00"
"HC CARDIAC SUTURE","95.00"
"HC CARDIOLIPIN ANTIBODY EACH","200.00"
"HC CARDIOLOGY HOURLY CARVE OUT","63.00"
"HC CARDIOPULM EXERC TEST","1086.00"
"HC CARDIOPULMONARY RESUSCITATION","773.00"
"HC CARDIOVERSION ELECTIVE","1167.00"
"HC CARDIOVERSION INTERNAL","1471.00"
"HC CARNITINE TOTAL AND FREE QUANT","245.00"
"HC CAROTENE","91.00"
"HC CAROTID CEREBRAL BILAT","17023.00"
"HC CAROTID CEREBRAL UNILAT","11348.00"
"HC CAROTID COMMON CEREB OR INNOM BILAT","10409.00"
"HC CAROTID INTRACRANIAL INT VERT","521.00"
"HC CARPAL FRACT W/O MANIPULATION","345.00"
"HC CARPAL SAPH NAV FRACT W/O","345.00"
"HC CAST AIR UNIVERSAL","117.00"
"HC CAST APPL RIGID CONTACT TOTAL","591.00"
"HC CAST APPL RIGID CONTACT TOTAL BILAT","1035.00"
"HC CASTING/STRAPPING PROCEDURE","296.00"
"HC CATECHOLAMINES FRACTIONATED","222.00"
"HC CATH 2L 12FR HDL/PERIT","191.00"
"HC CATH 4.5FR PICC KIT SNGL VAXCEL","354.00"
"HC CATH 4FR CRD 401891","729.00"
"HC CATH 5FR 65CM PIGTAIL SIZING","257.00"
"HC CATH 5FR CRD 2 401860","512.00"
"HC CATH 5FR JSN 401443","512.00"
"HC CATH 5FR PICC KIT DUAL VAXCEL","512.00"
"HC CATH 6FR CS 401381","1236.00"
"HC CATH 8M NAVSTAR NS7TCD8L174HS","8765.00"
"HC CATH ABLA COAX LEV 3.0","2014.00"
"HC CATH ABLATION 4MM THERM MED CURVE","1457.00"
"HC CATH ABLATION 8MM","3244.00"
"HC CATH ABLATION COOL PATH MED 83326","3074.00"
"HC CATH ABLATION DUAL 8MM THERM LG CURVE","1972.00"
"HC CATH ABLATION EPT ALL SIZES","1821.00"
"HC CATH ABLATION FLEXABILITY BI-D CURVE","3797.00"
"HC CATH ABLATION NAVISTAR DS 7FR QUADRIPOLAR 8MM F CURVE 115CM","5724.00"
"HC CATH ABLATION THRPY LRG CURL IRR","3074.00"
"HC CATH ABLATION THRPY MED CURL IRR","3074.00"
"HC CATH ABLATION THRPY SM CURL IRRIG","3074.00"
"HC CATH ACUNAV 8F 10135936 REPROCESSED","2710.00"
"HC CATH ACUNAV ULTRASOUND","6375.00"
"HC CATH ADVISOR FL SENSOR ENABLED","3469.00"
"HC CATH ADVISOR SENSOR ENABLED BI-D HD MAPPING","4774.00"
"HC CATH ANGIO SPIROFLEX THROMBECTOMY","4372.00"
"HC CATH ANGIOGRAPHIC KUMPE SOFT-VU 5FR","84.00"
"HC CATH ANGIOJET DVX THROMBECTOMY UL","3544.00"
"HC CATH ANGIOJET SPIROFLEX VG THROMB","4372.00"
"HC CATH ANGIOJET XMI THROMB SET","3537.00"
"HC CATH ANGIOJET XPEDIOR THROMBECTOM","3043.00"
"HC CATH ANGIOJET XVG THROMBECTOMY UL","4121.00"
"HC CATH APD","133.00"
"HC CATH APDL","117.00"
"HC CATH ARTERIAL LINE 18 GA PTFE KIT","98.00"
"HC CATH ARTERIAL LINE 20 GA PTFE KIT","49.00"
"HC CATH ARTERY SET FA04020","60.00"
"HC CATH ARTHRCTMY IMG GUIDE DIRECT 7FRX.014IN X110CMTO8FRX.014INX110CM","10831.00"
"HC CATH ARTHRECTOMY TURBO ELITE LASER RX 2.0MM X 150CM","5844.00"
"HC CATH ATHER ALL PATHWAYS","7410.00"
"HC CATH ATTAIN COMMAND 6250-AM","681.00"
"HC CATH ATTAIN GUIDE VEN LDS KIT","191.00"
"HC CATH ATTAN GUIDE LEAD LDS KIT","1074.00"
"HC CATH BALL DIL STERLING SL 2MMX100MMX150CM TO 3.5MMX100MMX150CM","956.00"
"HC CATH BALL DIL STERLING SL2.5MMX150MMX150CM TO 4MMX150MMX150CM","1052.00"
"HC CATH BALL DILATATION STERLING 3MM X 40MM X 135CM TO 10MM X 40MM X 135CM","956.00"
"HC CATH BALLOON BRIDGE OCCLUSION 590-001","2106.00"
"HC CATH BALLOON DILATATION STERLING 2MM X 120MM X 150CM","956.00"
"HC CATH BALLOON DILATATION STERLING 2MM X 60MM X 150CM TO 6MM X 60MM X150CM","956.00"
"HC CATH BALLOON DILATATION STERLING 2MMX220MMX150CM TO 4MMX220MMX150CM","1023.00"
"HC CATH BALLOON DILATATION STERLING 5MM X 200MM X 150CM","1023.00"
"HC CATH BALLOON DILATATION STERLING 5MMX120MMX150CM TO 6MMX120MMX150CM","1052.00"
"HC CATH BALLOON DILATATION STERLING 5MMX150MMX150CM TO 6MMX150MMX150CM","1052.00"
"HC CATH BALLOON DILATATION STERLING 6MMX80MMX135CM TO 10MMX80MMX135CM","956.00"
"HC CATH BALLOON DILATATION STERLING 8MMX60MMX135CM TO 10MMX60MMX135CM","956.00"
"HC CATH BALLOON DILATATION STERLING SL 2.5MMX120MMX150CM","956.00"
"HC CATH BALLOON INOUE 28MM","4987.00"
"HC CATH BALLOON PACING.","446.00"
"HC CATH BALLOON SENSATION PLUS 7.5FR FIBEROPTIC IAB 40CC 0684-00-0568-01U","2245.00"
"HC CATH BALLOON TRI-LOBE GORE BCL2645","1487.00"
"HC CATH BALLOON WDG PRESSURE","181.00"
"HC CATH BLUE THERM 7FR","1861.00"
"HC CATH BODY REPAIR 7742000","537.00"
"HC CATH CAMINO 110-4G EACH","1438.00"
"HC CATH CARD DIAG MULTIPACK","233.00"
"HC CATH CARDIAC DIAGNOSTIC","63.00"
"HC CATH CEN VEN MULTILUMEN KIT","22.00"
"HC CATH CEREBRAL 5F","166.00"
"HC CATH CHOLANGIOGRAM W NEEDLE STIFF","322.00"
"HC CATH CLOSED SYSTEM 14FR","11.00"
"HC CATH CLOSUREFAST 6FR X 12CM","1487.00"
"HC CATH COOL LN 9.3FR 22CM TRP L","1115.00"
"HC CATH CORONARY DIAMONDBACK CLASSIC 360","8229.00"
"HC CATH COUDE 12FR 5CC","53.00"
"HC CATH COUDE 14-30CC","88.00"
"HC CATH COUDE 14-5CC","52.00"
"HC CATH COUDE 16-30CC","63.00"
"HC CATH COUDE 16-5CC","52.00"
"HC CATH COUDE 18-30CC","56.00"
"HC CATH COUDE 18-5CC","52.00"
"HC CATH COUDE URETHRAL","191.00"
"HC CATH COUNCIL 16FR 5CC","88.00"
"HC CATH COUNCIL 18FR 5CC","88.00"
"HC CATH COUNCIL 20FR 5CC","87.00"
"HC CATH COUNCIL 22FR 5CC","87.00"
"HC CATH CRISTA","2565.00"
"HC CATH CROSSBOSS US","2960.00"
"HC CATH CS BI-DIRECTIONAL POLE FJ BD710FJ282RTS","1712.00"
"HC CATH CTO CROSS IMG GUIDE OCELOT MVRX W/WEDGE TIP 6FRX.014INCHX110CM","8663.00"
"HC CATH CTO CROSS IMG GUIDE OCELOT PIXL W/FLUTE TIP 5FRX.014INCHX135CM","8663.00"
"HC CATH CTO CROSS IMG GUIDE OCELOT W/FLUTED TIP 6FR X .014INCH X 110CM","8663.00"
"HC CATH CTO CROSSING KITTYCAT2 5FR X .014INCH X 150CM W550","5410.00"
"HC CATH CTO CROSSING WILDCAT 6FR X .035INCH X 110CM W400","5410.00"
"HC CATH CUTTING BALLOON","1859.00"
"HC CATH CV MULTI LUMEN 7FR AK45703","402.00"
"HC CATH CVP 7F BLUE FLEX-TIP KIT","211.00"
"HC CATH CVP MULTILUMEN INDWELING KIT","171.00"
"HC CATH CXI SUPPORT CATH ALL SZS","613.00"
"HC CATH DAIG 4FR JSN 401890","729.00"
"HC CATH DAIG 5FR CS 401864","1236.00"
"HC CATH DAIG 7FR DUO DECA 401904","2576.00"
"HC CATH DEFECTABLE GUIDE","1442.00"
"HC CATH DIAGNOSTIC","63.00"
"HC CATH DIAGNOSTIC ULTIMATE RADIAL","392.00"
"HC CATH DIALY ALL ARROW CATHS","1091.00"
"HC CATH DIALY ALL DURAMAX","817.00"
"HC CATH DIALY ALL HEMOSPLITS","1108.00"
"HC CATH DIALY ALL PALINDROME","1108.00"
"HC CATH DIALY ALL TEMP ARROW","1139.00"
"HC CATH DIALYSIS ALL GLIDEPATH","972.00"
"HC CATH DIALYSIS SHORT TERM DOUBLE LUMEN CURVED 13FR X 24CM","447.00"
"HC CATH DIALYSIS SHORT TERM DOUBLE LUMEN STRAIGHT 13FR X 20CM","433.00"
"HC CATH DIALYSIS SHORT TERM DOUBLE LUMEN STRAIGHT 13FR X 24CM","431.00"
"HC CATH DIALYSIS SHORT TERM DOUBLE LUMEN STRAIGHT 13FR X 30CM","433.00"
"HC CATH DIALYSIS TEMP NIAGARA","460.00"
"HC CATH DIALYSIS TEMP U BEND 12 FR X 20CM","1196.00"
"HC CATH DIAMONDBACK 1.25-2.25CM","6364.00"
"HC CATH DIAMONDBACK 360 MICRO CROWN","7362.00"
"HC CATH DILATATION MICRO MONORAIL OTW 1.2MM X 12MM 39269-1212","1431.00"
"HC CATH DILATION ULTRAVERSE PTA","631.00"
"HC CATH DIREXION 1RO 130CM","1518.00"
"HC CATH DRAIN ABSCESSION ALL","254.00"
"HC CATH DRAIN BILIARY ALL COOK","403.00"
"HC CATH DRAIN NEPHROURETERO","539.00"
"HC CATH DRAIN PIGTAIL ALL COOK","427.00"
"HC CATH DRAIN URETERAL BS","803.00"
"HC CATH DRAINAGE 14F BLUFLX STR KIT","260.00"
"HC CATH DUAL LUMEN DL-35-90","757.00"
"HC CATH DUAL LUMEN LANGS PIGTAIL","440.00"
"HC CATH DUO DECA 7F SUPER LG CURL","2300.00"
"HC CATH DUODECA  7F 20 ELECTRODES","2366.00"
"HC CATH DURA FLOW DIALYSIS","968.00"
"HC CATH EAGLE EYE GOLD 85900","1499.00"
"HC CATH ELECTROPHYSIOLOGY LIVEWIRE 7F X 115CM MEDCRL401908 REPROCESS","876.00"
"HC CATH ELITECROSS EXTRA SUPPORT STRAIGHT/ANGLED","2245.00"
"HC CATH ENSITE ARRAY EC1000","7771.00"
"HC CATH EP ABLATION CRD2 5FR X 120CM 401860 REPROCESSED","160.00"
"HC CATH EP ABLATION CSL 6FR X 120CM 401381 REPROCESSED","194.00"
"HC CATH EP ABLATION JSN 4FR X 120CM 401890 REPROCESSED","160.00"
"HC CATH EP ABLATION JSN 5FR X 120CM 401443 REPROCESSED","160.00"
"HC CATH EP DIAG SUPERLARGE CURL 7FR X 95CM 401904 REPROCESSED","876.00"
"HC CATH EPT POLARIS X CS 7003D","1620.00"
"HC CATH ESOPHAGEAL STAR F8ENNNNHSB","1283.00"
"HC CATH EXCELSIOR SL - 10 150CM 1 TIP","2391.00"
"HC CATH EXPORT ASPIRATION","1502.00"
"HC CATH EXT REPAIR 7740000","135.00"
"HC CATH EXTRACTION PRONTO LP","721.00"
"HC CATH EXTRACTION PRONTO V4","721.00"
"HC CATH EXTRACTION QUICKCAT","1435.00"
"HC CATH FAST CATH RAMP ALL SZS","537.00"
"HC CATH FEMALE","12.00"
"HC CATH FEMALE INTERMITTENT","22.00"
"HC CATH FEMALE SELF CATH 14 FR","2.00"
"HC CATH FEMORAL ARTERY 3-5","107.00"
"HC CATH FIDELITY IAB 8FR 40CC","2353.00"
"HC CATH FIDELITY IAB 8FR34C068400430","2127.00"
"HC CATH FLUSH","76.00"
"HC CATH FOGARTY BILIARY 5FR","234.00"
"HC CATH FOLEY 12FR 5CC","34.00"
"HC CATH FOLEY 14FR 5CC","6.00"
"HC CATH FOLEY 14FR 5CC LATEX FREE","21.00"
"HC CATH FOLEY 16 FR 100% SILICONE","40.00"
"HC CATH FOLEY 16FR 5CC","33.00"
"HC CATH FOLEY 16FR 5CC LATEX FREE","21.00"
"HC CATH FOLEY 18FR 30CC 3WAY 2819","23.00"
"HC CATH FOLEY 18FR SILICONE","21.00"
"HC CATH FOLEY 20FR 5CC","6.00"
"HC CATH FOLEY 22FR 5CC","6.00"
"HC CATH FOLEY 26FR","63.00"
"HC CATH FOLEY 3WAY","94.00"
"HC CATH FOLEY 5CC","76.00"
"HC CATH FOLEY 5CC SILICONE","6.00"
"HC CATH FOLEY 6FR LATEX FREE","82.00"
"HC CATH FOLEY COUDE","91.00"
"HC CATH FOLEY PED","47.00"
"HC CATH FRONTRUNNER CTO","2618.00"
"HC CATH FRONTRUNNER MICRO GUIDE","925.00"
"HC CATH GASTROST 12FR WOGS 1200","222.00"
"HC CATH GLIDE","214.00"
"HC CATH GLIDE 5F TAPER 100CM","288.00"
"HC CATH GLIDE ANGLE","288.00"
"HC CATH GREEN THERM 7FR","1861.00"
"HC CATH GROLLMAN 7 100CM G05576","81.00"
"HC CATH GROSHONG 9.5 FR","1062.00"
"HC CATH GUIDE CPS DIRECT UNIVERSAL DS2C020","1446.00"
"HC CATH GUIDE CPS DIRECT UNIVERSAL OUTER DS2C019","1446.00"
"HC CATH GUIDE SCIMED","257.00"
"HC CATH GUIDE VISTA BRITE TIP STRAIGHT","332.00"
"HC CATH GUIDELINER V2 8FR","1200.00"
"HC CATH GUIDING 8 FR X 29 CM SET","369.00"
"HC CATH GUIDING CORONOARY IKARI HEARTRAIL","303.00"
"HC CATH GUIDING MORPH 01415/16","1442.00"
"HC CATH GUIDING VISTA BRITE TIP JR 4 LBT","262.00"
"HC CATH HEMODIALYSIS REPAIR KIT","406.00"
"HC CATH ICY 9.3FR 38CM TRP LUMEN","1667.00"
"HC CATH IMPRESS 4F VERT 125CM","74.00"
"HC CATH IMPRESS PIG 5F X 90CM X .035 5903510PIG-NB","64.00"
"HC CATH IMPULSE FL4 MULTIPAK 5FR","50.00"
"HC CATH IMPULSE FL4 MULTIPAK 6FR","50.00"
"HC CATH IMPULSE FR4 MULTIPAK 5FR","51.00"
"HC CATH IMPULSE FR4 MULTIPAK 6FR","51.00"
"HC CATH INDWELL 16 GA","19.00"
"HC CATH INDWELLING 16GA X 30 CM KIT","25.00"
"HC CATH INDWELLING 18GA X 16 CM KIT","24.00"
"HC CATH INDWELLING 20GA X 12 CM KIT","25.00"
"HC CATH INFUSION ALL CRAGGS","445.00"
"HC CATH INQUIRY 4FR STEERABLE CATH 81530","1150.00"
"HC CATH INQUIRY 4FR STEERABLE MED CURL","1150.00"
"HC CATH INQUIRY 6FR","934.00"
"HC CATH INQUIRY BI-DIRECTIONAL DECAPOLAR 6FR 81945","1472.00"
"HC CATH INQUIRY FOCUS 2 DOUBLE LOOP","3452.00"
"HC CATH INQUIRY STEERABLE OCTA/DECA","1113.00"
"HC CATH INTRAN II IUP400","154.00"
"HC CATH INTRAUTERINE PRESSURE","130.00"
"HC CATH INTRODUCER 15 G NEEDLE SET","19.00"
"HC CATH INTRODUCER 18 G NDL TRAY","30.00"
"HC CATH INTRODUCER 18G NEEDLE TRAY","19.00"
"HC CATH INTRODUCER 20 G NEEDLE","19.00"
"HC CATH INTRODUCER 22GA NEEDLE","19.00"
"HC CATH INTRODUCER 8FR NDL PARA TRAY","66.00"
"HC CATH INTRODUCER NEEDLE CVP KIT","30.00"
"HC CATH IVUS","1717.00"
"HC CATH JACKY RADIAL 3.5 40-5023","200.00"
"HC CATH LASER ATHERECTOMY TURBO","7362.00"
"HC CATH LASER TURBO ELITE ALL SIZES","4553.00"
"HC CATH LEMAITRE .75ML-10MM-4FR","329.00"
"HC CATH MALECOT 20FR","107.00"
"HC CATH MALECOT 22FR","107.00"
"HC CATH MICRO ECHELON 10 PRE-SHAPED TIP 45 TO 14 PRE-SHAPRED TIP 90","1823.00"
"HC CATH MICRO ECHELON 10 STR TIP TO 14 STR TIP","1695.00"
"HC CATH MICRO MEWI INF CATH 150CM","709.00"
"HC CATH MICRO REBAR-18 130CM TO 027 145CM","881.00"
"HC CATH MICRO REBAR-18 153CM SINGLE MARKER","881.00"
"HC CATH MIDLINE 5FR 20CMCDC02051 M1A","178.00"
"HC CATH MULTI LUM 7FR CV AK45703","373.00"
"HC CATH MULTILUM 7FR 20CM CV","135.00"
"HC CATH MUSHROOM 22FR","90.00"
"HC CATH NAVISTAR 4MM D TYPE","6944.00"
"HC CATH NEURON 053 6F MP 115/6","1720.00"
"HC CATH NEURON 070 6F MP 108/8","1113.00"
"HC CATH NON-NAVIGATION THERAPEUTIC 107890S","2082.00"
"HC CATH OMNIFLUSH","95.00"
"HC CATH OPTICATH ABBOTT","632.00"
"HC CATH OPTIMA 81683","4257.00"
"HC CATH OPTI-Q 8FR J-TIP","608.00"
"HC CATH OUTBACK LTD RE-ENTRY","4621.00"
"HC CATH OUTBACK RE-ENTRY","4496.00"
"HC CATH PACE 5F 401761","446.00"
"HC CATH PARAHISIAN 6FR","1837.00"
"HC CATH PERCUFIX KIT","57.00"
"HC CATH PERIPHERAL DILATION FOX SV 4X120X150 CM TO 6X120X150CM","716.00"
"HC CATH PERIPHERAL NAVICROSS ANGLED .035X90CM TO .035X135CM","738.00"
"HC CATH PERIPHERAL NAVICROSS STRAIGHT .035X90CM TO .035X135CM","738.00"
"HC CATH PERITONEAL 8F LAVAGE KIT","36.00"
"HC CATH PERIVAC 8.3F STRAIGHT TRAY","217.00"
"HC CATH PERM DL VAS 19CM HDL/PERIT","537.00"
"HC CATH PICC 4 FR BLU FLXTIP TRAY","74.00"
"HC CATH PICC 4FR D/L CDC-05542-PK1A","193.00"
"HC CATH PICC 5FR DUAL INJECTABLE","460.00"
"HC CATH PICC RAD DUAL LUMEN 5FR SET","181.00"
"HC CATH PICC RAD SINGLE LUMEN 5F SET","98.00"
"HC CATH PIGTAIL W/MARKERS 70/100","500.00"
"HC CATH PLACE ABD PEL ART 1ST","521.00"
"HC CATH PLACE ABD PEL ART 2ND","521.00"
"HC CATH PLACE ABD PEL ART ADDL 2ND 3RD ORD","521.00"
"HC CATH PLACE THORAC ART 1ST ORD","521.00"
"HC CATH PLACE THORAC ART 2ND ORD","521.00"
"HC CATH PLACE THORAC ART 3RD ORD","521.00"
"HC CATH PLACE VENOUS 2ND ORDER","1627.00"
"HC CATH PLCE ABD PEL ART 3RD ORD","521.00"
"HC CATH PREMIE PICC 1FR 1261.2","241.00"
"HC CATH QUAD LUMEN 8.5F INDWELL","207.00"
"HC CATH QUICK CROSS ALL SIZES","484.00"
"HC CATH QUICK CROSS ANGLED ALL SZ","671.00"
"HC CATH RADIAL ACCESS SAN21RDBIA","422.00"
"HC CATH RAPID INFUSN RC9850","76.00"
"HC CATH RDC 1MACH1 PERIPH 19-796","493.00"
"HC CATH RED THERM 7FR","1861.00"
"HC CATH REPER PENUM 026 032 041","3014.00"
"HC CATH REPER PENUM 054","2846.00"
"HC CATH SABER PTA","1009.00"
"HC CATH SARAH RADIAL 4.0 40-5024","200.00"
"HC CATH SELECT LONG","95.00"
"HC CATH SELECT SHORT","95.00"
"HC CATH SEPARATOR PENUM ALL FLEX","6483.00"
"HC CATH SILICONE EPISTAXIS","135.00"
"HC CATH SINGLE INFUSION LUMEN 7F","46.00"
"HC CATH SIZING","131.00"
"HC CATH SIZING 5F .035 70CM 3709701","2766.00"
"HC CATH SLIM PC DL NIAGRA HDL/PERIT","239.00"
"HC CATH STINGRAY US","4109.00"
"HC CATH STR 4FX125CM 50600195","129.00"
"HC CATH SWAN GANZ #834HF75","260.00"
"HC CATH SWAN GANZ 93A-131 41-51","195.00"
"HC CATH SWAN GANZ VIP","195.00"
"HC CATH SWARTZ ALL SIZES SL","807.00"
"HC CATH SWARTZ ALL SIZES SR","807.00"
"HC CATH TDQ CCO PA HEP 52515-01","465.00"
"HC CATH TENCKHOFF HDL/PERIT","181.00"
"HC CATH THERAPY 4MM TIP 83364","1457.00"
"HC CATH THERMOCOOL SF NAV D&F CURVE","6071.00"
"HC CATH THERMODILUTION","195.00"
"HC CATH THERMODILUTION TRUE SIZE 24CM PROXIMAL PORT","681.00"
"HC CATH THORACENTESIS W/NDL","72.00"
"HC CATH THROMBECTOMY ANGIOJET ZELANTE EDVT OTW .35X8FRX105CM","6180.00"
"HC CATH TIGER RADIAL TIG 4.0 40-5013","200.00"
"HC CATH TIP QUANT CULTURE","125.00"
"HC CATH TORCON NB ADVANTAGE JL3 HNB5.0-38-100-P-NS-JL3 5.0","84.00"
"HC CATH TRAILBLAZER SC-014-135","548.00"
"HC CATH TRAILBLAZIER .035 150CM","572.00"
"HC CATH TRI LUM 7F BLU FLEX TRAY","107.00"
"HC CATH TRI LUMEN 7 F BLU FLEX TRAY","90.00"
"HC CATH TRI LUMEN 7F FLX TIP W/ARROW","203.00"
"HC CATH TRI LUMEN PED 5.5F 13CM FLEX","179.00"
"HC CATH TROCAR 32FR","59.00"
"HC CATH TURNPIKE LP 3.1FR X 150CM 5639","1474.00"
"HC CATH TURNPIKE SPIRAL 3.1FR X 135CM 5640","1474.00"
"HC CATH TWIN PASS 3F 134CM 5200","1202.00"
"HC CATH TWIN TWO LUMEN 20/22 IV01100","51.00"
"HC CATH TWO LUM 8F/16CM BL FLEX TRAY","109.00"
"HC CATH TWO LUMEN 4FR BL FLEXTIP KIT","62.00"
"HC CATH TWO LUMEN 7F BL FLEXTIP TRAY","52.00"
"HC CATH TWO LUMEN PED 4F 8CM FLEX","157.00"
"HC CATH ULTRASOUND SOUNDSTAR 3D 8F X 90CM 10439011 REPROCESSED","3087.00"
"HC CATH ULTSND 3D 10F 90CM SNDSTAR","6056.00"
"HC CATH UMBILICAL VESSEL","134.00"
"HC CATH URESIL 16FR","311.00"
"HC CATH VENOGRAPHY CORONARY BALLOON 6FR X 80CM BVCS6180","212.00"
"HC CATH VENTRICULAR EDS SYSTM 821730","70.00"
"HC CATH VIANCE CTO CROSSING","3025.00"
"HC CATH WEBSTER HEXAPOLAR FIXED","621.00"
"HC CATH YUEH CENTESIS ALL SIZES","84.00"
"HC CATHETER 5F OMNIFLUSH","85.00"
"HC CATHETER 5FR C2 TEMPO AQUA","296.00"
"HC CATHETER 6F JACKY RADIAL","233.00"
"HC CATHETER ASPIRATION 135CM STRAIGHT TIP CAT6","2522.00"
"HC CATHETER BALLOON","1.00"
"HC CATHETER BI-DIRECTIONAL POLE DF","1467.00"
"HC CATHETER EAGLE EYE GOLD 85900","1732.00"
"HC CATHETER EAGLE EYE PLAT RX IVUS","1886.00"
"HC CATHETER EZ STEER NAV 4MM","7584.00"
"HC CATHETER EZ STEER NAV 8MM","5384.00"
"HC CATHETER EZ STEER THERMOCOOL NAV BI-D EP F-J","6019.00"
"HC CATHETER EZ STR THRMOCOOL D&F CRV","6261.00"
"HC CATHETER FETCH ASPIRATION","1202.00"
"HC CATHETER FRONTRUNNER X39 90CM","2618.00"
"HC CATHETER GUIDE CORONARY 5FR & 6FR","212.00"
"HC CATHETER GUIDELINER 5.5FR TO 8FR","1200.00"
"HC CATHETER GUIDING .038 SET","380.00"
"HC CATHETER GUIDING 5F STR SET","380.00"
"HC CATHETER INDIGO 3 OR 5, STRAIGHT TIP","2521.00"
"HC CATHETER INDIGO 6, STRAIGHT TIP 135CM","4098.00"
"HC CATHETER INDIGO 8, STRAIGHT OR XTORQ TIP","6266.00"
"HC CATHETER INDIGO D + LARGE LUMEN ASPIRATION TUBING","5833.00"
"HC CATHETER INFUSION CRAGG 4FR 20CM","392.00"
"HC CATHETER INFUSION CRAGG 5FR 40/50 CM","572.00"
"HC CATHETER INFUSION CRAGG-MCNAMARA 5F 10CMX100CM","423.00"
"HC CATHETER INQUIRY AFOCUS II","2288.00"
"HC CATHETER INQUIRY AFOCUS II IBI-81680","2288.00"
"HC CATHETER INQUIRY STEERABLE OCTA 6FR REPROCESSED","669.00"
"HC CATHETER LASER ELCA ALL SIZE","4553.00"
"HC CATHETER LASSO 15MM CURVE 7FR X 100CM D7-L10-15RT REPROCESSED","876.00"
"HC CATHETER LASSO 20MM CURVE 7FR X 100CM D7-L10-20RT REPROCESSED","876.00"
