"Charge Code",,"Charge Description","Fee Schedule"
"IM008278",,"SCREW TITANIUM LOCKING 1.8MM",60
"IM008286",,"SCREW CRT SELF TAP 1.5MM X 6MM",55
"IM008287",,"SCREW CRT SELF TAP 4.5MM X 22M",36
"IM008288",,"SCREW CRT SELF TAP 4.5MM X 24M",36
"IM008333",,"SHT SIL 8X6X.020IN REINF",180
"IM008342",,"SHT SIL 8X6X.030IN REINF",382
"IM008343",,"PIN CHLD MYFLD RED O RING RDC",83
"IM008352",,"INFUSE LARGE II",11757
"IM008431",,"COMPON FEMORAL NORPOR COAT SZ2",2870
"IM008432",,"COMPON FEMORAL NONPOR COAT SZ3",2870
"IM008433",,"COMPON FEMORAL NONPOR COAT SZ4",2870
"IM008434",,"COMPON FEMORAL NONPOR COAT SZ5",2870
"IM008435",,"COMPON FEMORAL NONPOR COAT SZ6",2870
"IM008439",,"PATELLA DOME OVAL 3PEG SM 35MM",742
"IM008440",,"PATELLA DOME OVAL STD 38MM",742
"IM008441",,"PATELLA DOME OVAL LG 41MM",742
"IM008443",,"STEM FEM CMNT BSC SMT PRCT 2",2614
"IM008445",,"STEM FEM CMNT BSC SMT PRCT 3",2614
"IM008446",,"STEM FEM CMNT BSC SMT PRCT 4",2614
"IM008447",,"STEM FEM CMNT BSC SMT PRCT 5",1800
"IM008455",,"AUGMENTATION DISTAL 4MM LEFT",1611
"IM008456",,"COMPONENT NON-POROUS TCS FEM",9487
"IM008459",,"ANCH BLUE 24MM 3MM PLYSRB SFT",513
"IM008460",,"ANCHOR SUTURE 3MM X 26",543
"IM008461",,"VERSANAIL 10MM X 20CM",4131
"IM008462",,"COMPON FEMORAL NON POR RT SZ 2",2870
"IM008463",,"COMPON FEMORAL NON POR RT SZ 3",2870
"IM008464",,"COMPON FEMORAL NON POR RT SZ 4",2870
"IM008465",,"COMPON FEMORAL NON POR RT SZ 5",2870
"IM008466",,"COMPON FEMORAL NON POR RT SZ 6",3157
"IM008474",,"TRAY TIBIAL MOD SIZE 4",5189
"IM008498",,"PIN ORTHOSORB 2.0MM",247
"IM008499",,"ARTHROSCOPE ORTHOSORB 40X1.3MM",257
"IM008503",,"LENS SA60AT DIOPTER 21.50",275
"IM008508",,"LENS VIRECTOMY FLAT",67
"IM008511",,"LENS VIRECTOMY BI-CONCAVE",67
"IM008526",,"PIN INSERT LOCK S-ROM 5.0MM",172
"IM008538",,"PIN STEIMEN 3 HEADLESS PK/10",9
"IM008550",,"TRAY TIBIAL SIZE 2",5189
"IM008607",,"INJ VOCAL CORD BULKING AGENT",444
"IM008741",,"ROD PRE-CURVED 40MM",482
"IM008749",,"ROD CURVED 5.5MM X 50MM",482
"IM008773",,"CMPNT FEM AUG 5 8MM LEFT DIST",1611
"IM008781",,"SCREW CERVICAL 6.2MM X 40MM",1367
"IM008802",,"IOL +23 DIOP ACRSF ACRL 13MM 6",275
"IM008803",,"IOL +21 DIOP ACRSF ACRL 13MM 6",275
"IM008911",,"SCREW PROP CANN INTER 7 X 25",209
"IM008912",,"SCREW PROP CANN INTER 9 X 25",209
"IM008920",,"PIN HEWSON BREAKAWAY",51
"IM008925",,"SCREW INTER FEMORAL 7 X 25MM",197
"IM008926",,"SCREW INTER FEMORAL 7 X 20MM",199
"IM009002",,"WIRE K                                                    01",18
"IM009029",,"WIRE K 0.062",40
"IM009030",,"WIRE K 0.045",40
"IM009031",,"WIRE K 0.035",40
"IM009032",,"WIRE K 0.028",40
"IM009033",,"MINI ANCHOR GII",209
"IM009034",,"ANCHOR QUICK GII",994
"IM009036",,"CRSLNK MLTI 39-45MMX10",1599
"IM009053",,"SCREW 4.0MM X 22",27
"IM009054",,"SCREW 3.5MM SELF TAP",35
"IM009055",,"SCREW 4.5MM SELF TAP",77
"IM009056",,"SCREW 6.5MM SELF TAP",58
"IM009117",,"IOL +23.5 DIOP ACRSF ACRL 13MM",275
"IM009302",,"STEM FEMORAL",4305
"IM009351",,"CABLE 826-213  SGL CBL WINTGRL",900
"IM009448",,"ALLODERM SKIN 4CM X 16CM",3926
"IM009472",,"STEM RADL 5.5MM EVOL STD ELB",4938
"IM009473",,"HEAD FEMORAL 24MM",4317
"IM009509",,"CROSSLINK LP 1/4",1504
"IM009510",,"CROSSLINK LP",1599
"IM009523",,"TRAY TIBIAL MOD SIZE 3",5504
"IM009536",,"BLOCK SILICONE CLEAR  20                  01",615
"IM009537",,"SHEETING NONREINFORCE 8X6X.01",173
"IM009538",,"SHEETING NONREINFORCE 8X6X.015",201
"IM009541",,"SHEETING NONREINFORCE 8X6X.04",287
"IM009543",,"SHEETING REINFORCE 8X6X.01",204
"IM009545",,"SHEETING REINFORCE 8X6X.03",287
"IM009571",,"LENS DIOPTER                                              06",275
"IM009574",,"LEAD EPICARDIAL BIPOLAR",1845
"IM009627",,"ROD TITANIUM 1/4IN X 50MM",482
"IM009628",,"ROD TITANIUM 1/4IN X 40MM",482
"IM009633",,"DEVICE MICRO ANASTO SYS 1.0MM",613
"IM009634",,"DEVICE MICRO ANASTO SYS 1.5MM",613
"IM009635",,"DEVICE MICRO ANASTO SYS 2.0MM",613
"IM009636",,"DEVICE MICRO ANASTO SYS 2.5MM",613
"IM009640",,"ROD TITANIUM 1/4IN X 60MM",482
"IM009650",,"SHUNT INTRACORONARY  1.25MM",133
"IM009718",,"PLATE STR 6 HOLE",397
"IM009812",,"GRAFT GELWOVEN 16MM X 15",538
"IM009845",,"SCREW SCHANZ 3.0MM X 80MM",284
"IM009846",,"SCREW SCHANZ 3.0MM X 100MM",284
"IM009851",,"PATCH CAROTID THINWALL 8 X75MM",237
"IM009913",,"TISSUE EXPANDER 550CC",3014
"IM009934",,"GRAFT VASCULAR GEL BIFU 12X6MM",565
"IM009935",,"GRAFT GELSOFT BIF 14MM X 7MM",1051
"IM009936",,"GRAFT VASCULAR GEL BIFU 16X8MM",1051
"IM009937",,"GRAFT VASCULAR GEL BIFU 18X9MM",1083
"IM009938",,"GRAFT VASCULAR GEL BIF 20X10MM",565
"IM009939",,"GRAFT VASCULAR GEL BIF 22X11MM",1051
"IM009940",,"GRAFT VASCULAR GEL BIF 24X12MM",1051
"IM009941",,"GRAFT VASCULAR GEL STR 12MM",719
"IM009945",,"GRAFT VASCULAR GEL STR 20MM",719
"IM009982",,"BRR ADH SOD HALUR CMC BIORESBL",596
"IM009997",,"PLATE TIBIAL LCP 6 HOLE",2433
"IM010003",,"PEN NEURO SHORT LENGTH 15.5CM",2093
"IM010004",,"PLATE RECON CRVD 3.5MM 16 HOLE",1030
"IM010011",,"SCREW CORTEX",39
"IM010023",,"STENT URINARY PER 7FX80CM",380
"IM010042",,"SCREW CANN THREADED 3.5MM",328
"IM010060",,"MESH HRN 6X6IN PRLN PLYPR",264
"IM010090",,"PLATE 100 TUBULAR 10 HOLE",181
"IM010189",,"PLATE SPIDER SMALL FRAG 16MM",181
"IM010220",,"PLATE SPIDER 20MM LARGE FRAG",200
"IM010221",,"PLATE 5.4MM ORTH LG",200
"IM010250",,"SCREW CANC FTH 4.0 X 20MM",92
"IM010276",,"SCREW CANC LAG 4MM X 30MM",92
"IM010392",,"PIN CASPAR DISTRACTION 14MM",164
"IM010450",,"PATCH CARDIO 2.5 X 3.8CMX0.6MM",234
"IM010452",,"DRESSING SKIN PIG 7INX18IN",523
"IM010458",,"TUBE VENT 1.27MM DONALDSON EAR",21
"IM010484",,"SCREW BIO 7 X 20MM",225
"IM010485",,"SCREW BIO 9 X 20MM",229
"IM010486",,"SCREW BIO 7 X 25MM",229
"IM010487",,"SCREW BIO 9 X 25MM",229
"IM010488",,"SCREW BIO 8 X 20MM",231
"IM010489",,"SCREW BIO 8 X 25MM",241
"IM010504",,"STNT 10MM 7.5FR 60MM LXB10060",2255
"IM010541",,"SKIN HUMAN INTEGRA 4X10IN",13680
"IM010542",,"SKIN HUMAN INTEGRA 8X10IN",22077
"IM010592",,"STNT 10MM 7.5FR 80MM 135CM",2255
"IM010625",,"ROD SPNL 100MM 5.5MM",482
"IM010659",,"VALVE SUPRA ANNULAR 25MM",9224
"IM010708",,"VALVE AORTIC STANDARD 25MM",9608
"IM010729",,"PLATE LC-DCP 4HOLE 2.0 X 24MM",389
"IM010730",,"SCREW CORTEX SELF TAP 2.0 X 22",69
"IM010731",,"SCREW CORTEX SELF TAP 2.0 X 18",59
"IM010732",,"SCREW CORTEX SELF TAP 2.0 X 14",59
"IM010735",,"SCREW CORTEX SELF TAP 2.4 X 20",137
"IM010739",,"CLAMP COMBO",1023
"IM010743",,"SCREW LAG 12.7 X 90MM",661
"IM010755",,"PLATE TUBULAN 2 HOLE 25MM",95
"IM010757",,"SCREW BONE 80MM 7.3MM ORTH SS",429
"IM010758",,"SCREW CANN FT 4.5MM X 32MM",474
"IM010759",,"SCREW SCHANZ SD 5 X 250MM",321
"IM010763",,"SCREW CRT SELF TAP 2.0 X 12MM",68
"IM010764",,"SCREW CORTEX SELF TAP 2.4 X 11",137
"IM010765",,"CLAMP HOLDING K WIRE 1.25",1300
"IM010768",,"SCREW CANN 3.0MM X 22MM",469
"IM010786",,"STENT NON COR TEMP W/DEL SYS",240
"IM010787",,"STNT 10FR 7CM 170CM .035IN DBL",240
"IM010788",,"STNT 10FR 10CM ZSS-10-10-RB",240
"IM010790",,"LEAD PACING MYOCARDIAL STD",56
"IM010799",,"ROD CARBON FIBER 8.0X200MM",278
"IM010803",,"ROD 250MM",566
"IM010810",,"SCREW CANN FT 4.5MM X 72MM",474
"IM010812",,"SCREW CANN FT 4.5MM X 48MM",474
"IM010814",,"PLATE TUBULAR 10 HOLE 121MM",124
"IM010815",,"SCREW BONE 85MM 7.3MM 209.885",437
"IM010818",,"SCREW CANN 7.3MM X 80MM",437
"IM010820",,"BAR CONNECTING ANGLED 3.0",95
"IM010822",,"ROD CARBON FIBER 60MM",74
"IM010823",,"CLAMP HOLDING WIRE 1.6",1300
"IM010824",,"CLAMP CONNECTING 3.0",1209
"IM010826",,"SCREW CANN 7.3MM X 40MM",613
"IM010827",,"SCREW CANN 7.3MM X 16MM X 50MM",429
"IM010828",,"SCREW BONE 85MM 7.3MM 208.885",437
"IM010829",,"SCREW BONE 90MM 7.3MM 208.890",437
"IM010830",,"PIN STERMAN 7/64 X 9",13
"IM010855",,"PIP NEUFLEX FINGER",1246
"IM010864",,"INS TIB 4 12.5MM KNEE 96-2142",1835
"IM010891",,"SCREW 4.0 CANCELLOUS 60MM",193
"IM010905",,"SKIN ALLODERM 4 X 8CM",1724
"IM010930",,"PLATE 6 HOLE",230
"IM010931",,"PLATE TIBIAL LCP 10 HOLE",2487
"IM010941",,"BIT DRL 200MM QC CANN 4.3MM NS",729
"IM010947",,"LEAD DBS 1.5MM",5105
"IM010957",,"PATELLA TENDON BISECTED FROZEN",4626.85
"IM010976",,"STNT 10MM 30MM XL BLN XPD",2563
"IM010982",,"LINER ACETABULAR 28MM X 50MM",1435
"IM011021",,"ANCHOR SUTURE CORKSCREW 5.0MM",369
"IM011026",,"WEDGE ILIAC CREST 2.5CM",2178
"IM011027",,"PLATE LCP 3.5MM 7HOLE",884
"IM011030",,"PLATE TIBIAL LCP 14 HOLE",2544
"IM011035",,"SCREW LOCKING 3.5MM X 60MM",213
"IM011036",,"SCREW LOCKING 3.5MM X 55MM",213
"IM011037",,"SCREW LOCKING 3.5MM X 20MM",213
"IM011038",,"SCREW LOCKING 3.5MM X 18MM",213
"IM011039",,"SCREW LOCKING 3.5MM X 14MM",213
"IM011040",,"SCREW LOCKING 3.5MM X 22MM",213
"IM011061",,"PLATE CERVICAL 40MM",1507
"IM011063",,"PLATE CERVICAL 75MM",1876
"IM011079",,"PROSTHESIS VOICE PROVAX 8MM",752
"IM011098",,"PLATE PIN HOLDING",164
"IM011109",,"CROSSLINK 1/4IN X 1.5IN",1599
"IM011112",,"PLATE CERVICAL 23MM",1363
"IM011116",,"PLATE CERVICAL 72.5MM",1876
"IM011117",,"PROTHESIS VOICE PROVAX 6MM",574
"IM011121",,"SCREW 4.0MM X 42MM",1030
"IM011122",,"PROSTHESIS VOICE PROVAX 10MM",752
"IM011136",,"PROSTHESIS VOICE PROVAX II 6MM",541
"IM011138",,"GRAFT RING THINWALL 8 X80MMX30",2073
"IM011139",,"GRAFT RING THINWALL 8X90MMX30",2333
"IM011141",,"FMORAL PROX RIGHT",13536
"IM011148",,"PLATE L SHAPE RIGHT",374
"IM011149",,"PLATE L SHAPE LEFT",374
"IM011159",,"DISC ULNA 3 X 75MM",9567
"IM011190",,"LINER PINN MAR NEUT 52ODX32ID",1435
"IM011191",,"LINER PINN MAR NEUT 54ODX32ID",1435
"IM011192",,"LINER PINN MAR NEUT 56ODX32ID",1435
"IM011193",,"LINER PINN MAR NEUT 58ODX32ID",1435
"IM011196",,"LINER PINN MAR NEUT 64ODX32ID",1435
"IM011203",,"SHUNT PERCUTANEOUS ACCESS",3901
"IM011211",,"SCREW CORTEX SELF TAP 2.0 X 13",59
"IM011221",,"PLATE TBLR 1/3 4HOLE49MM W CLR",112
"IM011242",,"PLATE MIC .6MM MXLFCL 4 HOLE",113
"IM011244",,"PLATE Y LONG",424
"IM011266",,"PLATE STR 6HOLE 2.4MM X 36MM",389
"IM011267",,"PLATE STR 12HOLE 2.4MM X 72MM",472
"IM011268",,"PLATE T 2H HEAD 8H SHFT 2.4X54",449
"IM011269",,"PLATE T 3H HEAD 8H SHFT 2.4X54",480
"IM011270",,"PLATE T 3H HEAD 8H SHFT 2.4X56",451
"IM011271",,"PLATE CNDYL RT 8HOLE 2.4 X 57",509
"IM011273",,"PLATE LC-DCP 4HOLE 2.4 X 31MM",544
"IM011274",,"PLATE LC-DCP 6HOLE 2.4 X 47MM",627
"IM011275",,"PLATE LC-DCP 6HOLE 2.0 X 36MM",472
"IM011276",,"PLATE LC-DCP 8HOLE 2.0 X 48MM",536
"IM011279",,"PLATE MED 6HOLE",209
"IM011290",,"LINER PINN MAR NEUT 48ODX28ID",1435
"IM011379",,"PLATE FLAT LEFT",589
"IM011382",,"PLATE MICRO LEFT MED",368
"IM011385",,"SCREW LOCKING 4.0MM X 38MM",237
"IM011387",,"PLATE CONDYLAR 4.5MM",2685
"IM011388",,"WIRE FIX 450MM 3.2MM KRSH GMA",278
"IM011389",,"FEMORAL BEARING 12MM",2673
"IM011390",,"PIN LOCKING 12MM",523
"IM011391",,"TIBIAL BUSHING",705
"IM011392",,"COUPLER DIAPHYSEAL 10CM",9653
"IM011393",,"FEMUR 7CM",16974
"IM011394",,"FEMUR PROXIMAL LEFT",13536
"IM011395",,"FEMUR AXLE",1072
"IM011396",,"TRAY 75MM",8350
"IM011398",,"FEMORAL BUSHING",988
"IM011410",,"PLATE 4HOLE RIGID STR BLUE MED",230
"IM011416",,"SCREW CORTEX SELF TAP 2.4 X 12",137
"IM011417",,"SCREW CANN 7.3MM X 75MM",437
"IM011420",,"BALL ARTICUL EZE 28 +15.5 WH",923
"IM011425",,"AUGMENTATION POSTERIOR 4MM SZ3",1611
"IM011431",,"GRAFT THINWALL 6MM X 80CM",2073
"IM011464",,"PLATE 4HOLE REG",180
"IM011469",,"PLATE SAGGITAL RIGID 6HOLE BLU",402
"IM011487",,"FEMORAL COMPONENT LT SZ 2.5",9487
"IM011490",,"CMPNT FEM AUG 2.5 4MM POST",1611
"IM011491",,"AUGMENTATION DISTAL LT 4MM",1709
"IM011495",,"OCLR 5MM 4MM AMPLZR DUCTAL SLF",9916
"IM011496",,"OCLR 6MM X 4 MM AMPLZR DUCTAL SLF",9916
"IM011499",,"OCLR 8MM-6MM AMPLZR DUCTAL SLF",9916
"IM011500",,"OCLR 10MM X 8MM AMPLZR DUCTAL SLF",9916
"IM011503",,"CMPNT FEM 4 71X65MM 960083",9487
"IM011504",,"CMPNT FEM AUG 4 4MM LEFT DIST",1611
"IM011505",,"AUGMENTATION DISTAL 8MM                   02",1611
"IM011506",,"INSERT TIBIAL 22.5",3385
"IM011549",,"PATELLA OVAL DOME 3PEG 32MM",742
"IM011555",,"PLATE CERVICAL 62MM",1876
"IM011590",,"STENT C FLEX PIGTAIL 24CM",139
"IM011634",,"SCREW CANN 7.3MM X 30MM",613
"IM011635",,"SCREW CANN 7.3MM X 35MM",613
"IM011636",,"CATH VENTRICULAR BACTISEAL",966
"IM011637",,"SCREW CANN 7.3MM X 65MM",437
"IM011638",,"SCREW CANN 7.3MM X 70MM",437
"IM011639",,"SCREW BONE 95MM 7.3MM 208.895",437
"IM011640",,"CATH PERITONEAL BACTISEAL",929
"IM011650",,"MESH XLG",10958
"IM011654",,"ROD TUNNELING DISP",931
"IM011662",,"SCREW CANNULATED 4.5MM X 26MM",474
"IM011666",,"SCREW CANNULATED 4.5MM X 34MM",341
"IM011667",,"SCREW CANNULATED 4.5MM X 36MM",341
"IM011668",,"SCREW CANNULATED 4.5MM X 38MM",474
"IM011669",,"SCREW CANNULATED 4.5MM X 40MM",331
"IM011670",,"SCREW CANNULATED 4.5MM X 42MM",331
"IM011671",,"SCREW CANNULATED 4.5MM X 44MM",474
"IM011672",,"SCREW CANNULATED 4.5MM X 46MM",341
"IM011673",,"SCREW CANNULATED 4.5MM X 48MM",474
"IM011674",,"SCREW CANNULATED 4.5MM X 50MM",474
"IM011675",,"SCREW CANNULATED PT 4.5MM X 52",474
"IM011676",,"SCREW CANNULATED PT 4.5MM X 54",341
"IM011677",,"SCREW CANNULATED PT 4.5MM X 56",474
"IM011678",,"SCREW CANN PT 4.5MM X 60MM",474
"IM011687",,"SCREW CANN PT 4.5MM X 68MM",474
"IM011688",,"SCREW CANN PT 4.5MM X 72MM",474
"IM011691",,"SCREW CANN 7.3MM X 55MM X 32MM",437
"IM011692",,"SCREW CANN 7.3MM X 90MM",539
"IM011693",,"SCREW CANN 7.3MM X 95M",437
"IM011705",,"PLATE TUBULAR 8HOLE 97MM",121
"IM011707",,"LEAD PCNG 45CM 7FR FNLN II",1169
"IM011713",,"SCREW LOCKING 30MM",213
"IM011714",,"SCREW LAG 12.7MMX110MM",367
"IM011725",,"SCREW CANN 6.5MM X 32MM",439
"IM011731",,"6.0MM TI CURVED SOFT ROD 55MM",322
"IM011734",,"SCREW CERVICAL 6.2MM X 45MM",1076
"IM011736",,"SCREW CANN 6.5MM X 16MM",439
"IM011742",,"SCREW CANN 3.0MM X 30MM",329
"IM011746",,"TRAY TIBIAL CEMENTED SIZE 3",1779
"IM011753",,"SCREW CORTEX SELF TAP 2.4 X 24",137
"IM011754",,"SCREW CORTEX SELF TAP 2.4 X 26",137
"IM011755",,"SCREW CORTEX SELF TAP 2.4 X 28",137
"IM011756",,"SCREW CORTEX SELF TAP 2.4 X 30",137
"IM011761",,"SCREW CORTEX SELF TAP 2.0 X 7M",59
"IM011762",,"SCREW CORTEX SELF TAP 2.0 X 8M",59
"IM011763",,"SCREW CORTEX SELF TAP 2.0 X 9M",59
"IM011764",,"SCREW CORTEX SELF TAP 2.0 X 10",59
"IM011765",,"SCREW CORTEX SELF TAP 2.0 X 20",59
"IM011766",,"SCREW CORTEX SELF TAP 2.0 X 11",59
"IM011767",,"SCREW CORTEX SELF TAP 2.4 X 32",133
"IM011770",,"ROD CARBON FIBER 3MMX60MM",74
"IM011772",,"SCREW CORTEX SELF TAP 1.5 X 7M",59
"IM011773",,"SCREW CORTEX SELF TAP 1.5 X 9M",59
"IM011774",,"SCREW CORTEX SELF TAP 1.5X13MM",59
"IM011775",,"SCREW CORTEX SELF TAP 1.5X20MM",59
"IM011779",,"GRAFT THIN WALL STRTH 8MMX80CM",2150
"IM011792",,"STENT NEPHROURETERAL 8/24",223
"IM011854",,"CROSSLINK LOW PROFILE 6.35MM",1599
"IM011892",,"SCREW CRT 4.5MM X 34MM",27
"IM011893",,"SCREW CRT 4.5MM X 40MM",27
"IM011894",,"SCREW CRT 4.5MM X 42MM",35
"IM011897",,"SCREW CRT 4.5MM X 30MM",27
"IM011899",,"SCREW CANN 3.0MM X 32MM",336
"IM011916",,"FINGER JOINT W/GROMMET 3",2021
"IM011923",,"FINGER JOINT W/GROMMET 4",2021
"IM011924",,"FINGER JOINT W/GROMMET 5",2021
"IM011948",,"SCREW CRT 4.5MM X 32MM",27
"IM011951",,"SCREW BONE CANN 6.5 X 40MM",42
"IM011955",,"STNT 10MM 40MM XL BLN XPD",2563
"IM011970",,"BALL ARTICUL EZE 28 +1.5 GR",820
"IM011971",,"BONE CHIP CANCELL FROZEN 30CC",913
"IM011987",,"BUTTON CTRL VALVE CSF-FLOW LOW",1939
"IM012087",,"PIN DSPNS MINI-SPK LL CONN AIR",2
"IM012115",,"IMPLANT ULNA LEFT 3MMX115MM",7747
"IM012137",,"GRAFT GELWEAVE 24MM X 30CM",773
"IM012206",,"IOL +18.5 DIOP ACRSF ACRL 13MM",275
"IM012262",,"WAX BONE 2.5GM HMST AGNT OPEN",11
"IM012278",,"IOL +19 DIOP ACRSF ACRL 13MM 6",275
"IM012313",,"HEAD FEMORAL 36MM +3",2393
"IM012324",,"PLATE BONE 1.7MM X 5 HOLE",220
"IM012326",,"SCREW SELF DRILL 1.7MM",101
"IM012333",,"PLATE MANDIBLE 1.7MM",418
"IM012359",,"SCREW CERVICAL 5.2MM X 45MM",781
"IM012483",,"PATCH SOFT TISSUE 5MMC15CMX2MM",1064
"IM012484",,"IOL +18 DIOP ACRSF ACRL 13MM 6",275
"IM012536",,"PORT IMPLINFN X-PORT DUO PLAS",902
"IM012662",,"STYL LEAD 65CM .014IN KIT BALL",82
"IM012667",,"STYL LEAD 52CM .014IN 605752",82
"IM012668",,"STYL LEAD 45CM 0.014IN KIT",82
"IM012669",,"STYL LEAD 52CM .014IN 608252",82
"IM012670",,"STYL LEAD 58CM .014IN 608258",82
"IM012714",,"PLATE CONDYLAR BUTT 5H X 118MM",1550
"IM012884",,"BALLOON OPTI-PLAST 4MMX4CMX120",287
"IM012930",,"BALLOON OPTI-PLAST 4MM X 4CM",287
"IM013237",,"IMPLANT ENUCLEATION 14MM DIA",1119
"IM013238",,"IMPLT MEDPORE SH 50X76X1.5MM",1000
"IM013263",,"SYSTEM DIGIT WIDGET EXT FIX",3178
"IM013279",,"ENDOPROSTHESIS VIATORR 7CMX2CM",9047
"IM013281",,"ENDOPROSTHESIS VIATORR 5CMX2CM",9047
"IM013291",,"VIABAHN 7MM X 5 CM",4367
"IM013308",,"EMBOSPHERE 500-700",498
"IM013323",,"GENERATOR PULSE ITREL 3",15980
"IM013325",,"IMPLANT MAMMARY SALINE 225CC",1005
"IM013326",,"IMPLANT MAMMARY SALINE 250CC",718
"IM013327",,"IMPLANT MAMMARY SALINE 275CC",974
"IM013328",,"IMPLANT MAMMARY SALINE 300CC",974
"IM013329",,"IMPLANT MAMMARY SALINE 325CC",974
"IM013332",,"IMPLANT MAMMARY SALINE 425CC",923
"IM013333",,"IMPLANT MAMMARY SALINE 475CC",974
"IM013335",,"SIZER MAMMARY SALINE 275CC                                01",82
"IM013393",,"6.0MM TI CURVED SOFT ROD 85MM",566
"IM013494",,"COMPONENT SEGMENTAL",4371
"IM013639",,"TISSUELINK CONE DISSECTING SEA",2015
"IM013672",,"STEM HIP 7.5MM",4938
"IM013673",,"HEAD FEMORAL 24MM  + 2",4317
"IM013815",,"TRAY PORTACATH SGL LUMEN 8.5FR",646
"IM013837",,"POLYFLEX 21 X 120",4151
"IM013914",,"PCMKR ENPULSE DR E1DR01",13120
"IM013955",,"PLATE RT PROX TIB 12 HOLE LCP",2517
"IM013971",,"PACEMAKER SINGLE ENPULSE DEV",11070
"IM014008",,"DUAL MESH PLUS 10 X 15CM 1MM",961
"IM014009",,"DUAL MESH PLUS 15.0X19CMX0.1MM",1781
"IM014010",,"DUAL MESH PLUS 18X24CMX0.1MM",2763
"IM014014",,"CORNEA PKP",6150
"IM014038",,"NAIL VERSA 10MM X 15CM",4131
"IM014058",,"STNT 5FR 7CM DBL PGTL GW PSH",115
"IM014066",,"STNT 5FR 4CM DBL PGTL GW PSH",111
"IM014101",,"PLATE LEFT CNDYL 12 HOLE LCP",2806
"IM014234",,"WIRE FIX 160MM 1MM KRSH ORTH",69
"IM014298",,"STNT ESPH 21-25MM 90MM",4151
"IM014514",,"CATH EPDRL 19GA FLXTP PLUS SYR",30
"IM014648",,"INSERT TIB CUD PFCSIG 4 12.5MM",1835
"IM014654",,"SCREW LOCKING RECESS 3.5X12MM",213
"IM014655",,"SCREW LOCKING RECESS 3.5 X 10M",213
"IM014663",,"CONTOUR EMBOLIZATON 150-250",257
"IM014679",,"PLATE CONDYLAR LEFT 4.5MMX8 H",2651
"IM014680",,"PLATE CONDYLAR RIGHT 4.5MMX14H",3993
"IM014761",,"INSERT TIBIAL STAB 5MM SZ 3",1835
"IM014791",,"APPLICATOR EXTENDED COSEAL",82
"IM014792",,"SEALANT SURGICAL COSEAL",1085
"IM014831",,"STNT PNCR 5FR 7CM .035IN GNN",240
"IM014837",,"STNT PNCR 7FR 9CM .035IN GNN",240
"IM014838",,"STNT 7FR 12CM 170CM .035IN SET",240
"IM014969",,"PROS VOICE 10MM PROVOX 2 LOW",527
"IM015120",,"PLATE TIBIAL 12 HOLE 4.5X226MM",2517
"IM015121",,"PLATE TIBIAL 12 HOLE 4.5X262MM",2544
"IM015154",,"SCREW SHAFT 4.5MM X 46MM",45
"IM015156",,"SCREW BONE CANN 6.5MM X 50MM",80
"IM015166",,"PLATE TIBIAL 10 HOLE 4.5X190MM",2487
"IM015173",,"PLATE TIBIAL 8 HOLE 4.5X154MM",2461
"IM015179",,"PLATE TIBIAL 4 HOLE 4.5X82MM",2403
"IM015181",,"SCREW THREADED CANN 3.5X42MM",311
"IM015191",,"SCREW THREADED CANN 3.5X46MM",311
"IM015215",,"SUTURE QUICK ANCHOR MITEK",996
"IM015297",,"WEDGE TIBIAL 10MM SIZE 2",2594
"IM015363",,"PLATE CONDYLAR HOLE 10",2750
"IM015487",,"PLATE LCP 8HOLE 3.5 X 111MM",578
"IM015489",,"PLATE LCP 5HOLE 3.5 X 72MM",495
"IM015490",,"PLATE LCP 6HOLE 3.5 X 85MM",528
"IM015491",,"PLATE LCP TUBULAR 10HOLEX117MM",308
"IM015492",,"PLATE LCP TUBULAR 8HOLEX93MM",308
"IM015493",,"PLATE LCP TUBULAR 7HOLEX81MM",291
"IM015497",,"WIRE SPADE 1.8MM X 350MM",185
"IM015500",,"PLATE LCP TUBULAR 6HOLEX69MM",286
"IM015501",,"PLATE ANGLE T RIGHT 3.5 X 78MM",705
"IM015517",,"SCREW NUT 5.0MM                                           01",228
"IM015518",,"WIRE SPADE 2.0MM X 350MM",185
"IM015532",,"PLATE LCP LT CONDYLAR 4.5X386M",3460
"IM015534",,"PLATE LCP 9HOLE 3.5 X 124MM",600
"IM015536",,"PLATE LCP 9HOLE 3.5 X 137MM",619
"IM015537",,"PLATE LCP 12HOLE 3.5 X 163MM",683
"IM015538",,"PLATE LCP 14HOLE 3.5 X 189MM",1023
"IM015539",,"PLATE T OBLIQUE 3.5 X 52MM",600
"IM015541",,"PLATE T OBLIQUE 3.5 X 63MM",627
"IM015544",,"PLATE T OBLIQUE 3.5 X 74MM",654
"IM015550",,"PLATE T OBLIQUE 3.5 X 96MM",708
"IM015554",,"PLATE ANGLE T RT 3.5 X 50MM",578
"IM015555",,"PLATE ANGLE T RT 3.5 X 56MM",552
"IM015557",,"PLATE ANGLE T RT 3.5 X 67MM",606
"IM015559",,"PLATE PROX HUM 3 HLE/HD 5",657
"IM015562",,"PLATE PROX HUM 3 HLE/HD 7",713
"IM015563",,"PLATE RECON 5HOLE 3.5 X 70MM",731
"IM015567",,"PLATE RECON 6HOLE 3.5 X 84MM",844
"IM015568",,"PLATE RECON 6HOLE 3.5 X 98MM",886
"IM015572",,"PLATE RECON 8HOLE 3.5 X 112MM",924
