CDM Number,Description,Fee
"G0481,UB","DRUG TEST(S), DEFINITIVE, UTILIZING DRUG IDENTIFICATION METHODS ABLE TO IDENTIFY INDIVIDUAL DRUGS AND DISTINGUISH BETWEEN STRUCTURAL ISOMERS (BUT NOT NECESSARILY STEREOISOMERS), INCLUDING, BUT NOT LIMITED TO GC/MS (SNY TYPE, SINGLE OR TANDEM) AND LC/MS (ANY TYPE, SINGLE OR TANDEM AND EXCLUDING IMMUNOASSYS (EG, IA, EIA, ELISA, EMIT, FPIA) AND ENZYMATIC METHODS (EG, ALCOHOL DEHYDROGENASE); QUALITATIVE OR QUANTITATIVE, ALL SOURCES(S), INCLUDES SPECIMEN VALIDITY TESTING, PER DAY, 8-14 DRUG CLASS(ES), INCLUDING METABOLITE(S) IF PERFORMED",369
"G0482,UB","DRUG TEST(S), DEFINITIVE, UTILIZING DRUG IDENTIFICATION METHODS ABLE TO IDENTIFY INDIVIDUAL DRUGS AND DISTINGUISH BETWEEN STRUCTURAL ISOMERS (BUT NOT NECESSARILY STEREOISOMERS), INCLUDING, BUT NOT LIMITED TO GC/MS (SNY TYPE, SINGLE OR TANDEM) AND LC/MS (ANY TYPE, SINGLE OR TANDEM AND EXCLUDING IMMUNOASSYS (EG, IA, EIA, ELISA, EMIT, FPIA) AND ENZYMATIC METHODS (EG, ALCOHOL DEHYDROGENASE); QUALITATIVE OR QUANTITATIVE, ALL SOURCES(S), INCLUDES SPECIMEN VALIDITY TESTING, PER DAY, 15-21 DRUG CLASS(ES), INCLUDING METABOLITE(S) IF PERFORMED",498
"G0483,UB","DRUG TEST(S), DEFINITIVE, UTILIZING DRUG IDENTIFICATION METHODS ABLE TO IDENTIFY INDIVIDUAL DRUGS AND DISTINGUISH BETWEEN STRUCTURAL ISOMERS (BUT NOT NECESSARILY STEREOISOMERS), INCLUDING, BUT NOT LIMITED TO GC/MS (SNY TYPE, SINGLE OR TANDEM) AND LC/MS (ANY TYPE, SINGLE OR TANDEM AND EXCLUDING IMMUNOASSYS (EG, IA, EIA, ELISA, EMIT, FPIA) AND ENZYMATIC METHODS (EG, ALCOHOL DEHYDROGENASE); QUALITATIVE OR QUANTITATIVE, ALL SOURCES(S), INCLUDES SPECIMEN VALIDITY TESTING, PER DAY, 22 OR MORE DRUG CLASS(ES), INCLUDING METABOLITE(S) IF PERFORMED",646
"G0479,UB","DRUG TEST(S), PRESUMPTIVE, ANY NUMBER OF DRUG CLASSES; ANY NUMBER OF DEVICES OR PROCEDURES BY INSTRUMENTED CHEMISTRY ANALYZERS UTILIZING IMMUNOASSAY, ENZYME ASSAY, TOF, MALDI, LDTD, DESI, DART, GHPC, GC MASS SPECTROMETRY, INCLUDES SAMPLE VALIDATION WHEN PERFORMED, PER DATE OF SERVICE",238
"G0477,UB","DRUG TEST(S), PRESUMPTIVE, ANY NUMBER OF DRUG CLASSES; ANY NUMBER OF DEVICES OR PROCEDURES, (E.G. IMMUNOASSAY) CAPABLE OF BEING READ BY DIRECT OPTICAL OBSERVATION ONLY (E.G., DIPSTICKS, CUPS, CARDS, CARTRIDGES), INCLUDES SAMPLE VALIDATION WHEN PERFORMED, PER DATE OF SERVICE",45
"G0478,UB","DRUG TEST(S), PRESUMPTIVE, ANY NUMBER OF DRUG CLASSES; ANY NUMBER OF DEVICES OR PROCEDURES, (E.G. IMMUNOASSAY) READ BY INSTRUMENT-ASSISTED DIRECT OPTICAL OBSERVATION (E.G. DIPSTICKS, CUPS, CARDS, CARTRIDGES), INCLUDES SAMPLE VALIDATION WHEN PERFORMED, PER DATE OF SERVICE",59
"17111,PR",DSTRJ B9 SK TGS/ 15 OR MORE,60
"17111,UB",DSTRJ B9 SK TGS/ 15 OR MORE,297
"90700,UB",DTAP VACCINE < 7,55
"90723,UB",DTAP-HEPB-IPV VA,137
"90698,UB",DTAP-HIB-IPV VAC,118
"90696,UB",DTAP-IPV VACCINE,72
"93280,26,PR",DUAL PACEMAKER SYSTEM,70
"93280,59,26,PR",DUAL PACEMAKER SYSTEM,70
"93280,59,TC,UB",DUAL PACEMAKER SYSTEM,120
"93280,TC,UB",DUAL PACEMAKER SYSTEM,120
"77080,26,PR",DUEL ENERGY XRAY,109
"77080,TC,UB",DUEL ENERGY XRAY,173
"93978,26,PR",DUPLEX SCAN AORT,100
"93978,59,26,PR",DUPLEX SCAN AORT,100
"93978,59,TC,UB",DUPLEX SCAN AORT,451
"93978,TC,UB",DUPLEX SCAN AORT,451
"93880,26,PR",DUPLEX SCAN EXTR,93
"93880,TC,UB",DUPLEX SCAN EXTR,452
"93882,26,PR",DUPLEX SCAN EXTR,62
"93882,TC,UB",DUPLEX SCAN EXTR,411
"93975,26,PR",DUPLEX SCAN FLO,276
"93975,59,26,PR",DUPLEX SCAN FLO,276
"93975,59,TC,UB",DUPLEX SCAN FLO,451
"93975,TC,UB",DUPLEX SCAN FLO,451
"93925,26,PR",DUPLEX SCAN LOWR,88
"93925,TC,UB",DUPLEX SCAN LOWR,452
"93926,26,PR",DUPLEX SCAN LOWR,231
"93926,TC,UB",DUPLEX SCAN LOWR,113
"93979,26,PR","DUPLEX SCAN OF AORTA, INFERIOR VENA",67
"93979,TC,UB","DUPLEX SCAN OF AORTA, INFERIOR VENA",284
"93990,26,PR",DUPLEX SCAN OF HEMODIALYSIS ACCESS,38
"93990,TC,UB",DUPLEX SCAN OF HEMODIALYSIS ACCESS,283
"93930,26,PR",DUPLEX SCAN UPPR,71
"93930,TC,UB",DUPLEX SCAN UPPR,452
"93931,26,PR",DUPLEX SCAN UPPR,47
"93931,TC,UB",DUPLEX SCAN UPPR,283
"93970,26,PR",DUPLEX SCAN-EXTR,104
"93970,TC,UB",DUPLEX SCAN-EXTR,452
"93971,26,PR",DUPLEX SCAN-EXTR,70
"93971,GW,26,PR",DUPLEX SCAN-EXTR,70
"93971,GW,TC,UB",DUPLEX SCAN-EXTR,283
"93971,TC,UB",DUPLEX SCAN-EXTR,283
"93226,UB","ECG MONITOR/24 HRS, ANALYSIS/REPORT",102
"93225,UB","ECG MONITOR/24 HRS, RECORDING",82
"93306,26,PR",ECHO TTHRC R-T 2,262
"93306,59,PR",ECHO TTHRC R-T 2,262
"93306,59,UB",ECHO TTHRC R-T 2,449
"93306,TC,UB",ECHO TTHRC R-T 2,449
"93350,26,PR",ECHO TTHRC R-T 2,237
"93350,TC,UB",ECHO TTHRC R-T 2,372
"99306,59,26,PR",ECHO TTHRC R-T 2,262
"93351,26,PR","ECHOCARDIOGRAPHY, TRANSTHORACIC, REAL-TIME WITH IM",100
"93351,59,26,PR","ECHOCARDIOGRAPHY, TRANSTHORACIC, REAL-TIME WITH IM",100
"93351,59,TC,UB","ECHOCARDIOGRAPHY, TRANSTHORACIC, REAL-TIME WITH IM",624
"93351,TC,UB","ECHOCARDIOGRAPHY, TRANSTHORACIC, REAL-TIME WITH IM",624
"93307,26,PR","ECHOCARDIOGRAPHY, TRANSTORACIC,REAL TIME WITH IMAG",167
"93307,TC,UB","ECHOCARDIOGRAPHY, TRANSTORACIC,REAL TIME WITH IMAG",293
"76873,26,PR",ECHOGRAP TRANS R PROS STUDY,239
"76873,TC,UB",ECHOGRAP TRANS R PROS STUDY,280
"76830,26,PR","ECHOGRAPHY, TRANSVAGINAL",104
"76830,TC,UB","ECHOGRAPHY, TRANSVAGINAL",245
"43244,PR",EGD; W/BAND LIGATON OF ESOPHAGEAL OR GASTRIC VARIC,437
"43244,UB",EGD; W/BAND LIGATON OF ESOPHAGEAL OR GASTRIC VARIC,437
"93224,PR",EKG HOLTER 48 HR RECORD,111
"93224,UB",EKG HOLTER 48 HR RECORD,138
"93226,59,UB",EKG HOLTER 48 HR RECORD ANALYSIS/RPT,102
"93225,59,UB",EKG HOLTER 48 HR RECORD CONN/DISCONN,82
"93227,59,PR",EKG HOLTER 48 HR RECORD REVIEW/INTREP,65
"93227,PR",EKG HOLTER 48 HR RECORD REVIEW/INTREP,65
"G0405,PR","ELECTROCARDIOGRAM, ROUTINE ECG WITH 12 LEADS; INTERPRETATION AND REPORT ONLY, PERFORMED AS A SCREENING FOR THE INITIAL PREVENTIVE PHYSICAL EXAMINATION",28
"G0404,UB","ELECTROCARDIOGRAM, ROUTINE ECG WITH 12 LEADS; TRACING ONLY, WITHOUT INTERPRETATION AND REPORT, PERFORMED AS A SCREENING FOR THE INITIAL PREVENTIVE PHYSICAL EXAMINATION",37
"93010,59,PR","ELECTROCARDIOGRAM, ROUTINE W/AT LEAST 12",28
"93010,GW,PR","ELECTROCARDIOGRAM, ROUTINE W/AT LEAST 12",28
"93010,PR","ELECTROCARDIOGRAM, ROUTINE W/AT LEAST 12",28
"93005,59,UB","ELECTROCARDIOGRAM, TRACING ONLY",32
"93005,GW,UB","ELECTROCARDIOGRAM, TRACING ONLY",28
"93005,UB","ELECTROCARDIOGRAM, TRACING ONLY",32
"95816,26,PR",ELECTROENCEPHALOGRAM (EEG); INCLU,163
"95816,TC,UB",ELECTROENCEPHALOGRAM (EEG); INCLU,554
"95819,26,PR",ELECTROENCEPHALOGRAM (EEG)INCLUDI,162
"95819,TC,UB",ELECTROENCEPHALOGRAM (EEG)INCLUDI,621
"51784,26,PR",EMG ANAL/URETH S,238
"51784,TC,UB",EMG ANAL/URETH S,358
"58100,PR","ENDOMETRIAL SAMPLING (BIOPSY) WITH OR WITHOUT ENDOCERVICAL SAMPLING (BIOPSY), WITHOUT CERVICAL DILATION",157
"58100,UB","ENDOMETRIAL SAMPLING (BIOPSY) WITH OR WITHOUT ENDOCERVICAL SAMPLING (BIOPSY), WITHOUT CERVICAL DILATION",158
"46320,PR",ENUCLEATION EXT,123
"46320,UB",ENUCLEATION EXT,344
"93641,26,PR",EP EVAL SGLE OR DUAL DEFIBRILL LEADS W TESTING OF,1017
"93641,TC,UB",EP EVAL SGLE OR DUAL DEFIBRILL LEADS W TESTING OF,959
"99211,UB","EST OEST OFF VISIT(MIN), FACILITY FEE",139
"99215,UB","EST OFF VISIT(HIGH), FACILITY FEE",139
"99215,PR","EST OFF VISIT(HIGH),PROFESSIONAL FEE",287
"99212,UB","EST OFF VISIT(LOW), FACILITY FEE",139
"99212,PR","EST OFF VISIT(LOW), PROFESSIONAL FEE",29
"99211,PR","EST OFF VISIT(MIN),PROFESSIONAL FEE",11
"99214,UB","EST OFF VISIT(MOD), FACILITY FEE",139
"99213,UB","EST OFF VISIT(MOD),FACILITY FEE",139
"99213,PR","EST OFF VISIT(MOD),PROFESS FEE",76
"99214,PR","EST OFF VISIT(MOD),PROFESSIONAL FEE",179
"22903,PR",EXC ABD LES SC 3 CM/>,610
"22903,UB",EXC ABD LES SC 3 CM/>,660
"11442,PR",EXC B9 LES MRGN 1.1-2 CM,166
"11442,UB",EXC B9 LES MRGN 1.1-2 CM,337
"21930,PR",EXC BACK LES SC < 3 CM,722
"21930,UB",EXC BACK LES SC < 3 CM,547
"11400,59,PR",EXC BEN LES MARG,136
"11400,59,UB",EXC BEN LES MARG,183
"11403,51,PR",EXC BEN LES MARG,182
"11403,51,UB",EXC BEN LES MARG,323
"11403,79,PR",EXC BEN LES MARG,182
"11403,79,UB",EXC BEN LES MARG,323
"19120,PR",EXC CYST/ABERRAN,537
"19120,UB",EXC CYST/ABERRAN,758
"25075,PR",EXC FOREARM LES SC < 3 CM,537
"25075,UB",EXC FOREARM LES SC < 3 CM,473
"25071,PR",EXC FOREARM LES SC 3 CM/>,588
"25071,UB",EXC FOREARM LES SC 3 CM/>,638
"11603,59,PR",EXC MAL LES MARG; 2.1-3 CM,314
"11603,59,UB",EXC MAL LES MARG; 2.1-3 CM,447
"11603,79,PR",EXC MAL LES MARG; 2.1-3 CM,314
"11603,79,UB",EXC MAL LES MARG; 2.1-3 CM,447
"11603,PR",EXC MAL LES MARG; 2.1-3 CM,314
"11603,UB",EXC MAL LES MARG; 2.1-3 CM,447
"11604,PR",EXC MAL LES MARG; 3.1-4 CM,349
"11604,UB",EXC MAL LES MARG; 3.1-4 CM,492
"11606,PR",EXC MAL LES MARG;>4 CM,495
"11606,UB",EXC MAL LES MARG;>4 CM,697
"23071,PR",EXC SHOULDER LES SC 3 CM/>,576
"23071,UB",EXC SHOULDER LES SC 3 CM/>,629
"11470,PR",EXC SKN HIDRADEN SWEAT GLAND LESION,452
"11470,UB",EXC SKN HIDRADEN SWEAT GLAND LESION,610
"21555,PR",EXC TUMR SFT TIS,658
"21555,UB",EXC TUMR SFT TIS,463
"50435,PR","EXCHANGE NEPHROSTOMY CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION",708
"50435,UB","EXCHANGE NEPHROSTOMY CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION",707
"65420,PR",EXCISION OR TRANSPOSITION OF PTERYG,566
"65420,UB",EXCISION OR TRANSPOSITION OF PTERYG,782
"11770,PR",EXCISION PILONID,302
"11770,UB",EXCISION PILONID,413
"11424,PR","EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG",265
"11424,UB","EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG",360
"21552,PR","EXCISION, TUMOR, SOFT TISSUE OF NECK OR ANTERIOR",621
"21552,UB","EXCISION, TUMOR, SOFT TISSUE OF NECK OR ANTERIOR",675
"27327,50,PR","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",1170
"27327,50,UB","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",1170
"27327,LT,PR","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",585
"27327,LT,UB","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",585
"27327,PR","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",585
"27327,RT,PR","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",585
"27327,RT,UB","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",585
"27327,UB","EXCISION, TUMOR, SOFT TISSUE OF THIGH OR KNEE AREA, SUBCUTANEOUS; LESS THAN 3 CM",585
"27043,50,PR","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",1353
"27043,50,UB","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",1353
"27043,LT,PR","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",676
"27043,LT,UB","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",677
"27043,PR","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",676
"27043,RT,PR","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",676
"27043,RT,UB","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",677
"27043,UB","EXCISION,TUMOR,SOFT TISSUE OF PELVIS AND HIP AREA",677
"94617,26,PR","EXERCISE TEST FOR BRONCHOSPASM, INCLUDING PRE- AND POST-SPIROMETRY, ELECTROCARDIOGRAPHIC RECORDING(S), AND PULSE OXIMETRY",101
"94617,TC,UB","EXERCISE TEST FOR BRONCHOSPASM, INCLUDING PRE- AND POST-SPIROMETRY, ELECTROCARDIOGRAPHIC RECORDING(S), AND PULSE OXIMETRY",187
"50431,PR",EXISTING ACCESS,242
"50431,UB",EXISTING ACCESS,243
"64614,PR",EXTREMITY(S) AND/OR TRUNK MUSCLE(,197
"64614,UB",EXTREMITY(S) AND/OR TRUNK MUSCLE(,293
"G0473,UB","FACE TO FACE BEHAVIORAL COUNSELING FOR OBESITY, GROUP (2-10), 30 MINUTES",20
"G0447,PR","FACE-TO-FACE BEHAVIORAL COUNSELING FOR OBESITY, 15 MINUTES",27
"G0447,UB","FACE-TO-FACE BEHAVIORAL COUNSELING FOR OBESITY, 15 MINUTES",47
"76818,26,PR","FETAL BIOPHYSICAL PROFILE, WITH N",157
"76818,TC,UB","FETAL BIOPHYSICAL PROFILE, WITH N",194
"76819,26,PR",FETAL BIPHYSICAL PROFILE,116
"76819,TC,UB",FETAL BIPHYSICAL PROFILE,151
"91200,26,PR","FIBROSCAN - ELASTOGRAPHY, MECHANICALLY INDUCED WAVE",116
"91200,TC,UB","FIBROSCAN - ELASTOGRAPHY, MECHANICALLY INDUCED WAVE",160
"10021,59,PR",FINE NDLE ASPIR; W/O IMAGE,163
"10021,59,UB",FINE NDLE ASPIR; W/O IMAGE,228
"10021,PR",FINE NDLE ASPIR; W/O IMAGE,163
"10021,UB",FINE NDLE ASPIR; W/O IMAGE,228
"10022,59,PR",FINE NEEDLE ASPI WITH IMAGE,154
"10022,59,UB",FINE NEEDLE ASPI WITH IMAGE,235
"10022,PR",FINE NEEDLE ASPI WITH IMAGE,154
"10022,UB",FINE NEEDLE ASPI WITH IMAGE,235
"49460,PR",FIX G/COLON TUBE W/DEVICE,879
"49460,UB",FIX G/COLON TUBE W/DEVICE,1363
"Q2036,UB","FLULAVAL VACC, 3 YRS & >, IM",22
"77003,26,PR",FLUOROGUIDE FOR SPINE INJECT,87
"77003,TC,UB",FLUOROGUIDE FOR SPINE INJECT,87
"77002,26,PR",FLUOROSCOPIC GUI,82
"77002,TC,UB",FLUOROSCOPIC GUI,127
"76000,26,PR",FLUORO-SP TO 1HR,26
"76000,TC,UB",FLUORO-SP TO 1HR,250
"Q2037,UB","FLUVIRIN VACC,3 YRS& >,IM",22
"90662,UB",FLUZONE HIGH DOSE 0.5 ML INJECTION,93
"Q2038,UB","FLUZONE VACC, 3 YRS & >, IM",22
"95874,26,PR",GUIDE NERV DESTR NEEDLE EMG,58
"95874,TC,UB",GUIDE NERV DESTR NEEDLE EMG,84
"90645,UB",HEMOPHILUS INFLU,84
"90648,UB",HEMOPHILUS INFLU,35
"46221,59,PR",HEMORRHOIDECTOMY,296
"46221,59,UB",HEMORRHOIDECTOMY,385
"46221,PR",HEMORRHOIDECTOMY,296
"46221,UB",HEMORRHOIDECTOMY,385
"90636,UB",HEPATITIS A & B,125
"90633,UB",HEPATITIS A VACC,43
"90632,UB","HEPATITIS A VACCINE, ADULT",100
"90746,UB","HEPATITIS B IMMUNIZATION, 20+ YEARS",108
"90744,UB",HEPATITIS B VACC,55
"95934,26,PR","H-REFLEX, AMPLITUDE AND LATENCY S",78
"95934,59,26,PR","H-REFLEX, AMPLITUDE AND LATENCY S",78
"95934,59,TC,UB","H-REFLEX, AMPLITUDE AND LATENCY S",73
"95934,TC,UB","H-REFLEX, AMPLITUDE AND LATENCY S",73
"90649,UB",HUMAN PAPILLOMA,191
"46040,PR",I&D ISCHIORECTAL,583
"46040,UB",I&D ISCHIORECTAL,788
"45005,PR",I&D OF SUBMUCOSA,300
"45005,UB",I&D OF SUBMUCOSA,388
"46050,PR",I&D PERIANAL ABS,221
"46050,UB",I&D PERIANAL ABS,273
"93290,26,PR",ICM DEVICE EVAL,35
"93290,TC,UB",ICM DEVICE EVAL,59
"93291,26,PR",ILR DEVICE INTERROGATE,71
"93291,TC,UB",ILR DEVICE INTERROGATE,46
"90461,UB",IMMUNE ADMIN <18YRS ADDL,27
"90460,UB",IMMUNE ADMIN <18YRS INTL,55
"90471,UB",IMMUNIZATION ADM,64
"90473,UB",IMMUNIZATION ADM NAASAL/ORAL SINGLE,44
"90472,UB","IMMUNIZATION AIMMUNIZATION ADMDMIN, EACH ADD VACCINE",33
"93285,26,PR",IMPLANTABLE LOOP RECORDER SYSTEM,50
"93285,TC,UB",IMPLANTABLE LOOP RECORDER SYSTEM,86
"26460,PR","INCISE HAND/FINGER TENDON, OPEN, EA",525
"26460,UB","INCISE HAND/FINGER TENDON, OPEN, EA",526
"46083,PR",INCISION OF EXTERNAL HEMORRHOID,197
"46083,UB",INCISION OF EXTERNAL HEMORRHOID,275
"G9141,UB",INFLUENZA A (H1N1) IMMUNIZATION ADMINISTRATION,40
"90660,UB",INFLUENZA VACCIN,50
"90658,UB",INFLUENZA VACCINE 3 YRS UP,22
"90657,UB",INFLUENZA VACCINE 6-35 MONTHS,24
"90653,UB","INFLUENZA VACCINE, INACTIVATED (IIV), SUBUNIT, ADJUVANTED, FOR INTRAMUSCULAR USE",151
"90656,UB","INFLUENZA VIRUINFLUENZA VACCINS VACCINE, SPLIT, PRESERV FREE, 3 YR",44
"90655,UB","INFLUENZA VIRUS INFLUENZA VIRUSVACCINE, SPLIT, PRESERV FREE, 6-35",22
"90661,UB","INFLUENZA VIRUS VACCINE (CCIIV3) DERIVED FROM CELL CURLTURES, SUB UNIT, PERSERVATIVE AND ANTIBIOTIC FREE, FOR INTRAMUSCULAR USE",67
"90756,UB","INFLUENZA VIRUS VACCINE, QUADRIVALENT (CCIIV4), DERIVED FROM CELL CULTURES, SUBUNIT, ANTIBIOTIC FREE, 0.5 ML DOSAGE FOR INTRAMUSCULAR USE",68
"90682,UB","INFLUENZA VIRUS VACCINE, QUADRIVALENT (RIV4), DERIVED FROM RECOMBINANT DNA, HEMAGGLUTNIN (HA) PROTEIN ONLY, PRESERVATIVE AND ANTIBIOTIC FREE, FOR INTRAMUSCULAR USE",139
"90686,UB","INFLUENZA VIRUS VACCINE, QUADRIVALENT, SPLIT PRESERVATIVE FREE WHEN ADMINISTERED INDIVIDUALS 3 YRS OF AGE AND OLDER",27
"90654,UB","INFLUENZA VIRUS VACCINE, SPLIT VIRUS, PRESERVATIVE",37.13
"90673,UB","INFLUENZA VIRUS VACCINE, TRIVALENT, DERIVED FROM RECOMBINANT DNA (RIV3), HEMAGGLUTNIN (HA) PROTEIN ONLY, PRESERVATIVE AND ANTIBIOTIC FREE, FOR INTRAMUSCULAR USE",109
"G0402,25,PR",INITIAL PREVENTI,141
"G0402,25,UB",INITIAL PREVENTI,262
"G0402,GE,PR",INITIAL PREVENTI,141
"G0402,GE,UB",INITIAL PREVENTI,262
"G0402,PR",INITIAL PREVENTI,141
"G0402,UB",INITIAL PREVENTI,262
"64421,PR",INJ ANES AGENT,199
"64421,UB",INJ ANES AGENT,464
"64425,PR",INJ ANES AGENT;,146
"64425,UB",INJ ANES AGENT;,220
"64405,50,59,PR",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,216
"64405,50,59,UB",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,392
"64405,50,PR",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,216
"64405,50,UB",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,392
"64405,LT,PR",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,108
"64405,LT,UB",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,196
"64405,PR",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,108
"64405,RT,PR",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,108
"64405,RT,UB",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,196
"64405,UB",INJ ANESTHETIC AGENT GREATER OCCIPITAL NERVE,196
"64484,PR",INJ ANESTHETIC AGENT LUMBAR OR SACRAL EA ADD'L LEVEL,112
"64484,UB",INJ ANESTHETIC AGENT LUMBAR OR SACRAL EA ADD'L LEVEL,272
"64483,PR",INJ ANESTHETIC AGENT LUMBAR OR SACRAL SINGLE LEVEL,272
"64483,UB",INJ ANESTHETIC AGENT LUMBAR OR SACRAL SINGLE LEVEL,479
"64493,PR",INJ DIAGNOSTIC OR THERAPEUTIC PARAVERTEBRAL FACET JT,203
"64493,UB",INJ DIAGNOSTIC OR THERAPEUTIC PARAVERTEBRAL FACET JT,281
"64494,PR",INJ DIAGNOSTIC OR THERAPEUTIC PARAVERTEBRAL FACET JT SEC LEVEL,101
"64494,UB",INJ DIAGNOSTIC OR THERAPEUTIC PARAVERTEBRAL FACET JT SEC LEVEL,148
"64495,PR",INJ DIAGNOSTIC OR THERAPEUTIC PARAVERTEBRAL FACET JT THIRD LEVEL,101
"64495,UB",INJ DIAGNOSTIC OR THERAPEUTIC PARAVERTEBRAL FACET JT THIRD LEVEL,151
"62273,PR",INJ EPIDURAL OF BLOOD OR CLOT PATCH,194
"62273,UB",INJ EPIDURAL OF BLOOD OR CLOT PATCH,276
"64480,PR",INJ FORAMEN EPIDURAL ADD-ON,139
"64480,UB",INJ FORAMEN EPIDURAL ADD-ON,258
"64479,PR",INJ FORAMEN EPIDURAL C/T INJ,292
"64479,UB",INJ FORAMEN EPIDURAL C/T INJ,487
"64520,PR",INJ LUMBAR OR THORACIC PARAVERTEBRAL SYMPATHETIC,222
"64520,UB",INJ LUMBAR OR THORACIC PARAVERTEBRAL SYMPATHETIC,297
"64490,PR",INJ PARAVERT F JNT C/T 1 LEV,226
"64490,UB",INJ PARAVERT F JNT C/T 1 LEV,317
"64491,PR",INJ PARAVERT F JNT C/T 2 LEV,110
"64491,UB",INJ PARAVERT F JNT C/T 2 LEV,163
"64492,PR",INJ PARAVERT F JNT C/T 3 LEV,111
"64492,UB",INJ PARAVERT F JNT C/T 3 LEV,166
"27095,PR",INJ PROCEDURE FOR HIP ARTHROG,2700
"27095,UB",INJ PROCEDURE FOR HIP ARTHROG,370
"27096,PR",INJ PROCEDURE FOR SACROILIAC,192
"27096,UB",INJ PROCEDURE FOR SACROILIAC,309
"11900,PR","INJECT SKIN LESIONS, 7 MAX",62
"11900,UB","INJECT SKIN LESIONS, 7 MAX",93
"20550,PR",INJECT TENDON/LIGAMENT/GANGL CYST,50
"20550,UB",INJECT TENDON/LIGAMENT/GANGL CYST,132
"51610,PR",INJECTION FOR BLADDER X-RAY,126
"51610,UB",INJECTION FOR BLADDER X-RAY,203
"50394,78,PR",INJECTION FOR KIDNEY X-RAY,118
"50394,78,UB",INJECTION FOR KIDNEY X-RAY,186
"50394,PR",INJECTION FOR KIDNEY X-RAY,118
"50394,UB",INJECTION FOR KIDNEY X-RAY,186
"20500,PR",INJECTION OF SINUS TRACT; THERAPEUT,157
"20500,UB",INJECTION OF SINUS TRACT; THERAPEUT,157
"50430,PR","INJECTION PROCEDURE FOR ANTEGRADE NEPHROSTOGRAM AND/OR URETEROGRAM, COMPLETE DIAGNOSTIC PROCEDURE INCLUDING IMAGING GUIDANCE (EG, ULTRASOUND AND FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION; NEW ACCESS",781
"50430,UB","INJECTION PROCEDURE FOR ANTEGRADE NEPHROSTOGRAM AND/OR URETEROGRAM, COMPLETE DIAGNOSTIC PROCEDURE INCLUDING IMAGING GUIDANCE (EG, ULTRASOUND AND FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION; NEW ACCESS",782
"51600,51,PR",INJECTION PROCEDURE FOR CYSTOGRAP,220
"51600,51,UB",INJECTION PROCEDURE FOR CYSTOGRAP,342
"51600,78,PR",INJECTION PROCEDURE FOR CYSTOGRAP,220
"51600,78,UB",INJECTION PROCEDURE FOR CYSTOGRAP,342
"51600,PR",INJECTION PROCEDURE FOR CYSTOGRAP,220
"51600,UB",INJECTION PROCEDURE FOR CYSTOGRAP,342
