Medication,Package Size,Package Unit,UOM charge
CLINDAMYCIN 1 % TOPICAL SOLN,30,mL,156.16
CLINDAMYCIN 1 % TOPICAL SOLN,30,mL,192.13
CLINDAMYCIN 150 MG CAP,1,Each,26
CLINDAMYCIN 2 % VAGINAL CREAM,40,g,460.31
CLINDAMYCIN 2 % VAGINAL CREAM,40,g,491.31
CLINDAMYCIN 300 MG/2 ML IV,2,mL,80
CLINDAMYCIN 300 MG/50 ML IN 0.9% SODIUM CHLORIDE IV PIGGYBACK,50,mL,248
CLINDAMYCIN 600 MG/4 ML IV,4,mL,80
CLINDAMYCIN 600 MG/50 ML IN 0.9% SODIUM CHLORIDE IV PIGGYBACK,50,mL,248
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,100,mL,276.65
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,100,mL,291.96
CLINDAMYCIN 900 MG/50 ML IN 0.9% SODIUM CHLORIDE IV PIGGYBACK,50,mL,248
CLINDAMYCIN 900 MG/6 ML IV,6,mL,80
CLINDAMYCIN IN D5W 300 MG/50 ML IV PIGGY BACK,50,mL,248
CLINDAMYCIN IN D5W 600 MG/50 ML IV PIGGY BACK,50,mL,248
CLINDAMYCIN IN D5W 900 MG/50 ML IV PIGGY BACK,50,mL,248
CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN,4,mL,80
CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN,6,mL,80
CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN,60,mL,190.19
CLOBAZAM 2.5 MG/ML ORAL SUSPENSION,120,mL,3256.3
CLOBETASOL 0.05 % OINTMENT,15,g,227.62
CLOBETASOL 0.05 % OINTMENT,30,g,348.09
CLOBETASOL 0.05 % OINTMENT,15,g,457.53
CLOBETASOL 0.05 % OINTMENT,45,g,488.9
CLOBETASOL 0.05 % TOPICAL CREAM,15,g,150.34
CLOBETASOL 0.05 % TOPICAL CREAM,15,g,329.89
CLOBETASOL 0.05 % TOPICAL CREAM,60,g,788.07
CLOBETASOL 0.05 % TOPICAL SOLN,50,mL,471.14
CLOMIPRAMINE 25 MG CAP,1,Each,26
CLOMIPRAMINE 25 MG CAP,1,Each,68.22
CLONAZEPAM 0.5 MG TAB,1,Each,38
"CLONAZEPAM 0.5 MG TAB, RAPID DISSOLVE",1,Each,38
CLONAZEPAM 1 MG TAB,1,Each,38
"CLONAZEPAM 1 MG TAB, RAPID DISSOLVE",1,Each,38
"CLONIDINE (PF) 1,000 MCG/10 ML (100 MCG/ML) EPIDURAL SOLUTION",10,mL,249.96
"CLONIDINE (PF) 1,000 MCG/10 ML (100 MCG/ML) EPIDURAL SOLUTION",10,mL,313.35
"CLONIDINE (PF) 1,000 MCG/10 ML (100 MCG/ML) EPIDURAL SOLUTION",10,mL,419.93
CLONIDINE 0.1 MG TAB,1,Each,26
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,124.843
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,124.97
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,135.728
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,155.98
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,156.13
CLONIDINE 0.2 MG TAB,1,Each,26
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,210.19
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,223.438
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,262.6
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,262.9
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,362.808
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,218.813
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,219.055
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,327.91
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,328.27
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,1,Each,503.29
CLOPIDOGREL 300 MG TAB,1,Each,46.973
CLOPIDOGREL 300 MG TAB,1,Each,91.149
CLOPIDOGREL 300 MG TAB,1,Each,134.48
CLOPIDOGREL 75 MG TAB,1,Each,26
CLORAZEPATE DIPOTASSIUM 3.75 MG TAB,1,Each,38
CLOTRIMAZOLE 1 % TOPICAL CREAM,14.17,g,4.92
CLOTRIMAZOLE 1 % TOPICAL CREAM,15,g,26
CLOTRIMAZOLE 1 % TOPICAL CREAM,30,g,29.53
CLOTRIMAZOLE 1 % TOPICAL CREAM,15,g,33.02
CLOTRIMAZOLE 1 % TOPICAL CREAM,15,g,75.75
CLOTRIMAZOLE 1 % TOPICAL CREAM,30,g,143.34
CLOTRIMAZOLE 1 % VAGINAL CREAM,45,g,15.97
CLOTRIMAZOLE 1 % VAGINAL CREAM,45,g,16.15
CLOTRIMAZOLE 10 MG TROCHE,1,Each,26
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,15,g,109.16
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,15,g,158.58
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,15,g,160.15
CLOZAPINE 100 MG TAB,1,Each,26
CLOZAPINE 25 MG TAB,1,Each,26
"COAGULATION FACTOR IX (RECOMB) 1,000 UNIT INTRAVENOUS SOLUTION",1,Each,80
"COAGULATION FACTOR VIIA RECOMB 1 MG (1,000 MCG) IV SOLUTION",1,Each,80
"COAGULATION FACTOR VIIA RECOMB 2 MG (2,000 MCG) IV SOLUTION",1,Each,80
"COAGULATION FACTOR VIIA RECOMB 5 MG (5,000 MCG) IV SOLUTION",1,Each,80
COBICISTAT 150 MG TABLET,1,Each,26
COCAINE 4 % NASAL SOLUTION,4,mL,807.26
COCAINE 4 % TOPICAL SOLN,4,mL,809.49
COCAINE CRYSTALS,5,g,1293.32
COCAINE/ADRENALIN NASAL SOLUTION (PHARMACY COMPOUNDED),8,mL,2599.29
COD LIVER OIL CAP,1,Each,26
CODEINE 30 MG TAB,1,Each,38
CODEINE-GUAIFENESIN 10 MG-100 MG/5 ML ORAL LIQUID,10,mL,38
CODEINE-GUAIFENESIN 10 MG-100 MG/5 ML ORAL LIQUID,5,mL,38
COENZYME Q10 100 MG CAP,1,Each,26
COENZYME Q10 50 MG CAP,1,Each,26
COLCHICINE 0.6 MG CAPSULE,1,Each,26
COLCHICINE 0.6 MG TAB,1,Each,26
COLESEVELAM 625 MG TAB,1,Each,26
COLESTIPOL 1 GRAM TAB,1,Each,26
COLESTIPOL 5 GRAM ORAL PACKET,1,Each,26
COLISTIMETHATE SODIUM 150 MG SOLUTION FOR INJECTION,1,Each,279.85
COLISTIMETHATE SODIUM 150 MG SOLUTION FOR INJECTION,1,Each,279.95
COLLAGENASE 250 UNIT/G OINTMENT,30,g,724.11
COLLAGENASE 250 UNIT/G OINTMENT,30,g,798.14
COLLOIDAL OATMEAL TOPICAL PACKET,1,Each,2.305
CONJUG. ESTROGEN-MEDROXYPROGESTERONE 0.3 MG-1.5 MG TAB,1,Each,30.949
CONJUG. ESTROGEN-MEDROXYPROGESTERONE 0.625 MG-2.5 MG TAB,1,Each,30.949
CONJUGATED ESTROGENS 0.3 MG TAB,1,Each,26
CONJUGATED ESTROGENS 0.45 MG TAB,1,Each,26
CONJUGATED ESTROGENS 0.625 MG TAB,1,Each,26
CONJUGATED ESTROGENS 0.625 MG/G VAGINAL CREAM,30,g,1257.83
CONJUGATED ESTROGENS 0.9 MG TAB,1,Each,26
CONJUGATED ESTROGENS 25 MG SOLUTION FOR INJECTION,1,Each,1810.26
CORTICOTROPIN 80 UNIT/ML INJECTION GEL,5,mL,221902.92
CORTICOTROPIN 80 UNIT/ML INJECTION GEL,5,mL,237212.04
CORTISONE 25 MG TAB,1,Each,26
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,1,Each,857.25
CROMOLYN 4 % EYE DROPS,10,mL,145.68
CROMOLYN 4 % EYE DROPS,10,mL,147.81
CROMOLYN 5.2 MG/ACTUATION (4 %) NASAL SPRAY,26,mL,45.29
CROTALIDAE POLYVAL IMMUNE FAB SOLUTION FOR INJECTION,1,Each,19505.41
CUPRIC CHLORIDE 0.4 MG/ML IV,10,mL,248
"CYANOCOBALAMIN (B12)-COBAMAMIDE 5,000 MCG-100 MCG SUBLINGUAL TABLET",1,Each,1
"CYANOCOBALAMIN 1,000 MCG/ML IJ SOLN",1,mL,80
CYANOCOBALAMIN 100 MCG TAB,1,Each,1
CYANOCOBALAMIN 500 MCG TAB,1,Each,1
CYCLOBENZAPRINE 10 MG TAB,1,Each,26
CYCLOPENTOLATE 0.5 % EYE DROPS,15,mL,403.09
CYCLOPENTOLATE 1 % EYE DROPS,2,mL,76.53
CYCLOPENTOLATE 1 % EYE DROPS,2,mL,77.37
CYCLOPENTOLATE 1 % EYE DROPS,2,mL,78.34
CYCLOPENTOLATE 2 % EYE DROPS,2,mL,152.86
CYCLOPENTOLATE 2 % EYE DROPS,2,mL,205.08
CYCLOPENTOLATE 2 % EYE DROPS,5,mL,229.8
CYCLOPENTOLATE 2 % EYE DROPS,5,mL,305.18
CYCLOPENTOLATE 2 % EYE DROPS,15,mL,343.56
CYCLOPENTOLATE-PHENYLEPHRINE 0.2 %-1 % EYE DROPS,2,mL,163.82
CYCLOPENTOLATE-PHENYLEPHRINE 0.2 %-1 % EYE DROPS,5,mL,287.66
CYCLOPHOSPHAMIDE 1 GRAM IV SOLUTION,1,Each,4444.26
CYCLOPHOSPHAMIDE 1 GRAM IV SOLUTION,1,Vial,4926.06
CYCLOPHOSPHAMIDE 2 GRAM IV SOLUTION,1,Each,9744.01
CYCLOPHOSPHAMIDE 25 MG CAPSULE,1,Each,247.25
CYCLOPHOSPHAMIDE 50 MG CAPSULE,1,Each,247.25
CYCLOPHOSPHAMIDE 500 MG IV SOLUTION,1,Each,2276.22
CYCLOPHOSPHAMIDE 500 MG IV SOLUTION,1,Each,2517.08
CYCLOPHOSPHAMIDE 500 MG IV SOLUTION,1,Vial,2517.08
CYCLOSPORINE 0.05 % EYE DROPPERETTE,1,Each,54.96
CYCLOSPORINE 100 MG CAP,1,Each,37.54
CYCLOSPORINE 100 MG CAP,1,Each,60.28
CYCLOSPORINE 100 MG CAP,1,Each,91.23
CYCLOSPORINE 25 MG CAP,1,Each,26
CYCLOSPORINE 250 MG/5 ML IV,5,mL,390.98
CYCLOSPORINE 250 MG/5 ML IV,5,mL,495.06
CYCLOSPORINE MODIFIED 100 MG CAP,1,Each,26
CYCLOSPORINE MODIFIED 100 MG CAP,1,Each,28.47
CYCLOSPORINE MODIFIED 100 MG/ML ORAL SOLN,1,mL,30.54
CYCLOSPORINE MODIFIED 100 MG/ML ORAL SOLN,50,mL,833.68
CYCLOSPORINE MODIFIED 25 MG CAP,1,Each,26
CYPROHEPTADINE 2 MG/5 ML SYRUP,5,mL,26
CYPROHEPTADINE 2 MG/5 ML SYRUP,473,mL,270.07
CYPROHEPTADINE 2 MG/5 ML SYRUP,473,mL,283.18
CYPROHEPTADINE 4 MG TAB,1,Each,26
CYSTEINE (L-CYSTEINE) 50 MG/ML IV,10,mL,88.84
CYSTEINE (L-CYSTEINE) 50 MG/ML IV,10,mL,132.17
CYSTEINE (L-CYSTEINE) 50 MG/ML IV,50,mL,180.98
CYSTEINE (L-CYSTEINE) 50 MG/ML IV,10,mL,245.47
CYTARABINE (PF) 100 MG SOLUTION FOR INJECTION,1,Each,247.25
CYTARABINE 100 MG/ML IJ SOLN,20,mL,320.8
"CYTARABINE LIPOSOME 10 MG/ML SUSP, INTRATHECAL",5,mL,19603.55
CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN) 50 MG/ML IV,50,mL,7837.54
D5-1/2 NS & POTASSIUM CHLORIDE 10 MEQ/L IV,1000,mL,248
D5-1/2 NS & POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,248
D5-1/2 NS & POTASSIUM CHLORIDE 30 MEQ/L IV,1000,mL,248
D5-1/2 NS & POTASSIUM CHLORIDE 40 MEQ/L IV,1000,mL,248
D5-1/4 NS & POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,248
D5-LR WITH POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,248
D5-NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,248
D5-NS WITH POTASSIUM CHLORIDE 40 MEQ/L IV,1000,mL,248
D5W WITH POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,248
DABIGATRAN ETEXILATE 150 MG CAP,1,Each,26
DABIGATRAN ETEXILATE 75 MG CAP,1,Each,26
DACARBAZINE 200 MG IV SOLUTION,1,Each,298.01
DACARBAZINE 200 MG IV SOLUTION,1,Each,455.47
DACTINOMYCIN 0.5 MG IV SOLUTION,1,Each,11220.38
DALBAVANCIN 500 MG INTRAVENOUS SOLUTION,1,Each,9360.52
DANAZOL 100 MG CAP,1,Each,26
DANAZOL 200 MG CAP,1,Each,26
DANTROLENE 20 MG IV SOLUTION,1,Each,631.68
DANTROLENE 20 MG IV SOLUTION,1,Each,730.95
DANTROLENE 20 MG IV SOLUTION,1,Each,799.89
DANTROLENE 25 MG CAP,1,Each,26
DAPAGLIFLOZIN 5 MG TABLET,1,Each,54.747
DAPSONE 100 MG TAB,1,Each,26
DAPSONE 25 MG TAB,1,Each,26
DAPTOMYCIN 500 MG IV SOLUTION,1,Each,2717.16
DARATUMUMAB 20 MG/ML INTRAVENOUS SOLUTION,5,mL,3461.53
DARATUMUMAB 20 MG/ML INTRAVENOUS SOLUTION,20,mL,13521.81
DARBEPOETIN ALFA 150 MCG/0.3 ML IN POLYSORBATE INJECTION SYRINGE,0.3,mL,7081.23
DARBEPOETIN ALFA 200 MCG/ML IN POLYSORBATE INJECTION,1,mL,9441.64
DARBEPOETIN ALFA 60 MCG/0.3 ML IN POLYSORBATE INJECTION SYRINGE,0.3,mL,2832.5
DARBEPOETIN ALFA 60 MCG/ML IN POLYSORBATE INJECTION,1,mL,2832.5
DARBEPOETIN ALFA IN POLYSORBATE 100 MCG/0.5 ML SYRINGE,0.5,mL,4720.82
DARBEPOETIN ALFA IN POLYSORBATE 200 MCG/0.4 ML SYRINGE,0.4,mL,9441.64
DARBEPOETIN ALFA IN POLYSORBATE 25 MCG/0.42 ML SYRINGE,0.42,mL,1556.37
DARBEPOETIN ALFA IN POLYSORBATE 25 MCG/ML INJECTION,1,mL,1556.37
DARBEPOETIN ALFA IN POLYSORBATE 300 MCG/0.6 ML SYRINGE,0.6,mL,12176.06
DARBEPOETIN ALFA IN POLYSORBATE 300 MCG/ML INJECTION,1,mL,14162.46
DARBEPOETIN ALFA IN POLYSORBATE 40 MCG/0.4 ML SYRINGE,0.4,mL,1888.33
DARBEPOETIN ALFA IN POLYSORBATE 40 MCG/ML INJECTION,1,mL,1888.33
DARBEPOETIN ALFA IN POLYSORBATE 500 MCG/ML SYRINGE,1,mL,23604.1
DARIFENACIN SR 7.5 MG 24 HR TAB,1,Each,44.908
DARUNAVIR 400 MG TAB,1,Each,74.136
DARUNAVIR 600 MG TAB,1,Each,93.139
DARUNAVIR 600 MG TAB,1,Each,94.235
DARUNAVIR 800 MG TABLET,1,Each,186.279
DARUNAVIR 800 MG-COBICISTAT 150 MG TABLET,1,Each,212.912
DAUNORUBICIN 5 MG/ML IV INJ,4,mL,1258.86
DECITABINE 50 MG IV SOLUTION,1,Each,11223.93
DECITABINE 50 MG IV SOLUTION,1,Each,11362.05
DEFERASIROX 125 MG DISPERSIBLE TABLET,1,Each,138.238
DEFEROXAMINE 2 GRAM SOLUTION FOR INJECTION,1,Each,411.93
DEFEROXAMINE 500 MG SOLUTION FOR INJECTION,1,Each,103.21
DEFEROXAMINE 500 MG SOLUTION FOR INJECTION,1,Each,142.04
DEGARELIX 120 MG SUB-Q SOLN,1,Each,5066.63
DEGARELIX 80 MG SUB-Q SOLN,1,Each,3320.84
DEMECLOCYCLINE 150 MG TAB,1,Each,26
DENOSUMAB 120 MG/1.7 ML (70 MG/ML) SUB-Q,1.7,mL,13523.38
DENOSUMAB 60 MG/ML SUB-Q SYRINGE,1,mL,7892.8
DESFLURANE FOR INHALATION,240,mL,0
DESIPRAMINE 25 MG TAB,1,Each,26
DESIPRAMINE 50 MG TAB,1,Each,26
DESMOPRESSIN 0.1 MG TAB,1,Each,26
DESMOPRESSIN 0.2 MG TAB,1,Each,26
DESMOPRESSIN 10 MCG/SPRAY (0.1 ML) NASAL SPRAY (NON-REFRIGERATED),5,mL,927.91
DESMOPRESSIN 10 MCG/SPRAY (0.1 ML) NASAL SPRAY (NON-REFRIGERATED),5,mL,928.15
DESMOPRESSIN 4 MCG/ML IJ SOLN,1,mL,80
DESMOPRESSIN 4 MCG/ML IJ SOLN,1,mL,530.55
DESMOPRESSIN 4 MCG/ML IJ SOLN,10,mL,532.42
DESMOPRESSIN 4 MCG/ML IJ SOLN,1,mL,596.09
DESMOPRESSIN 4 MCG/ML IJ SOLN,10,mL,2855.25
DESMOPRESSIN 4 MCG/ML IJ SOLN,10,mL,3630.28
DESMOPRESSIN 4 MCG/ML IJ SOLN,10,mL,4903.92
DESONIDE 0.05 % TOPICAL CREAM,15,g,116.54
DESONIDE 0.05 % TOPICAL CREAM,15,g,340.3
DESOXIMETASONE 0.05 % TOPICAL CREAM,15,g,293.93
DESOXIMETASONE 0.25 % TOPICAL CREAM,15,g,184.18
DESOXIMETASONE 0.25 % TOPICAL CREAM,15,g,241.66
DESOXIMETASONE 0.25 % TOPICAL CREAM,60,g,653.85
"DESVENLAFAXINE ER 50 MG TABLET,EXTENDED RELEASE 24 HOUR",1,Each,29.295
"DESVENLAFAXINE ER 50 MG TABLET,EXTENDED RELEASE 24 HR",1,Each,26
DESVENLAFAXINE SUCCINATE ER 50 MG 24 HR TABLET,1,Each,44.986
DEXAMETHASONE 0.1 % EYE DROPS,5,mL,285.57
"DEXAMETHASONE 0.1 % EYE DROPS, SUSP",5,mL,399.54
DEXAMETHASONE 0.5 MG TAB,1,Each,26
DEXAMETHASONE 0.5 MG/5 ML ORAL SOLN,500,mL,103.59
DEXAMETHASONE 0.75 MG TAB,1,Each,26
DEXAMETHASONE 1 MG TAB,1,Each,26
DEXAMETHASONE 1.5 MG TAB,1,Each,26
DEXAMETHASONE 4 MG TAB,1,Each,26
DEXAMETHASONE SODIUM PHOSPHATE (PF) 10 MG/ML INJECTION,1,mL,80
DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML IJ SOLN,1,mL,80
DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML IJ SOLN,10,mL,80
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,1,mL,80
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,5,mL,80
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,142.59
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,162.33
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,197.43
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,209.38
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,319.95
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,395.93
DEXMEDETOMIDINE 100 MCG/ML IV SOLN,2,mL,419.93
DEXMEDETOMIDINE 400 MCG/100 ML (4 MCG/ML) IN 0.9 % SODIUM CHLORIDE IV,100,mL,503.94
DEXMEDETOMIDINE 400 MCG/100 ML (4 MCG/ML) IN 0.9 % SODIUM CHLORIDE IV,100,mL,529.14
DEXRAZOXANE 250 MG IV SOLUTION,1,Each,1432.6
DEXRAZOXANE 500 MG IV SOLUTION,1,Each,2433.61
DEXRAZOXANE 500 MG IV SOLUTION,1,Each,2865.25
DEXTRAN 40 10% IN D5W IV,500,mL,248
DEXTROAMPHETAMINE SR 15 MG CAP,1,Each,38
DEXTROMETHORPHAN POLY COMPLEX SR 30 MG/5 ML ORAL 12 HR SUSP,5,mL,1.76
DEXTROMETHORPHAN POLY COMPLEX SR 30 MG/5 ML ORAL 12 HR SUSP,89,mL,21.65
DEXTROMETHORPHAN POLY COMPLEX SR 30 MG/5 ML ORAL 12 HR SUSP,89,mL,24.48
DEXTROMETHORPHAN POLY COMPLEX SR 30 MG/5 ML ORAL 12 HR SUSP,89,mL,31.23
DEXTROMETHORPHAN-GUAIFENESIN 10 MG-100 MG/5 ML SYRUP,5,mL,5.98
DEXTROMETHORPHAN-GUAIFENESIN 10 MG-100 MG/5 ML SYRUP,10,mL,7.06
DEXTROMETHORPHAN-GUAIFENESIN 10 MG-100 MG/5 ML SYRUP,118,mL,8.47
DEXTROMETHORPHAN-GUAIFENESIN SR 30 MG-600 MG 12 HR TAB,1,Each,1.794
DEXTROMETHORPHAN-GUAIFENESIN SR 30 MG-600 MG 12 HR TAB,1,Each,1.834
DEXTROMETHORPHAN-GUAIFENESIN SR 30 MG-600 MG 12 HR TAB,1,Each,2.006
DEXTROMETHORPHAN-QUINIDINE 20 MG-10 MG CAPSULE,1,Each,64.7
DEXTROSE 10% IN WATER (D10W) IV,1000,mL,248
DEXTROSE 10% IN WATER (D10W) IV,250,mL,248
DEXTROSE 20% IN WATER (D20W) 20 % IV,500,mL,248
DEXTROSE 25% IN WATER (D25W) IV SYRINGE,10,mL,91.7
DEXTROSE 4 GRAM-D3 400 UNIT CHEWABLE TABLET,1,Each,1
DEXTROSE 40 % ORAL GEL,37.5,g,12.56
DEXTROSE 40 % ORAL GEL (NEONATE),37.5,g,12.56
DEXTROSE 5% IN NORMAL SALINE IV,1000,mL,248
DEXTROSE 5% IN WATER (D5W) IV,100,mL,248
DEXTROSE 5% IN WATER (D5W) IV,1000,mL,248
DEXTROSE 5% IN WATER (D5W) IV,250,mL,248
DEXTROSE 5% IN WATER (D5W) IV,50,mL,248
DEXTROSE 5% IN WATER (D5W) IV,500,mL,248
DEXTROSE 5% IN WATER (D5W) IV PIGGY BACK,100,mL,248
DEXTROSE 5% IN WATER (D5W) IV PIGGY BACK,250,mL,248
DEXTROSE 5% IN WATER (D5W) IV PIGGY BACK,50,mL,248
DEXTROSE 5%-1/2 NORMAL SALINE IV,1000,mL,248
DEXTROSE 5%-1/2 NORMAL SALINE IV,500,mL,248
DEXTROSE 5%-1/4 NORMAL SALINE IV,1000,mL,248
DEXTROSE 5%-1/4 NORMAL SALINE IV,500,mL,248
DEXTROSE 5%-LACTATED RINGERS IV,1000,mL,248
DEXTROSE 5%-LACTATED RINGERS IV,500,mL,248
DEXTROSE 50% IN WATER (D50W) IV,50,mL,80
DEXTROSE 50% IN WATER (D50W) IV,500,mL,248
DEXTROSE 50% IN WATER (D50W) IV SYRG,50,mL,80
DEXTROSE 50% IN WATER (D50W) IV SYRG,50,mL,87.75
DEXTROSE 50% IN WATER (D50W) IV SYRG,50,mL,109.68
DEXTROSE 70% IN WATER (D70W) IV,2000,mL,248
DEXTROSE 70% IN WATER (D70W) IV,500,mL,248
DIATRIZOATE MEGLUMINE & SODIUM 66 %-10 % ORAL SOLN,30,mL,106.83
DIATRIZOATE MEGLUMINE & SODIUM 66 %-10 % ORAL SOLN,30,mL,149.37
DIATRIZOATE MEGLUMINE & SODIUM 66 %-10 % ORAL SOLN,120,mL,196.2
DIATRIZOATE MEGLUMINE & SODIUM 66 %-10 % ORAL SOLN,120,mL,352.22
DIATRIZOATE MEGLUMINE 18 % URETHRAL SOLUTION,300,mL,190.72
DIATRIZOATE MEGLUMINE 30 % URETHRAL,100,mL,307.95
DIATRIZOATE MEGLUMINE 30 % URETHRAL,300,mL,498.13
DIAZEPAM 10 MG TAB,1,Each,38
DIAZEPAM 2 MG TAB,1,Each,38
DIAZEPAM 2.5 MG RECTAL KIT,1,Each,762.69
DIAZEPAM 5 MG TAB,1,Each,38
DIAZEPAM 5 MG/5 ML ORAL SOLN,5,mL,38
DIAZEPAM 5 MG/ML SYRINGE,2,mL,193.57
DIAZEPAM 5 MG/ML SYRINGE,2,mL,194.56
DIAZEPAM 5 MG-7.5 MG-10 MG RECTAL KIT,1,Each,904.75
DIAZEPAM 5 MG-7.5 MG-10 MG RECTAL KIT,1,Each,1141.4
DIBUCAINE 1 % OINTMENT,28.35,g,32.31
DIBUCAINE 1 % OINTMENT,28,g,19.98
DIBUCAINE 1 % OINTMENT,28,g,24.67
DICLOFENAC 0.1 % EYE DROPS,2.5,mL,67.98
DICLOFENAC 0.1 % EYE DROPS,2.5,mL,70.25
DICLOFENAC 0.1 % EYE DROPS,5,mL,90.64
DICLOFENAC 0.1 % EYE DROPS,2.5,mL,223.56
DICLOFENAC 1 % TOPICAL GEL,100,g,226.62
DICLOFENAC 1 % TOPICAL GEL,100,g,258.41
DICLOFENAC 1 % TOPICAL GEL,100,g,286.1
DICLOFENAC 1.3 % ADHESIVE PATCH,1,Each,65.868
"DICLOFENAC 25 MG TAB, DELAYED RELEASE",1,Each,26
"DICLOFENAC 50 MG TAB, DELAYED RELEASE",1,Each,26
"DICLOFENAC 75 MG TAB, DELAYED RELEASE",1,Each,26
"DICLOFENAC-MISOPROSTOL 50 MG-0.2 MG TAB, DELAYED RELEASE",1,Each,26
"DICLOFENAC-MISOPROSTOL 50 MG-0.2 MG TAB, DELAYED RELEASE",1,Each,29.016
"DICLOFENAC-MISOPROSTOL 75 MG-200 MCG TAB, DELAYED RELEASE",1,Each,26
"DICLOFENAC-MISOPROSTOL 75 MG-200 MCG TAB, DELAYED RELEASE",1,Each,29.016
DICLOXACILLIN 250 MG CAP,1,Each,26
DICYCLOMINE 10 MG CAP,1,Each,26
DICYCLOMINE 10 MG/5 ML ORAL SOLN,473,mL,534.84
DICYCLOMINE 10 MG/ML IM SOLN,2,mL,389.93
DICYCLOMINE 10 MG/ML IM SOLN,2,mL,484.69
DICYCLOMINE 10 MG/ML IM SOLN,2,mL,723.12
DICYCLOMINE 20 MG TAB,1,Each,26
DIFLUNISAL 500 MG TAB,1,Each,26
DIGOXIN 0.125 MG TAB,1,Each,26
DIGOXIN 0.25 MG TAB,1,Each,26
DIGOXIN 0.25 MG TAB,1,Each,36.911
DIGOXIN 100 MCG/ML IJ SOLN,1,mL,763.02
DIGOXIN 250 MCG/ML IJ SOLN,2,mL,80
DIGOXIN 50 MCG/ML ORAL SOLN,2.5,mL,37.77
DIGOXIN 50 MCG/ML ORAL SOLN,60,mL,659.5
DIGOXIN IMMUNE FAB 40 MG IV SOLUTION,1,Each,22195.18
DIHYDROERGOTAMINE 1 MG/ML IJ SOLN,1,mL,279.95
DIHYDROERGOTAMINE 1 MG/ML IJ SOLN,1,mL,1056.49
DILTIAZEM 100 MG IV POWDER FOR SOLUTION,1,Each,132.61
DILTIAZEM 30 MG IR TAB,1,Each,26
DILTIAZEM 60 MG IR TAB,1,Each,26
DILTIAZEM HCL 5 MG/ML IV SOLN,10,mL,80
DILTIAZEM HCL 5 MG/ML IV SOLN,25,mL,80
DILTIAZEM HCL 5 MG/ML IV SOLN,5,mL,80
DILTIAZEM HCL 5 MG/ML IV SOLN,25,mL,98.72
DILTIAZEM HCL 5 MG/ML IV SOLN,25,mL,119.83
DILTIAZEM SR 120 MG 12 HR CAP,1,Each,26
DILTIAZEM SR 120 MG 12 HR CAP,1,Each,35.18
DILTIAZEM SR 120 MG 24 HR CAP,1,Each,26
DILTIAZEM SR 120 MG CAP,1,Each,26
