Medication,Package Size,Package Unit,UOM charge
MEROPENEM 500 MG IV SOLR,1,Each,120.63
PHENYLEPHRINE IN 0.9 % SODIUM CL (40 MCG/ML) IV SYRINGE,5,mL,120.9
COLESTIPOL 5 GRAM ORAL PACKET,1,Each,23.507
VECURONIUM BROMIDE 20 MG IV SOLUTION,1,Each,121.46
TRACE ELEMENTS CR-CU-MN-SE-ZN 4-400-100-20 MCG-1000 MCG/ML IV SOLN,10,mL,122.19
AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,1,Each,123.41
COLLOIDAL OATMEAL TOPICAL PACKET,1,Each,2.198
COLLOIDAL OATMEAL TOPICAL PACKET,1,Each,3.008
LORAZEPAM 2 MG/ML SYRINGE,1,mL,29
MEPERIDINE (PF) 25 MG/ML INJ SOLUTION,1,mL,29
HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLUTION FOR INJECTION,1,Each,123.65
CONJUGATED ESTROGENS 0.3 MG TAB,1,Each,27.96
HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLUTION FOR INJECTION,1,Each,123.67
CONJUGATED ESTROGENS 0.45 MG TAB,1,Each,27.96
CONJUGATED ESTROGENS 0.625 MG TAB,1,Each,27.96
MAGNESIUM SULFATE 20 GRAM/500 ML IV,500,mL,130
CONJUGATED ESTROGENS 0.9 MG TAB,1,Each,27.96
HYDROXYZINE HCL 50 MG/ML IM SOLN,10,mL,124.31
CONJUGATED ESTROGENS 1.25 MG TAB,1,Each,27.96
EPHEDRINE (PF) 50 MG/10 ML (5 MG/ML) IN NS IV SYRINGE,10,mL,125.14
"LIDOCAINE-EPINEPHRINE 1.5 %-1:200,000 IJ SOLN",30,mL,125.14
FLUMAZENIL 0.1 MG/ML IV SOLN,10,mL,125.23
CORTISONE 25 MG TAB,1,Each,14
CRANBERRY EXTRACT 250 MG CAPSULE,1,Each,1
CRANBERRY EXTRACT 500 MG CAP,1,Each,1
AMIODARONE 50 MG/ML IV SOLN,18,mL,125.3
"CYANOCOBALAMIN (VIT B-12) ER 1,000 MCG TABLET,EXTENDED RELEASE",1,Each,1
MEPERIDINE (PF) 50 MG/ML INJ SOLN,1,mL,29
HYDROMORPHONE (PF) 2 MG/ML INJECTION,1,mL,29
PIPERACILLIN-TAZOBACTAM 4.5 GRAM IV SOLR,1,Each,126.43
"CYANOCOBALAMIN (VITAMIN B-12) 2,500 MCG SUBLINGUAL TAB",1,Each,14
"CYANOCOBALAMIN 1,000 MCG TAB",1,Each,1
CYANOCOBALAMIN 100 MCG TAB,1,Each,1
PIPERACILLIN-TAZOBACTAM 4.5 GRAM IV SOLR,1,Each,126.46
INSULIN NPH HUMAN RECOMB 100 UNIT/ML INJECTION,1,mL,126.8
CYANOCOBALAMIN 500 MCG TAB,1,Each,1
PAMIDRONATE 3 MG/ML IV,10,mL,127.16
SODIUM CHLORIDE 2.5 MEQ/ML IV,20,mL,130
MAGNESIUM SULFATE 4 GRAM/100 ML IV PIGGY BACK,100,mL,130
OCTREOTIDE ACETATE 50 MCG/ML INJECTION,1,mL,127.43
OCTREOTIDE ACETATE 50 MCG/ML INJECTION,1,mL,127.44
CYANOCOBALAMIN-LEVOMEFOLATE CAL-PYRIDOXINE 2 MG-1.13 MG-25 MG TAB,1,Each,14
SURGICAL LUBRICANT JELLY TOPICAL,56.7,g,11.48
ACETIC ACID (BULK) 5 % LIQUID,60,mL,14.31
PIPERACILLIN-TAZOBACTAM 3.375 GRAM IV SOLR,1,Each,127.72
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,2,mL,127.99
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,2,mL,128.73
CYCLOBENZAPRINE 10 MG TAB,1,Each,14
CYCLOBENZAPRINE 5 MG TAB,1,Each,14
CYCLOPHOSPHAMIDE 50 MG CAPSULE,1,Each,569.347
CYCLOSPORINE MODIFIED 100 MG CAP,1,Each,29.564
CYCLOSPORINE MODIFIED 100 MG CAP,1,Each,29.571
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,2,mL,128.91
METHOCARBAMOL 100 MG/ML IJ SOLN,10,mL,128.91
SODIUM BICARBONATE 8.4 % (1 MEQ/ML) IV SYRG,10,mL,129.37
CYCLOSPORINE MODIFIED 25 MG CAP,1,Each,14
GLYCINE DILUENT IV,50,mL,129.83
CYPROHEPTADINE 4 MG TAB,1,Each,14
CEFEPIME 2 GRAM SOLUTION FOR INJECTION,1,Each,130.11
CEFAZOLIN 2 GM IN D5W 50 ML IV PIGGY BACK,1,Each,130
HYDROMORPHONE (PF) 30 MG/30 ML (1 MG/ML) IN 0.9% NACL PCA SYRINGE,30,mL,130
HYDROMORPHONE (PF) 20 MG/20 ML (1 MG/ML) IN 0.9% NACL PCA SYRINGE,20,mL,130
DABIGATRAN ETEXILATE 150 MG CAP,1,Each,34.857
DABIGATRAN ETEXILATE 75 MG CAP,1,Each,34.857
DANTROLENE 25 MG CAP,1,Each,14
DAPAGLIFLOZIN 5 MG TABLET,1,Each,80.851
DAPSONE 100 MG TAB,1,Each,18.079
DAPSONE 100 MG TAB,1,Each,20.935
NEOSTIGMINE METHYLSULFATE 1 MG/ML INJECTION,10,mL,130.85
AMPICILLIN 1 GRAM IV SOLUTION,1,Each,131.95
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,132.1
ESMOLOL 10 MG/ML IV SOLN,10,mL,132.41
ROPIVACAINE (PF) 5 MG/ML (0.5 %) INJECTION,20,mL,133.33
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,2,mL,133.5
CHLOROPROCAINE 3 % IJ SOLN,20,mL,133.52
CEFAZOLIN 3G IN 100 ML 0.9% NS PREMIX,100,mL,130
MEROPENEM 500 MG IV SOLR,1,Each,133.52
MIDAZOLAM (PF) 5 MG/ML INJECTION SOLUTION,1,mL,29
DAPSONE 25 MG TAB,1,Each,17.062
IOTHALAMATE MEGLUMINE 60 % INJECTION,50,mL,133.52
POTASSIUM PHOSPHATE DIBASIC 3 MMOLE/ML IV,15,mL,134.12
DARIFENACIN ER 15 MG 24 HR TAB,1,Each,46.187
DARIFENACIN ER 15 MG 24 HR TAB,1,Each,66.321
DARIFENACIN SR 7.5 MG 24 HR TAB,1,Each,42.768
DARIFENACIN SR 7.5 MG 24 HR TAB,1,Each,46.187
DARIFENACIN SR 7.5 MG 24 HR TAB,1,Each,66.321
POTASSIUM PHOSPHATE DIBASIC 4.4 MEQ/ML IV (TPN),15,mL,134.12
DARUNAVIR 400 MG TAB,1,Each,109.485
SODIUM PHOSPHATE 3 MMOLE/ML IV,15,mL,134.12
DARUNAVIR 600 MG TAB,1,Each,137.549
DARUNAVIR 800 MG TABLET,1,Each,275.098
DEGARELIX 120 MG SUB-Q SOLN,1,Each,3915.635
DEGARELIX 120 MG SUB-Q SOLN,1,Each,4415.35
DEMECLOCYCLINE 150 MG TAB,1,Each,32.92
DEMECLOCYCLINE 150 MG TAB,1,Each,33.061
PIPERACILLIN-TAZOBACTAM 4.5 GRAM IV SOLR,1,Each,134.45
PIPERACILLIN-TAZOBACTAM 4.5 GRAM IV SOLR,1,Each,135.08
DESIPRAMINE 25 MG TAB,1,Each,14
OXACILLIN 2 GRAM IJ SOLR,1,Each,136.28
POTASSIUM PHOSPHATE DIBASIC 3 MMOLE/ML IV,5,mL,136.37
SODIUM PHOSPHATE 3 MMOLE/ML IV,5,mL,136.37
DESIPRAMINE 50 MG TAB,1,Each,14.332
MORPHINE 10 MG/ML INJ SOLUTION,1,mL,29
DESMOPRESSIN 0.1 MG TAB,1,Each,14
DESMOPRESSIN 0.1 MG TAB,1,Each,14.333
DESMOPRESSIN 0.1 MG TAB,1,Each,19.872
DESMOPRESSIN 0.2 MG TAB,1,Each,26.101
DESMOPRESSIN 0.2 MG TAB,1,Each,28.628
NAFCILLIN 1 GRAM IJ SOLR,1,Each,137.09
OCTREOTIDE ACETATE 500 MCG/ML INJECTION,1,mL,137.2
"DESVENLAFAXINE ER 50 MG TABLET,EXTENDED RELEASE 24 HR",1,Each,31.232
EPINEPHRINE (PF) 1 MG/ML INJECTION,1,mL,137.75
NALOXONE 0.4 MG/ML INJECTION,1,mL,137.89
DESVENLAFAXINE SUCCINATE ER 50 MG 24 HR TABLET,1,Each,14
HAEMOPHILUS B POLYSACCHARID CONJ-TETANUS TOX (PF) 10 MCG/0.5 ML IM,1,Each,138.12
EPHEDRINE SULFATE 50 MG/ML INJECTION SOLUTION,1,mL,138.12
DESVENLAFAXINE SUCCINATE ER 50 MG 24 HR TABLET,1,Each,23.148
ETOMIDATE 2 MG/ML IV SOLN,20,mL,138.12
DESVENLAFAXINE SUCCINATE ER 50 MG 24 HR TABLET,1,Each,60.702
DESVENLAFAXINE SUCCINATE ER 50 MG 24 HR TABLET,1,Each,66.435
DEXAMETHASONE 0.5 MG TAB,1,Each,14
DEXAMETHASONE 2 MG TAB,1,Each,14
DEXAMETHASONE 4 MG TAB,1,Each,14
INSULIN REGULAR 100 UNITS/100 ML NS INFUSION,100,mL,130
PARICALCITOL 5 MCG/ML IV,1,mL,139.5
EPHEDRINE (PF) 50 MG/10 ML (5 MG/ML) IN NS IV SYRINGE,10,mL,139.59
DEXMETHYLPHENIDATE 2.5 MG TABLET,1,Each,15
DEXMETHYLPHENIDATE 5 MG TABLET,1,Each,15
DOXYCYCLINE HYCLATE 100 MG IV SOLUTION,1,Each,139.69
DEXMETHYLPHENIDATE ER 10 MG MULTIPHASE CAP 50-50,1,Each,34.551
DEXMETHYLPHENIDATE ER 10 MG MULTIPHASE CAP 50-50,1,Each,57.647
DEXMETHYLPHENIDATE ER 20 MG MULTIPHASE CAP 50-50,1,Each,59.285
DEXMETHYLPHENIDATE ER 5 MG MULTIPHASE CAP 50-50,1,Each,29.643
DEXMETHYLPHENIDATE ER 5 MG MULTIPHASE CAP 50-50,1,Each,56.807
DEXTROAMPHETAMINE 5 MG TAB,1,Each,15
DEXTROMETHORPHAN-GUAIFENESIN SR 30 MG-600 MG 12 HR TAB,1,Each,1.749
NALOXONE 0.4 MG/ML INJECTION,1,mL,139.8
PYRIDOXINE 100 MG/ML INJECTION,1,mL,139.96
DEXTROMETHORPHAN-QUINIDINE 20 MG-10 MG CAPSULE,1,Each,95.549
DIAZEPAM 2 MG TAB,1,Each,15
DIAZEPAM 5 MG TAB,1,Each,15
PIPERACILLIN-TAZOBACTAM 4.5 GRAM IV SOLR,1,Each,141.52
NAFCILLIN 1 GRAM IV SOLR,1,Each,141.85
NALOXONE 0.4 MG/ML SYRINGE,1,mL,142.17
DEXTROSE 5% IN NORMAL SALINE IV,500,mL,130
DICLOFENAC 1.3 % ADHESIVE PATCH,1,Each,64.911
DICLOFENAC 1.3 % ADHESIVE PATCH,1,Each,92.952
"DICLOFENAC 25 MG TAB, DELAYED RELEASE",1,Each,14
"DICLOFENAC 50 MG TAB, DELAYED RELEASE",1,Each,14
"DICLOFENAC 75 MG TAB, DELAYED RELEASE",1,Each,14
CISATRACURIUM 2 MG/ML IV SOLN,5,mL,144.38
"LIDOCAINE-EPINEPHRINE PF 2 %-1:200,000 IJ SOLN",20,mL,144.75
NALOXONE 0.4 MG/ML INJECTION,1,mL,145.76
ORPHENADRINE CITRATE 30 MG/ML INJECTION,2,mL,146.04
"VANCOMYCIN 1,000 MG IV SOLR",1,Each,146.41
AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,1,Each,146.87
NEOSTIGMINE METHYLSULFATE 3 MG/3 ML (1 MG/ML) IV SYRINGE,3,mL,147.32
ADENOSINE 3 MG/ML IV SYRINGE,2,mL,147.33
SUCCINYLCHOLINE CHLORIDE 200 MG/10 ML (20 MG/ML) INTRAVENOUS SYRINGE,10,mL,147.33
BETAMETHASONE ACET & SOD PHOS 6 MG/ML SUSP FOR INJECTION,2,mL,147.55
"DICLOFENAC-MISOPROSTOL 50 MG-0.2 MG TAB, DELAYED RELEASE",1,Each,27.493
DICLOXACILLIN 250 MG CAP,1,Each,14
DICYCLOMINE 10 MG CAP,1,Each,14
"VANCOMYCIN 1,000 MG IV SOLR",1,Each,147.7
FLU VACCINE QV 2018-19 (6 MOS+)(PF) 60 MCG (15 MCG X 4)/0.5 ML IM SYRINGE,0.5,mL,147.97
DIFLUNISAL 500 MG TAB,1,Each,14
IPILIMUMAB 50 MG/10 ML (5 MG/ML) IV,10,mL,41284.65
DIGOXIN 0.125 MG TAB,1,Each,14
DIGOXIN 0.125 MG TAB,1,Each,64.869
DIGOXIN 0.25 MG TAB,1,Each,14
DIGOXIN 0.25 MG TAB,1,Each,54.51
RANITIDINE 50 MG/2 ML (25 MG/ML) INJECTION,2,mL,151.93
CLINDAMYCIN IN D5W 600 MG/50 ML IV PIGGY BACK,50,mL,130
CLINDAMYCIN IN D5W 900 MG/50 ML IV PIGGY BACK,50,mL,130
MORPHINE IN NS 1MG/ML INFUSION,50,mL,130
PROPOFOL INFUSION,100,mL,130
CLINDAMYCIN IN D5W 300 MG/50 ML IV PIGGY BACK,50,mL,130
PROPOFOL 10 MG/ML IV EMUL,100,mL,130
MAGNESIUM SULFATE 10 GRAM/250 ML STERILE WATER INFUSION,250,mL,130
OXYTOCIN IN D5W 30 UNIT/500 ML IV,500,mL,130
GENTAMICIN IN SALINE (ISO-OSMOTIC) 60 MG/50 ML IV PIGGY BACK,50,mL,130
"HEPARIN 3,000 UNITS IN NORMAL SALINE 1000 ML",1000,mL,130
FUROSEMIDE 100 MG/100 ML IN NS (PREMIX),100,mL,130
HYPERTONIC SALINE 3 % (NEUROSCIENCE USE ONLY) INFUSION,500,mL,130
PHENYLEPHRINE (PF) 30 MG/250 ML IN 0.9% SODIUM CHLORIDE INFUSION,253,mL,130
VANCOMYCIN IN NS 750 MG/250 ML IVPB,250,mL,130
AZITHROMYCIN 500 MG IN NS 250 ML,250,mL,130
CEFAZOLIN 2 G IN 100 ML D5W,100,mL,130
CALCIUM GLUCONATE 1 GRAM/50 ML 0.9 % SODIUM CHLORIDE IV,50,mL,130
PIPERACILLIN-TAZOBACTAM 2.25 GRAM IN 50 ML NS PREMIX,50,mL,130
CALCIUM GLUCONATE 2 GRAM/50 ML IN 0.9 % SODIUM CHLORIDE IV,50,mL,130
CEFEPIME IN D5W 1 GM/50 ML IV PIGGY BACK,1,Each,130
CEFOTETAN IN DEXTROSE (ISO-OSMOTIC) 1 GRAM/50 ML IVPB,1,Each,131.23
FENTANYL-BUPIVACAINE IN NS (PF) 2 MCG/ML-0.1 % EPIDURAL,100,mL,131.8
FENTANYL-BUPIVACAINE IN NS (PF) 5 MCG/ML-0.0625 % EPIDURAL,100,mL,131.8
FENTANYL-BUPIVACAINE IN NS (PF) 5 MCG/ML-0.1 % EPIDURAL,100,mL,131.8
MILRINONE IN D5W 20 MG/100 ML (200 MCG/ML) IV PIGGY BACK,100,mL,132.64
PHENYLEPHRINE 360 MCG/ML INFUSION,250,mL,134.16
DEXTROSE 70% IN WATER (D70W) IV,2000,mL,134.32
MAGNESIUM SULFATE 2 GRAM/50 ML IVPB,50,mL,134.74
NOREPINEPHRINE 8 MG/250 ML INFUSION,250,mL,136.42
HYDROMORPHONE-BUPIVACAINE IN NS (PF) 20 MCG/ML-0.125 % EPIDURAL,100,mL,136.84
HETASTARCH 6% IN NORMAL SALINE IV SOLN,500,mL,138.52
"BUPIVACAINE(PF) 0.25%-0.9% NACL 4 ML/HR 400ML INFIL,FIX RATE ELAS PUMP",400,mL,141.04
"HEPARIN (PORCINE) (PF) 15,000 UNITS/500 ML IN 0.9 % SOD CHLORIDE IV",500,mL,142.72
CLINDAMYCIN IN D5W 600 MG/50 ML IV PIGGY BACK,50,mL,146.5
AMINOCAPROIC ACID 10 GM IN 500 ML NS (PREMIX),500,mL,146.92
DOPAMINE 800 MG/500 ML D5W INFUSION,500,mL,151.11
DEXTROSE 70% IN WATER (D70W) IV,2000,mL,151.11
FUROSEMIDE 100 MG/100 ML IN NS (PREMIX),100,mL,151.11
LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 500 MG/100 ML IV PIGGY BACK,100,mL,155.31
FLUCONAZOLE IN SALINE (ISO-OSMOTIC) 200 MG/100 ML IV PIGGY BACK,100,mL,156.99
HYDROMORPHONE (PF) 30 MG/30 ML (1 MG/ML) IN 0.9% NACL PCA SYRINGE,30,mL,158.16
MANNITOL 20 % IV,500,mL,159.51
FENTANYL-BUPIVACAINE IN NS (PF) 5 MCG/ML-0.25 % EPIDURAL,100,mL,159.51
HYDROMORPHONE 40 MG/20 ML (2 MG/ML) PCA SYRINGE,20,mL,163.71
DOPAMINE 800 MG/500 ML D5W INFUSION,500,mL,167.9
CEFAZOLIN 3G IN 100 ML 0.9% NS PREMIX,100,mL,167.9
EPINEPHRINE HCL 4 MG/250 ML (16 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS,250,mL,167.9
CEFOXITIN IN DEXTROSE (ISO-OSMOTIC)2 GRAM/50 ML IV PIGGY BACK,1,Each,168.39
PIPERACILLIN-TAZOBACTAM 3.375 GRAM IN 100 ML NS PREMIX,100,mL,169.58
FENTANYL (PF) 1000 MCG/20 ML PCA,20,mL,170.59
FENTANYL-BUPIVACAINE-NACL (PF) 5 MCG/ML-0.125 % INJECTION,100,mL,170.98
LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 500 MG/100 ML IV PIGGY BACK,100,mL,172.94
HYDROMORPHONE (PF) 30 MG/30 ML (1 MG/ML) IN 0.9% NACL PCA SYRINGE,30,mL,174.28
FLUCONAZOLE IN SALINE (ISO-OSMOTIC) 400 MG/200 ML IV PIGGY BACK,200,mL,174.62
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PIGGY BACK,100,mL,176.3
NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,176.3
CLINDAMYCIN IN D5W 900 MG/50 ML IV PIGGY BACK,50,mL,178.82
FENTANYL-ROPIVACAINE IN NS (PF) 2 MCG/ML-0.1 % EPIDURAL,100,mL,183.85
HETASTARCH 6% IN NORMAL SALINE IV SOLN,500,mL,184.69
EPINEPHRINE 4 MG/250 ML INFUSION (PRE-MIX),250,mL,186.79
CEFOTETAN IN DEXTROSE (ISO-OSMOTIC) 2 GRAM/50 ML IVPB,1,Each,187.67
AMINO ACID INFUSION 6 % IV,500,mL,188.89
NOREPINEPHRINE BITARTRATE 8 MG/250 ML (32 MCG/ML) IN 0.9 % NACL IV,250,mL,190.99
FENTANYL-ROPIVACAINE IN NS (PF) 2 MCG/ML-0.1 % EPIDURAL,100,mL,192.27
FAT EMULSION-SOYBEAN OIL-MCT-OLIVE OIL-FISH OIL 20 % INTRAVENOUS,250,mL,193.09
PIPERACILLIN-TAZOBACTAM 4.5 G IN NS 100 ML PREMIX,100,mL,193.09
MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,100,mL,194.58
BUPIVACAINE 0.5 % 2 ML/HR 430 ML LOCAL INFILTRATION PUMP (RX PREPARED),430,mL,198.42
OXYTOCIN IN D5W 30 UNIT/500 ML IV,500,mL,200.42
"BUPIVACAINE (PF) 0.0625% 400 ML LOCAL INFILTRATION, ELAS PUMP",400,mL,201.48
AMINO ACID INFUSION 10 % IV,500,mL,201.48
NOREPINEPHRINE 8 MG/250 ML INFUSION,250,mL,203.81
DEXTRAN 40 10% IN D5W IV,500,mL,203.81
FAT EMULSION 20 % IV EMUL,100,mL,206.88
DEXTRAN 40 IN SALINE 10 % IV,500,mL,211.5
ROPIVACAINE IN NS (PF) 0.2 % EPIDURAL,100,mL,213.03
PROPOFOL 10 MG/ML IV EMUL,100,mL,215.34
OXYTOCIN 20 UNITS/1000 ML LACTATED RINGERS,1000,mL,215.34
PROPOFOL INFUSION,100,mL,215.34
FENTANYL IN NS (PF) 10 MCG/ML INFUSION,200,mL,216.88
FENTANYL IN NS (PF) 10 MCG/ML INFUSION,100,mL,218.03
PROPOFOL 10 MG/ML IV EMUL,100,mL,219.19
FENTANYL-ROPIVACAINE-NS (PF) 2 MCG/1ML-0.2% EPIDURAL,100,mL,220.73
MILRINONE IN D5W 20 MG/100 ML (200 MCG/ML) IV PIGGY BACK,100,mL,222.26
PROPOFOL INFUSION,100,mL,224.57
PROPOFOL 10 MG/ML IV EMUL,100,mL,224.57
PROPOFOL 10 MG/ML IV EMUL,100,mL,230.72
CEFAZOLIN 2 G IN 100 ML 0.9% NS,100,mL,230.72
"LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 1,000 MG/100 ML IV INFUSION",100,mL,230.72
PROPOFOL INFUSION,100,mL,230.72
FENTANYL-ROPIVACAINE IN NS (PF) 5 MCG/ML-0.1 % EPIDURA,100,mL,231.49
"FENTANYL (PF) 1,500 MCG/30 ML (50 MCG/ML) IV PCA SYRINGE",30,mL,234.41
"FENTANYL (PF) 1,500 MCG/30 ML (50 MCG/ML) IV PCA SYRINGE (1 HR LOCKOUT)",30,mL,234.41
AMIODARONE 150 MG/100 ML (1.5 MG/ML) IN DEXTROSE 5 % INTRAVENOUS SOLN,100,mL,242.26
BUPIVACAINE 0.5 % 2 ML/HR 530 ML LOCAL INFILTRATION PUMP (RX PREPARED),530,mL,244.57
VANCOMYCIN IN 0.9 % SODIUM CHLORIDE 1.25 GRAM/250 ML IV,250,mL,251.87
AMINO ACID 4.25% DEXTROSE 25% INFUSION,1000,mL,253.79
FENTANYL (PF) 900 MCG/30 ML INFUSION,30,mL,254.72
FENTANYL (PF) 900 MCG/30 ML PCA (ADULT),30,mL,254.72
FENTANYL (PF) 900 MCG/30 ML PCA (1 HR DOSE LIMIT),30,mL,254.72
PERITONEAL DIALYSIS SOLN 4 & DEX 1.5 % CA+ (3.5MEQ/L)&LOW MAG (0.5),2000,mL,258.87
PERITONEAL DIALYSIS SOLN 6 & DEX 1.5 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),2000,mL,258.87
"LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 1,000 MG/100 ML IV INFUSION",100,mL,259.95
AMINO ACID 2.36 % IN 6.8 % DEXTROSE-FATS 3.5 %-ELECTROLYTE IV EMULSION,1440,mL,265.79
FENTANYL-ROPIVACAINE IN NS (PF) 1.5 MCG/ML-0.2% EPIDURAL,100,mL,266.1
FENTANYL-ROPIVACAINE-NS (PF) 2 MCG/1ML-0.2% EPIDURAL,100,mL,266.79
"AMIODARONE 150 MG/100 ML (1.5 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV",100,mL,266.87
FAT EMULSION 20 % IV EMUL,250,mL,267.25
AMINO ACID 3.31 % IN 9.8% DEXTROSE-FATS 3.9 %-ELECTROLYTES,1026,mL,268.28
"DOBUTAMINE IN D5W 2,000 MCG/ML IV",250,mL,269.18
PERITONEAL DIALYSIS SOLN 13 & DEX 2.5 % CA+ (3.5 MEQ/L)&LOW MAG (0.5),5000,mL,269.18
PERITONEAL DIALYSIS SOLN 4 & DEX 1.5 % CA+ (3.5MEQ/L)&LOW MAG (0.5),5000,mL,269.18
PERITONEAL DIALYSIS SOLN 7 & DEX 2.5 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),5000,mL,269.18
"HEPARIN (PORCINE) IN D5W 25,000 UNIT/250 ML IV",250,mL,276.87
FUROSEMIDE 100 MG/100 ML IN NS (PREMIX),100,mL,279.94
FAT EMULSION 20 % IV EMUL,500,mL,280.71
FENTANYL IN NS (PF) 10 MCG/ML PCA,200,mL,281.48
FENTANYL IN NS (PF) 10 MCG/ML INFUSION,200,mL,281.48
VANCOMYCIN IN 0.9 % SODIUM CHLORIDE 1 GRAM/250 ML IV,250,mL,284.56
PERITONEAL DIALYSIS SOLN 6 & DEX 1.5 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),2500,mL,287.25
"HEPARIN (PORCINE) 25,000 UNIT/250 ML 0.9 % SODIUM CHLORIDE IV",250,mL,288.4
PERITONEAL DIALYSIS SOLN 13 & DEX 2.5 % CA+ (3.5 MEQ/L)&LOW MAG (0.5),2000,mL,288.86
PERITONEAL DIALYSIS SOLN 7 & DEX 2.5 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),2000,mL,288.86
PERITONEAL DIALYSIS SOLN 3 & DEX 4.25 % CA+ (3.5 MEQ/L)&LOW MAG (0.5),2000,mL,291.48
PERITONEAL DIALYSIS SOLN 8 & DEX 4.25 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),2000,mL,291.48
PERITONEAL DIALYSIS SOLN 7 & DEX 2.5 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),2500,mL,295.52
PERITONEAL DIALYSIS SOLN 13 & DEX 2.5 % CA+ (3.5 MEQ/L)&LOW MAG (0.5),2500,mL,295.52
OXYTOCIN 20 UNITS/1000 ML LACTATED RINGERS,1000,mL,299.94
PERITONEAL DIALYSIS SOLN 8 & DEX 4.25 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),2500,mL,301.86
DIGOXIN 0.25 MG TAB,1,Each,64.869
BICARBONATE DIALYSIS SOLUTION NO.9 K (4 MEQ/L)-CA (2.5)-MG (1.5),5000,mL,307.63
BICARBONATE DIALYSIS SOLUTION NO.2 K (2 MEQ/L)-CA (3.5)-MG (1),5000,mL,307.63
FENTANYL-ROPIVACAINE IN NS (PF) 1 MCG/ML-0.2% EPIDURAL,100,mL,307.63
ROPIVACAINE 2 MG/ML INJECTION,100,mL,307.63
"LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 1,500 MG/100 ML IV PIGGY BACK",100,mL,307.63
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",100,mL,308.4
AMINO ACID 2.36 % IN 6.8 % DEXTROSE-FATS 3.5 %-ELECTROLYTE IV EMULSION,1920,mL,310.09
ROPIVACAINE 2 MG/ML INJECTION,100,mL,313.01
FAT EMULSION 20 % IV EMUL,250,mL,317.24
VANCOMYCIN IN 0.9 % SODIUM CHLORIDE 1.75 GRAM/500 ML IV,500,mL,319.16
PERITONEAL DIALYSIS SOLN 6 & DEX 1.5 % LOW CA+ (2.5 MEQ/L)&MAG (0.5),6000,mL,323.01
HYDROMORPHONE 60 MG/30 ML (2 MG/ML) PCA SYRINGE,30,mL,332.24
"BUPIVACAINE (PF) 0.125%  400 ML LOCAL INFILTRATION, ELAS PUMP",400,mL,335.32
MOXIFLOXACIN IN SODIUM CHLORIDE (ISO-OSM) 400 MG/250 ML IV PIGGY BACK,250,mL,338.39
"LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 1,500 MG/100 ML IV PIGGY BACK",100,mL,339.16
AMINO ACID 3.31 % IN 9.8% DEXTROSE-FATS 3.9 %-ELECTROLYTES,1540,mL,343.47
BICARBONATE DIALYSIS SOLUTION NO.9 K (4 MEQ/L)-CA (2.5)-MG (1.5),5000,mL,346.08
BICARBONATE DIALYSIS SOLUTION NO.2 K (2 MEQ/L)-CA (3.5)-MG (1),5000,mL,346.08
PARENTERAL AMINO ACID 10 % COMBINATION NO.6 IV,2000,mL,349.32
AMINO ACID 2.36 % IN 6.8 % DEXTROSE-FATS 3.5 %-ELECTROLYTE IV EMULSION,2400,mL,352.12
"ALBUMIN, HUMAN 5 % IV",250,mL,353.77
VANCOMYCIN IN 0.9 % SODIUM CHLORIDE 2 GRAM/500 ML IV,500,mL,353.77
MOXIFLOXACIN IN SODIUM ACETATE-WATER 400 MG/250 ML IV PIGGYBACK,250,mL,353.77
"ALBUMIN, HUMAN 25 % IV",50,mL,353.77
"AMIODARONE IN DEXTROSE, ISO-OSMOTIC 360 MG/200 ML (1.8 MG/ML) IV",200,mL,355.31
MOXIFLOXACIN IN SODIUM CHLORIDE (ISO-OSM) 400 MG/250 ML IV PIGGY BACK,250,mL,356.31
