Charge name,Charge procedure master #,Revenue ID,Associated Cost Centers & NAME,HOSPITAL BILLING DEFAULT TECH FEE SCHEDULE,Fee Schedule Year
HC SWEAT COLLECTION BY IONTOPHORESIS,H3090012,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$305.00,2018
HC SEMEN ANALY VOL/COUNT/MOT AND DIFF,H3090014,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$211.00,2018
HC SEMEN ANALY SPERM DETECTION,H3090015,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$109.00,2018
HC SPERM ANTIBODIES,H3090016,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$68.00,2018
HC IMMUNOFLUORESCENT EA AB EA ADDL STAIN,H3090018,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$67.23,2018
HC BRCA1&2 SEQ & FULL DUP/DEL,H3090019,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,549.00",2018
HC CALR GENE COM VARIANTS,H3090022,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$521.00,2018
HC KIT GENE TARGETED SEQ ANALYS,H3090023,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$307.61,2018
HC KIT GENE ANALYS D816 VARIANT,H3090024,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$381.18,2018
HC KRAS GENE ADDL VARIANTS,H3090025,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$203.00,2018
HC NRAS GENE VARIANTS EXON 2&3,H3090026,309,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$462.00,2018
HC WET MOUNT VAG CERV OR SKIN,H3090048,309,80 WAR MULTISPEC - SURG SER FACILITY,$29.00,2018
HC BCR/ABL1 MAJOR BREAKPNT QUAL/QUANT,H3100008,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$274.00,2018
HC BRAF GENE ANALY V600 VARIANTS,H3100010,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$332.00,2018
HC BRCA1&2 SEQ & COM DUP/DEL,H3100011,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$14,216.00",2018
HC F2 GENE ANALY 20210G >A VARIANTS,H3100018,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$326.00,2018
HC F5 COAGULATION FACTOR V ANAL LEIDEN VARIANTS,H3100019,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$471.00,2018
HC FANCC GENE ANALY COMMON VAR,H3100020,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$246.00,2018
HC GBA GLUCOSIDASE/BETA/ACID ANAL COMM VAR,H3100021,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$615.00,2018
HC HEXA GENE ANALY COMMON VAR,H3100022,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$835.00,2018
HC IGH@ REARRANGE ABN CLONAL POP AMPLIFIED,H3100023,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,100.00",2018
HC IGK@GENE REARRANGE DETECT ABN CLONAL POP,H3100024,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,261.00",2018
HC COMP ANALY STR MARKERS PAT&COMP SPEC,H3100025,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$562.00,2018
HC JAK2 GENE ANALY P.VAL617PHE VARIANT,H3100027,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$215.00,2018
HC KRAS GENE ANALY VAR EXON 2,H3100028,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$811.00,2018
HC MLH1 GENE ANALY FULL SEQ ANALY,H3100031,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$9,542.00",2018
HC MLH1 GENE DUP/DELETE VAR,H3100032,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,067.00",2018
HC MSH2 GENE ANALY FULL SEQ ANALY,H3100033,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$8,487.00",2018
HC MSH6 GENE DUP/DELETE VAR,H3100036,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,108.00",2018
HC MICROSATELLITE INSTABILITY,H3100037,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,389.00",2018
HC NPM1 NUCLEOPHOSMIN GENE ANAL EXON 12 VAR,H3100039,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$257.00,2018
HC PMS2 GENE ANALY FULL SEQ,H3100040,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,891.00",2018
HC SERPINA1 GENE ANALY COMMON VAR,H3100043,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$493.00,2018
HC VKORC1 GENE ANALYS COMMON VARIANTS,H3100046,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$148.00,2018
HC HLA I TYPING LOW RES COMP,H3100048,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$3,612.00",2018
HC HLA I LOW RES ONE ANTIGEN EQUIV EA,H3100049,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$709.00,2018
HC HLA II TYPING LOW RES ONE LOCUS EA,H3100050,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$572.00,2018
HC HLA I TYPING HIGH RES 1 ALLELE GRP EA,H3100052,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$560.00,2018
HC MOLECULAR PATHOLOGY PROC LEVEL 1,H3100053,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$196.00,2018
HC MOLECULAR PATHOLOGY PROC LEVEL 2,H3100054,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$196.00,2018
HC MOLECULAR PATHOLOGY PROC LEVEL 4,H3100055,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,172.00",2018
HC MOLECULAR PATHOLOGY PROC LEVEL 5,H3100056,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,628.00",2018
HC MOLECULAR PATHOLOGY PROC LEVEL 9,H3100057,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,201.00",2018
HC CFTR GENE ANALY INTRON 8 POLY-T ANALY,H3100061,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$318.00,2018
HC FMR1 ANALY EVAL TO DETECT ABN ALLELES,H3100062,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$644.00,2018
HC IGH@ VAR REGION SOMATIC MUTATION ANALY,H3100064,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$506.55,2018
HC HLA II TYPING HIGH RES ONE LOCUS EA,H3100068,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$259.00,2018
HC MOLECULAR PATHOLOGY PROC LEVEL 7,H3100069,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$704.00,2018
HC CFTR GENE ANALY FULL GENE SEQ,H3100070,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$15,102.00",2018
HC MSH6 GENE ANALY FULL SEQ ANALY,H3100072,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$483.00,2018
HC PMS2 GENE DUP/DELET VAR,H3100073,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,910.00",2018
HC MOLECULAR PATHOLOGY PROC LEVEL 6,H3100074,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,078.00",2018
HC FMR1 GENE ANALY CHARACTERIZ OF ALLELES,H3100076,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$151.00,2018
HC TRB@ REARRANGEMENT ANAL AMPLIFIC METHD,H3100079,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$678.00,2018
HC FLT3 GENE ANALY TANDEM DUP VARIANTS,H3100080,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$401.00,2018
HC HLA II HIGH RES 1 ALLELE GRP EA,H3100082,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$228.00,2018
HC CFTR GENE ANALY COMMON VARIANTS,H3100083,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,097.00",2018
HC CYP2C19 GENE ANALY COMMON VARIANTS,H3100084,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,542.00",2018
HC CYTOGENOM MICROARRAY COPY NMBR&SNP VARIANTS,H3100085,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$90.00,2018
HC IKBKAP GENE ANALY COMMON VAR,H3100087,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$274.00,2018
HC MSH2 GENE DUP/DELETE VAR,H3100092,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,067.00",2018
HC PML/RARALPHA COM BREAKPOINTS QUAL/QUANT,H3100094,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$411.00,2018
HC TRG@ GENE REARRANGEMENT ANALY,H3100096,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$222.00,2018
HC HLA I TYPING LOW RES ONE LOCUS EA,H3100098,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$560.00,2018
HC MOLECULAR PATHOLOGY PROC LEVEL 8,H3100102,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$7,055.00",2018
HC BRCA1&2 UNCOM DUP/DEL VAR,H3100105,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,022.00",2018
HC HFE HEMOCHROMATOSIS GENE ANAL COMMON VAR,H3100106,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$396.00,2018
HC MTHFR GENE ANALY COMMON VARIANTS,H3100108,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$106.00,2018
HC BCR/ABL1 MINOR BREAKPNT QUAL/QUANT,H3100110,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$274.00,2018
HC CYTOGENOM  MICROARRAY COPY NMBR VAR,H3100111,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,955.00",2018
HC HBA1/HBA2 ANALY FOR COMMON DELET/VAR,H3100112,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,075.00",2018
HC MOLECULAR PATHOLOGY PROC LEVEL 3,H3100114,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$598.00,2018
HC APC GENE FULL SEQ,H3100115,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,116.00",2018
HC EGFR GENE COM VARIANTS,H3100119,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$906.00,2018
HC PTEN GENE FULL SEQ,H3100129,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$4,958.00",2018
HC PTEN GENE DUP/DELET VARIANT,H3100131,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$7,190.00",2018
HC PMP22 GENE DUP/DELET,H3100132,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$883.00,2018
HC PMP22 GENE FULL SEQ,H3100133,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$391.00,2018
HC SNP ID RFLP SIMPLE RH VAR,H3100139,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$574.00,2018
HC MGMT METHYLATION ANALYSIS,H3100150,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$350.00,2018
HC CYTOPATHOLOGY CERVICAL/VAGINAL AUTO THIN LYR PREP W/SCR MANUAL RESCR PHYS,H3100151,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$167.00,2018
HC FTL CGEN ABNRMLTIES 4 ANALYTES,H3100152,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$395.00,2018
HC ONCLG (OVARIAN) 5 PROTEINS,H3100153,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$644.00,2018
HC MLH1 GENE ANALY PROMOTER MTHYL ANALY,H3100155,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,067.00",2018
HC AORTIC DYSF OR DIL GSA PANEL,H3100157,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,774.00",2018
HC HEREDITARY COLON CA SYN GSA PANEL,H3100168,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,203.50",2018
HC HEREDITARY COLON CA SYN D/D ANALY PANEL,H3100169,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,203.50",2018
HC TARGET GSA PANEL ORGAN NEOP,H3100171,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$903.15,2018
HC TARGET GSA PANEL HMTLMPH NEOP,H3100172,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$972.60,2018
HC GROWTH STIM EXPRESSED GENE 2,H3100179,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$47.26,2018
HC INFECT AG NA GASTRO 12-25 TARGETS,H3100182,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$786.00,2018
HC IHC PER SPEC EA ADDL SGL AB PROC,H3100184,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$273.00,2018
HC MORPHOMETRIC ANALY IMHCHEM TUMOR PER SPEC EA SGL AB MANUAL,H3100185,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$266.00,2018
HC FISH PER SPEC EA ADDL SGL PRB PROC,H3100187,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$120.66,2018
HC MA IN SITU HYBRD CMPTR PER SPEC EA MLTPLX PRB STN PROC,H3100191,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$783.00,2018
HC MA IN SITU HYBRD MNL PER SPEC EA MLTPLX PRB STN PROC,H3100192,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$728.00,2018
HC IHC PER SPEC INI SGL AB PROC,H3100193,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$233.00,2018
HC ANALYSIS MET MUTATION,H3100194,310,"20 LABORATORY
30 LABORATORY
25 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY",$495.00,2018
HC CARDIAC ION CHNNLPATH GNMC SEQ PNL 10 GNS,H3100211,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$6,811.00",2018
HC CARDIAC ION CHNNLPATH DPLCTN PNL 2 GNS,H3100212,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$6,811.00",2018
HC SEPT9 METHYLATION ANALYSIS,H3100213,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$245.46,2018
HC IFNL3 GENE VRNT,H3100222,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$161.93,2018
HC HBB FULL GENE SEQUENCE,H3100227,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$441.39,2018
HC HEREDITARY PERIPHERAL NEUROPATHY GEN SEQ,H3100237,310,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$722.10,2018
HC CYTOPATH SELECT CELL ENHANCE W/INTERP,H3110004,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$295.00,2018
HC CYTOPATH IN SITU URINE SPEC 3-5 MNL EA,H3110005,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$2,263.00",2018
HC CYTOPATH C/V THIN LAYER MANUAL SCREEN,H3110007,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$81.00,2018
HC CYTOPATH SLD C/V DEF HRMN EVAL,H3110008,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$97.00,2018
HC CYTOPATH SMEAR OTH SCREEN & INTERP,H3110009,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$133.00,2018
HC CYTOPATH SMEAR OTH PREP SCREEN & INTERP,H3110010,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$62.00,2018
HC CYTOPATH SLD C/V MANUAL SCREEN,H3110011,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$66.00,2018
HC CYTOPATH EVAL FNA 1ST EA SITE,H3110012,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$148.00,2018
HC CYTOPATH EVAL FNA INTERP & REPORT,H3110013,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$193.00,2018
HC FLOW CYTO FIRST MARKER TC,H3110016,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$308.00,2018
HC FLOW CYTO EA ADDL MARKER TC,H3110017,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$136.00,2018
HC FLOW CYTO INTERP 2-8 MARKERS,H3110018,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$437.00,2018
HC FLOW CYTOMETRY INTERP 9-15 MARKER,H3110019,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$448.00,2018
HC TISSUE CULT NON-NEO LYMPH,H3110021,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$338.00,2018
HC TISSUE CULT NON-NEO TISSUE,H3110022,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$328.00,2018
HC TISSUE CULT NON-NEO AMNIO,H3110023,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$327.00,2018
HC TISSUE CULT NEO BM/BLOOD,H3110024,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$808.00,2018
HC CRYOPRES FRZ & STORE CELLS EA LINE,H3110026,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$25.00,2018
HC CHROMOSOME ANALY 5 CELLS 1 KARYOTYPE W/ BANDING,H3110031,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
","$1,095.00",2018
HC CHROMOSOME ANALY 15-20 CELLS 2 KARYOTYPE W/ BANDING,H3110032,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$800.00,2018
HC CHROMOSOME ANALY 45 CELLS MOSAIC 2 KARYO W/ BANDING,H3110033,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$932.00,2018
HC CHROMOSOME ANALY 20-25 CELLS,H3110034,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$800.00,2018
HC MOLEC CYTO DNA PROBE EA,H3110037,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$53.00,2018
HC MOLEC CYTO CHRMSML IN SITU 10-30 CELLS,H3110039,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$79.00,2018
HC MOLEC CYTO INTRPHS IN SITU 25-99 CELLS,H3110040,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$84.00,2018
HC MOLEC CYTO INTRPHS IN SITU 100-300 CELLS,H3110041,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$248.00,2018
HC CHROMOSOME ANALY ADDL KARYOTYPES EA STUDY,H3110042,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$61.00,2018
HC CHROMOSOME ANALY ADDL HIGH RES STUDY,H3110045,311,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$84.00,2018
HC LEVEL I - SURG PATH GROSS EXAM ONLY,H3120001,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$62.00,2018
HC LEVEL II - SURG PATH GROSS & MICRO EXAM,H3120002,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$135.00,2018
HC LEVEL III - SURG PATH GROSS & MICRO EXAM,H3120003,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$173.00,2018
HC LEVEL IV - SURG PATH GROSS & MICRO EXAM,H3120004,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$252.00,2018
HC LEVEL V - SURG PATH GROSS & MICRO EXAM,H3120005,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$364.00,2018
HC LEVEL VI - SURG PATH GROSS & MICRO EXAM,H3120006,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$519.00,2018
HC DECALCIFICATION PROCEDURE,H3120007,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$122.00,2018
HC SPECIAL STAINS GRP I,H3120008,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$141.00,2018
HC SPECIAL STAINS GRP II ALL OTHR,H3120009,312,"20 LABORATORY
25 LABORATORY
30 LABORATORY
45 LABORATORY
55 LABORATORY
80 LABORATORY
",$212.00,2018
