"Mnemonic","Description","Price"
6299107,"PLATE STEP CROSS 626903 STR",18392.64
6299108,"SCREW BONE 3.5X18 657418 ST",2198.5675
6299109,"SCREW BONE 3.5X16 657416 ST",2198.5675
6299110,"SCREW LOCK 3.5X22 657322 ST",3551.555
6299111,"SCREW BONE 2.7X26 656426 ST",2112.59
6299112,"SCREW BONE 2.7X20 656420 ST",2112.59
6299113,"SCREW LOCK 2.7X20 656320 ST",3184.525
6299114,"SCREW LOCK 2.6X18 656318 ST",3184.525
6299115,"PLATE Y ARTHODESIS 626982 S",8938.26
6299116,"HYDROSET XT 3CC 897003 STR",10091.25
6299117,"HIP STEM FEMORAL 12/14 8114",14606.058
6299118,"HIP STEM FEMORAL 8 193108 B",14606.058
6299119,"SCREW CORTEX 2.4X13 201.643",667.59
6299121,"SPINAL ROD RELINE 5.5X40 14",4851.4
6299122,"SPINAL PLATE ARCHON 42 8787",7990.89
6299123,"SPINAL PIN ARCHON FIX 87897",3488.6635
6299124,"SPINAL COROENT 8X13X15 6808",8144.07
6299125,"SPINAL COROENT 10X13X15 681",8144.07
6299126,"SPINAL ROD 5.5X45 1119.7045",3612.5
6299127,"KNEE FEMORAL SZ7 5515-F-701",13944.9
6299128,"KNEE INSERT SZ6 5532-G-609",7716.5
6299129,"INSERT KNEE SZ 5/6 71453285",7015
6299130,"SPINAL CAGE EXPAND 7X11 590",34500
6299131,"HIP SHELL ACET 56 110010266",34941.6
6299132,"HIP SCREW 6.5X20 010000997",433.5
6299133,"HIP SCREW 6.5X50 010001003",433.5
6299134,"HIP SCREW 6.5X60 010001004",433.5
6299135,"HIP SCREW 6.5X15 010000996",433.5
6299136,"HIP LINER ACET 44 110024464",19816.8
6299137,"HIP BEARING 28 XL-200150 Z",10350
6299138,"SCREW LOCK 2.7X54 02.211.05",1921.85
6299139,"RESERVOIR PENILE CONCEAL 72",17436.3
6299140,"HUMERAL SLEEVE 11MM 113579",8050
6299141,"HUMERAL STEM 8X122 12-11355",13800
6299142,"HUMERAL HEAD 42 113034 BIO",6900
6299143,"STEM FEMORAL HIP 1554-02-12",10695
6299144,"SCREW CORTEX 2.4X8 201.638",667.59
6299145,"SCREW CORTEX 2.4X9 201.639",667.59
6299146,"SCREW CORTEX 2.4X12 201.642",667.59
6299147,"HIP STEM FEMORAL 193112 BIO",14606.058
6299148,"HIP LINER ACET 52 71332752",7143.5
6299149,"HIP LINER ACET 36 6310-60-3",8521.5
6299150,"HIP HEAD BIOLOX 8777-36-01",15916.782
6299151,"KNEE TIBIAL INSERT 1294-05-",7659
6299152,"HIP LINER ACET 32 32-6732-8",11700.675
6299153,"HUMERAL STEM 8X122 113648 B",18354
6299154,"PLATE CONDYLAR 16H 02.124.4",12746.37
6299155,"BOLT LOCKING 4X50 458.850 S",2418.93
6299156,"BOLT LOCKING 4X60 458.860 S",2418.93
6299157,"SCREW SPINAL 4.2X12 150.812",3395.75
6299158,"PLATE SPINAL CERVICAL 30 15",8280
6299159,"SPINAL COROENT 8X22X45 6908",30316.875
6299160,"SPINAL PLATE BOLT 5.5X30 71",7978.125
6299161,"SPINAL COROENT 7X11X14 6807",8720.53
6299162,"SPINAL COROENT 6X13X15 6806",8144.07
6299163,"SPINAL PLATE ANCHOR 36 8787",7990.89
6299164,"SPINAL PLATE ANCHOR 40 8787",7990.89
6299165,"SPINAL SCREW ANCHOR 4X13 87",4687.316
6299166,"KNEE BEARING 13 42-5124-7-1",7596.9
6299167,"SPINAL SHANK 5.5X30 1317553",4318.508
6299168,"SPINAL TULIP RMM 14611111",5850.625
6299169,"SPINAL SCREW RSS 4.5/5.0 13",1083.461
6299170,"SPINAL ROD 5.5X50 14455050",4850.892
6299171,"SPINAL SPACER 12X14 365.411",11916.3
6299172,"SPINAL SCREW 6.5X50 1301655",7141.914
6299173,"SPINAL ROD 5.5X35 14355035",4851.4
6299174,"SPINAL SCREW 6.5X45 1301654",7141.914
6299175,"SPINAL BASE 10X38X28 695201",51060
6299176,"SPINAL BOLT 5X22.5 6955221",6914.375
6299177,"SPINAL COROENT 12X26X50 621",35103.75
6299178,"HIP STEM FEMORAL SZ12 19301",14606.058
6299179,"KNEE FEMORAL SZ8 42-5000-64",13758.6
6299180,"IMPLANT SYSTEM FOR FIBULOCK",6900
6299181,"NAIL FIBULOCK 3X130 FIB3013",29525.1
6299182,"SCREW CORTICAL 2.7X14 AR-88",932.025
6299183,"SCREW CORTICAL 2.7X20 AR-88",932.025
6299184,"TIGHTROPE SYNDES KNOT AR892",8680.2
6299185,"SCREW CANNULATED 4X50 AR884",3410.2
6299186,"WASHER SCREW 7MM AR-8870W",664.7
6299187,"SPINAL PLATE ARCHON 24 8787",7378.17
6299188,"KNEE FEMORAL SZ7 42-5000-06",13758.6
6299189,"IMPLANT ELBOW 11MM 909874",9466.8
6299190,"KNEE TIBIAL BASE SZ3 714204",9694.5
6299191,"HIP STEM FEMORAL SZ14 19311",14606.058
6299192,"HIP STEM FEMORAL SZ9 193009",14606.058
6299193,"HIP STEM FEMORAL SZ10 19311",14606.058
6299194,"HIP LINER TRILOGY 8752-09-3",7143.5
6299195,"SCREW FIXOS MV 4.0X56 MV56A",6955.2
6299196,"SCREW CANNULATED 6.5X85 602",6103.62
6299197,"SCREW CANNULATED 6.5X80 602",6103.62
6299198,"SCREW CANNULATED 6.5X90 602",6103.62
6299199,"KNEE TIBIAL INSERT 9 714532",7015
6299200,"KNEE INSERT TIBIAL 5530-G-5",7716.5
6299201,"PLATE CERVICAL 2L 38 150.23",8280
6299202,"SCREW SPINAL 4.2X16 150.816",3395.75
6299203,"SCREW SPINAL 4.6X16 150.716",3395.75
6299204,"SCREW SPINAL 4.6X16 150.916",3395.75
6299205,"SPINAL SPACER 12X14 29 342.",32457.6
6299206,"PLATE CERVICAL 3L 51 150.35",9273.6
170209,"ORTHOSIS KNEE ADJ JOINT L18",2406.83
250022,"TRAY THORACENTESIS ARROW",514.46
4371434,"CATHETER RE-ENTRY OTB42120",13098.6
4401283,"EVERCROSS BALLOON 4X100X135",1589.5
4401284,"BALLOON EVERCROSS 5X40X80",1589.5
5261078,"POWER PORT MRI METAL 180800",5397.5
5400916,"INTRODUCER SHEATH 4X11 MERI",126.58
5401270,"BALLOON NANOCROSS 3X40X135",1589.5
6300021,"C-WIRE .045",317.9
6300023,"ABSORB FEMORAL CANAL SUCT S",1446.445
6300024,"ABSORB FEMORAL CANAL SUCT L",1446.445
6300054,"BAR ARCH",491.3
6300099,"MESH MARLEX 1 X 4 011264",390.15
6300140,"DERMA CARRIER GRAFT 1.5 TO",518.0325
6300145,"BRUSH FEMORAL CANAL 12.5 (R",367.897
6300146,"BRUSH ACETABULAR",411.825
6300147,"BRUSH FEMORAL CANAL 19 (RIC",336.5405
6300148,"CEMENT RESTRICTOR 18.5 (RIC",2038.1725
6300149,"RESTRICTOR CEMENT 25 (RIC)",2038.1725
6300151,"SHIELD ACET CEMENT COMP CAP",734.4935
6300155,"PASSER SWANSON SUTURE",971.7625
6300159,"TUBE GOODE T"" 12MM""",627.13
6300206,"INTRODUCER LEAD SINGLE SHEA",794.75
6300441,"LENSE IOL 14.5 MT4UOO",1250.15
6300445,"LENSE IOL 16.5 MT4UOO",1250.15
6300447,"LENSE IOL 17.5 MT4U00",1250.15
6300450,"LENSE IOL 19.0 MT4UOO",1250.15
6300451,"LENSE IOL 19.5 MT4UOO",1250.15
6300453,"LENSE IOL 20.5 MT4UOO",1250.15
6300475,"SHIELD ACET CEMENT COMP CAP",734.4935
6300479,"C-WIRE TROCAR TIP .062",121.8135
6300501,"BRA BARTON MODIFIED JAW KDH",321.5125
6300510,"PATCH SOFT TISSUE",3294.6
6300511,"MESH MARLEX 3 X 6 11268",549.1
6300512,"ISOTAC",1334.98733333333
6300513,"SUTURE RETRIEVER",556.325
6300635,"CANNULA 7 X 76 - #012421",376.856
6300690,"SUTURE RETREIVER HEWSON",2239.75
6300804,"CANNULA 7MM CLEAR-TRAC",381.7112
6300842,"GRAFT STRGT TNWLL 8X90 IMPR",6882.75
6300843,"GRAFT FLEX IMPRA #F8008C",8512.875
6300845,"GRAFT GELSEAL BIF 14X7 4314",9600.5
6300846,"GRAFT GELSEAL BIF 16X8 4316",8872.5
6300847,"GRAFT GELSEAL BIF 18X9 IMPR",9600.5
6300898,"WIRE GUIDE STIFF-WIRE #46-5",598.519
6300902,"MESH MARLEX PREFIX PLUG-MED",1994.1
6300925,"GRAFT FLEX IMPRA #F7006C",6988.275
6300936,"MESH MARLEX PERFIX PLUG-LRG",2004.215
6300995,"GRAFT INPRA NON-RIAG",6520.5
6301002,"ANCHOR GII QUICK #212293 MI",5189.5
6301005,"LENS INTRAOCULAR MA30BA +17",812.2
6301007,"LENS INTRAOCULAR MA60AC +18",812.2
6301009,"LENS INTRAOCULAR MA60AC +19",812.2
6301010,"LENS INTRAOCULAR MA60AC +20",812.2
6301012,"LENS INTRAOCULAR MA60AC +21",812.2
6301013,"LENS INTRAOCULAR MA60AC +21",812.2
6301015,"LENS INTRAOCULAR MA60AC +22",812.2
6301020,"LENS INTRAOCULAR MA60AC +25",812.2
6301025,"LENS INTRAOCULAR MA60AC +16",812.2
6301027,"TUBE PAPARELLA I BENT #24-0",321.319833333333
6301038,"MESH MARLEX 6 X 6 0112720",867
6301045,"ANCHOR MINI QUICK MITEK 212",5992
6301046,"VICRYL MESH 12 X 12 KNITTED",8558.3
6301053,"PAPARELLA VENT TUBE 2 10-26",433.5
6301055,"DALL MILES GRIP SET #6704-0",10011.9
6301058,"DRAIN FLAT SILICONE 7MM 256",68.9265
6301086,"LIGAMENT PATELLAR TISSUE",15573.3
6301166,"TUBE REUTER BOBBIN 10-40010",269.73
6301199,"PUTTY DBX 10CC MTF 038100",8970
6301228,"LENS INTRAOCULAR SA60AT +19",817.4
6301266,"LEAD PACEMAKER 5076-58 MEDT",5397.5
6301271,"MESH PRE-SHAPED 1.8 X4 0112",674.815
6301272,"MESH PRE-SHAPED 2.4X5.4 113",775.965
6301276,"MESH 3DMAX MED LEFT 3X5 115",1878.5
6301277,"MESH 3DMAX MED RGHT 3X5 115",1878.5
6301278,"MESH 30MAX LG LEFT 4X6 1153",2080.8
6301279,"MESH 30 MAX LG RGHT 4X6 115",2080.8
6301294,"PUTTY DBX 5CC MTF 038050",8281
6301324,"GRAFT ACHILLES TENDON LIFEN",12109.5
6301331,"MESH HERNIA KUGEL XL 012379",8629.53
6301363,"NEEDLE NORIAN DELIVERY DLS7",768.74
6301376,"NORIAN BONE FILLER 10CC SRS",14499.66
6301386,"LENS IOL MTA4U0 +13.0",1250.15
6301402,"EXTENSION SPINAL 3383 ANS",7141.5
6301410,"TUNNELER SPINAL PAIN 1120",635.8
6301444,"SPHERE SST MEDPOR 20MM 8005",8338.88
6301455,"KIT CANNULA DISP 7X16 72101",365.1804
6301461,"LENS INTRAOCULAR SN60WF +18",817.4
6301462,"LENS INTRAOCULAR SN60WF +20",817.4
6301463,"LENS INTRAOCULAR SN60WF +23",817.4
6301464,"LENS INTRAOCULAR SN60WF + 1",817.4
6301465,"LENS INTRAOCULAR SN60WF +21",817.4
6301466,"LENS INTRAOCULAR SN60WF +22",817.4
6301467,"LENS INTRAOCULAR SN60WF +24",817.4
6301468,"LENS INTRAOCULAR SN60WF +23",817.4
6301471,"LENS INTRAOCULAR SN60WF +22",817.4
6301472,"LENS INTRAOCULAR SN60WF +17",817.4
6301479,"LENS INTRAOCULAR SN60WF +19",817.4
6301480,"LENS INTRAOCULAR SN60WF +7.",817.4
6301485,"GRAFT DISTAFLO 8X80 DF8008S",14127.75
6301488,"LENS INTRAOCULAR SN60WF +13",817.4
6301489,"LENS INTRAOCULAR SN60WF +21",817.4
6301492,"GRAFT DYNAFLO BYPASS FLEX 8",13222.125
6301493,"LENS INTRAOCULAR SN60WF +14",817.4
6301502,"MESH COMPOSIX E/X 8X10 1238",8470.44
6301513,"TOOL TUNNELER ANS 1112",794.75
6301519,"PUMP SYNCHROMED 8637-40 MED",73029.6
6301545,"IMPLANT COAPTITE INJECT 689",4699
6301546,"NEEDLE INJECT COAPTITE 6890",650.25
6301549,"BONE CANCELLOUS CHIP 15CC",5143.5
6301566,"DURAGEN PLUS 3X3 DP1033",9735.9
6301568,"DURAGEN PLUS 1X3 DP1013",8130.5
6301571,"DURAGEN 2 X 2 DP1022 INTEGR",8947
6301579,"TUBE TUOMA T-TYPE XOMED 560",439.28
6301591,"LENS INTRAOCULAR SN60WF + 1",817.4
6301592,"LENS INTRAOCULAR SN60WF +20",817.4
6301593,"LENS INTRAOCULAR SN60WF +16",817.4
6301601,"LENS INTRAOCULAR SN60WF + 1",817.4
6301602,"LENS INTRAOCULAR SN60WF + 1",817.4
6301603,"LENS INTRAOCULAR SN60WF + 1",817.4
6301604,"LENS INTRAOCULAR SN60WF + 1",817.4
6301605,"LENS INTRAOCULAR SN60WF +16",817.4
6301606,"LENS INTRAOCULAR SN60WF + 1",817.4
6301607,"LENS INTRAOCULAR SN60WF + 2",817.4
6301608,"LENS INTRAOCULAR SN60WF +25",817.4
6301609,"LENS INTRAOCULAR SN60WF +25",817.4
6301610,"LENS INTRAOCULAR SN60WF +26",817.4
6301611,"LENS INTRAOCULAR SN60WF +26",817.4
6301612,"LENS INTRAOCULAR SN60WF +27",817.4
6301614,"LENS INTRAOCULAR SN60WF +11",817.4
6301622,"LENS INTRAOCULAR SN60WF + 1",817.4
6301630,"LENS INTRAOCULAR SN60WF +11",817.4
6301632,"LENS INTRAOCULAR SN60WF + 1",817.4
6301642,"LENS INTRAOCULAR SN60WF +9.",817.4
6301643,"LENS TORIC INTRA SN6AT3 +20",3019.5
6301644,"LENS INTRAOCULAR SN60WF+27.",817.4
6301646,"LENS VITRECTOMY CZ70BD  +20",305
6301649,"LENS VITRECTOMY CZ70BD +19.",305
6301652,"LENS INTRAOCULAR SN60WF +10",817.4
6301654,"LENS TORIC INTRA SN6AT4 +20",3019.5
6301665,"LENS VITRECTOMY CZ70BD +20.",305
6301669,"LENS TORIC INTRA SN6AT3 +22",3019.5
6301673,"LENS INTRAOCULAR SN60WF +30",817.4
6301679,"LENS INTRAOCULAR SN60WF +7.",817.4
6301682,"LENS VITRECTOMY CZ70BD +18.",736.65
6301686,"LENS INTRAOCULAR SN60WF +8.",817.4
6301687,"LENS INTRAOCULAR SN60WF +8.",817.4
6301698,"MESH PROLITE ULTRA 2X4 3070",664.14512
6301707,"SEGMENT FIBULA 100 FIB10 LF",5873.14
6301716,"LENS TORIC SN6AT5 +20.0",3019.5
6301728,"LENS INTRAOCULAR SN60WF +10",817.4
6301732,"LENS VITRECTOMY CZ70BD +22.",849.4
6301739,"IMPLANT VOICE RADIESSE 8044",7187.5
6301740,"KIT SPINAL ACCESSORY 3550-2",794.75
6301744,"LENS INTRAOCULAR SN60WF +29",817.4
6301754,"LENS TORIC INTRA SN6AT4 +21",3019.5
6301762,"ANCHOR SPINAL LEAD 1194 ANS",982.6
6301764,"LENS TORIC INTRA SN6AT5 +22",3019.5
6301765,"LENS VITRECTOMY CZ70BD +19.",305
6301766,"LENS TORIC INTRA SN6AT4 +18",3019.5
6301769,"LENS VITRECTOMY CZ70BD +18.",849.4
6301771,"PATCH PERI-CARDIAL 1X6 1P6",2875.55
6301772,"PATCH PERI-CARDIAL 2X9 2P9",3924.3
6301773,"IMPLANT GOLD EYELID LL4016",4508.5
6301776,"LENS TORIC INTRA SN6AT4 +20",3019.5
6301779,"LENS TORIC INTRA SN6AT4 +15",3019.5
6301787,"LENS TORIC INTRA SN6AT3 +19",3019.5
6301788,"LENS TORIC INTRA SN6AT4 +19",3019.5
6301790,"LENS VITRECTOMY CZ70BD +23.",736.65
6301801,"LENS TORIC INTRA SN6AT5 +24",3019.5
6301802,"LENS TORIC INTRA SN6AT3 +18",3019.5
6301803,"LENSE IOL MTA4U0 +9.0",1250.15
6301811,"LENS TORIC INTRA SN6AT5 +14",3019.5
6301839,"LENS TORIC INTRA SN6AT4 +24",3019.5
6301842,"MESH PROLITE ULTRA 2.5X6 30",690.228815
6301843,"LENS TORIC INTRA SN6AT3 +24",3019.5
6301846,"LENS TORIC INTRA SN6AT4 +22",3019.5
6301849,"LENS TORIC INTRA SN6AT3 +16",3019.5
6301850,"LENS TORIC INTRA SN6AT4 +21",3019.5
6301862,"LENS TORIC INTRA SN6AT3 +20",3019.5
6301867,"LENS TORIC INTRA SN6AT3 +21",3019.5
6301868,"LENS TORIC INTRA SN6AT4 +16",3019.5
6301872,"LENS TORIC INTRA SN6AT3 +23",3019.5
6301881,"LENS TORIC INTRA SN6AT3 +19",3019.5
6301882,"LENS TORIC INTRA SN6AT4 +17",3019.5
6301886,"LENS TORIC INTRA SN6AT3 +22",3019.5
6301897,"LENS TORIC INTRA SN6AT4 +23",3019.5
6301899,"PATCH HERNIA VENTRALEX ST 5",5435.6
6301901,"LENS TORIC INTRA SN6AT3 +21",3019.5
6301902,"MESH VENTRALESX 4.3 5950007",4483.1
6301907,"PATCH HERNIA VENTRIO 001021",6582.6
6301909,"MESH HERNIA 4X6 VENTRALIGHT",6290.5
6301917,"KIT TRIAL/PAIN LEAD SC-2218",15180
6301919,"NEEDLE PAIN INSERT 5 SC-42""",1445
6301921,"NEEDLE PAIN INSERT 6IN SC-4",1445
6301925,"PATCH HERNIA VENTRIO 3X3 10",5087.62
6301928,"LENS TORIC INTRA SN6AT3 +14",3019.5
6301931,"MESH VENTRIO ST 4.5 5950020",6812.6
6301932,"LENS TORIC INTRA SN6AT7 +15",3019.5
6301935,"MESH VENTRALIGHT 4X11 59544",5054.6
6301938,"PATCH VENTRIO 4.3X5.5 59500",7061.6
6301941,"NEEDLE PAIN INSERT CDE SC42",361.25
6301942,"WRENCH PAIN ANCHOR CLIK SC4",578
6301943,"ANCHOR PAIN CLIK SC-4316",4286.25
6301946,"KIT PAIN CHARGING SC-6412-3",10350
6301948,"LENS TORIC INTRA SN6AT4 +17",3019.5
6301949,"PATCH VENTRIO ST 5X7 595005",6693
6301952,"PAIN/SPINAL TUNNEL TOOL SC4",2540
6301954,"LENS TORIC INTRA SN6AT4 +16",3019.5
6301966,"LENS TORIC INTRA SN6AT5 +21",3019.5
6301970,"LENS TORIC INTRA SN6AT5 +18",3019.5
6301971,"LENS TORIC INTRA SN6AT4 +23",3019.5
6301974,"LENS VITRECTOMY CZ70BD +14.",849.4
6301975,"LENS TORIC INTRA SN6AT3 +17",3019.5
6301985,"GRAFT DERMACELL 8X16 DCELL2",30028.8
6301992,"IMPLANT MAMMARY 133MX-15",9625.5
6301995,"CUBE CANCELLOUS 20CC LIFENE",3921.125
6301999,"LEAD SPINAL CONTACT SC-2218",12540
6302010,"ANCHOR SPINAL PAIN INJEX 97",1605
6302021,"LENS TORIC INTRA SN6AT3 +26",3019.5
6302023,"LENS TORIC INTRA SN6AT6 +25",3019.5
6302024,"LENS TORIC INTRA SN6AT4 +11",3019.5
6302028,"IMPLANT MAMMARY 350-5251BC",8690.5
6302060,"EXPANDER TISSUE 354-9214 55",11695.5
6302061,"EXPANDER TISSUE 354-9215 65",11695.5
6302070,"PROGRAMMER SPINAL PAIN 9774",8472.1
6302072,"LEAD SPINAL PAIN KIT 977A26",18071.1
6302085,"GENERATOR PACEMAKER A2DR01",28462.5
6302088,"LENS INTRAOCULAR SN60WF +6.",817.4
6302091,"LENS TORIC INTRA SN6AT3 +11",3019.5
6302098,"LENS TORIC INTRA SN6AT6 +17",3019.5
6302101,"LENS TORIC INTRA SN6AT5 +19",3019.5
6302104,"GENERATOR SPINAL PAIN 97702",91487.1
6302106,"LENS TORIC INTRA SN6AT3 +18",3019.5
6302108,"LENS TORIC INTRA SN6AT3 +12",3019.5
6302110,"LENS TORIC INTRA SN6AT5 +24",3019.5
6302111,"LEAD PACEMAKER 5076-52 CAPS",5118.1
6302115,"LENS TORIC INTRA SN6AT5 +20",3019.5
6302122,"LENS VITRECTOMY CZ70BD +30.",849.4
6302128,"LENS TORIC INTRA SN6AT3 +15",3019.5
6302132,"LEAD SPINAL PAIN 977D260 MD",4600
6302152,"LENS TORIC INTRA SN6AT3 +14",3019.5
6302163,"LENS VITRECTOMY CZ70BD +14.",849.4
6302183,"LENS TORIC INTRA SN6AT5 +25",3019.5
6302184,"IMPLANT PROPEL STD 70011",8625
6302191,"LENS INTRAOCULAR MX60 +0.0",915
6302192,"LENS TORIC INTRA SN6AT3 +12",3019.5
6302193,"LENS TORIC INTRA SN6AT4 +12",3019.5
6302197,"LENS TORIC INTRA SN6AT6+18.",3019.5
6302214,"IMPLANT EAR ALTO PARTIAL 65",4227.83
6302225,"KIT PAIN SPINAL LEAD 977A27",18071.1
6302232,"PATCH VENTRAL PC04VP COVIDI",4250.436
6302234,"LENS TORIC INTRA SN6AT7 +22",3019.5
6302235,"MESH PROGRIP TEMP1208GL COV",3205.299
6302236,"PATCH VENTRAL PC06VP COV",5093.589
6302237,"DRAIN BLAKE 15FR 3/16 07218",219.53885
6302239,"KIT CONTACT LEAD SC-2316-50",7962.5
6302240,"CABLE TRIAL PAIN SC-4116",289
6302243,"MESH PROGRIP TEM1208GR COV",3205.299
6302245,"IMPLANT PROPEL MINI 60011",9142.5
6302246,"MESH PARIETEX PC08VP COV",5924.34
6302251,"DEVICE SPINAL FIX SUTURE FB",7280
6302256,"LENS TORIC INTRA SN6AT6 +13",3019.5
6302259,"MESH SYMBOTEX SYM1510 COV",4601.464
6302264,"MESH PROGRIP LPG1510AL COV",4490.212
6302273,"ANCHOR SPINAL PAIN CLIK SC4",4286.25
6302275,"LENS TORIC INTRA SN6AT3 +16",3019.5
6302285,"IMPLANT MAMMARY 350-7320MC",8463
6302287,"PROGRAMMER PT SPINAL/PAIN 3",8970
6302288,"SYSTEM CHARGING PAIN 3730",19816.8
6302289,"IMPLANT PROTEGE MRI SPINL 3",176226
6302290,"DRAIN FLUTE FULL ROUND 19FR",201.96765
6302292,"ALLODERM TISSUE PERF CM1520",37232.4
6302304,"LENS TORIC INTRA SN6AT5 +16",3019.5
6302324,"CABLE PAIN SPINAL 2X8 SC-41",289
6302325,"KIT PAIN SPINAL REMOTE SC-5",9100
6302331,"GRAFT VIA FORM M 10CC VCAFM",23115
6302333,"LENS TORIC INTRA SN6AT4 +25",6286.5
6302343,"GRAFT VIA FORM M 1CC VCAFM0",5321.3
6302344,"MESH PHASIX 15X20 1201520 D",32623.2
6302348,"KIT PAIN LEAD 56 SC-2408-56",31878
6302349,"ANCHOR PAIN X MRI SC-4319",4318
6302350,"KIT PAIN GENERATOR MRI SC-1",195166.5
6302353,"CABLE PAIN TRIAL 3013 SJM",3179
6302358,"LENS INTRAOCULAR MX60 +4.0",2167.5
6302361,"MESH PHASIX 7X10 1200710 DA",9342.6
6302368,"MESH 3DMAX XL LEFT 0115312",2767.175
6302369,"MESH 3DMAX XL RIGHT 0115322",2731.05
6302377,"MESH PROGRIP FLAT 10X15 LPG",3993.769
6302378,"MESH SYMBOTEX 20X15 SYM2015",6684.145
6302380,"PAIN PROGRAMMER ELITE 3660",224836.5
6302383,"KIT SPINAL PAIN PATIENT SC6",722.5
6302384,"PAIN SPINAL TUNNEL TOOL 35",2890
6302387,"SPINAL PAIN FIX DEVICE FB10",5080
6302388,"LENS TORIC INTRA SN6AT4 +14",3019.5
6302398,"LENS TORIC MULTI SV25T0 +17",5459.5
6302400,"LENS TORIC INTRA SN6AT3 +8.",3019.5
6302405,"MESH HERNIA PROLENE PHSL ET",5535.50666666667
6302410,"TUBE EAR T-TUBE MOD 24-0072",2043.23
6302417,"SPINAL PAIN INTELLIS 97715",105570
6302418,"SPINAL PAIN PROGRAMMER 9774",12909.9
6302419,"SPINAL PAIN RECHARGER 97755",8190
6302420,"SPINAL PAIN EXT NEURO STIM",1380
6302421,"LENS TORIC MULTI SV25T0 +14",5459.5
6302422,"MESH VENTRALIGHT ECHO 2 4X6",5635
6302426,"MESH PHASIX 11 CRCLE 120001",13972.5
6302428,"MESH PARIETEX TECT1510AL CO",1704.0885
6302434,"LENS TORIC MULTI SV25T3 +21",5459.5
6302436,"LENS TORIC INTRA SN6AT4 +15",3019.5
6302438,"DRAIN BLAKE 10FR FULL TROCA",223.8305
6302442,"LENS INTRAOCULAR MA60AC +14",812.2
6302445,"LENS TORIC MULTI SV25T3 +20",5459.5
6302448,"LENS TORIC MULTI SND1T3 +22",5459.5
6302449,"LENS TORIC MULTI SV25T3 +18",5459.5
6302450,"KIT SPINAL PAIN LEAD SC-221",7762.5
6302451,"LENS TORIC MULTI SV25T4 +17",5459.5
6302452,"IMPLANT MAMMARY SCF-695",9315
6302453,"IMPLANT MAMMARY SCF-650",9315
6302454,"LENS TORIC MULTI SND1T3 +11",5459.5
6302456,"LENS TORIC MULTI SND1T3 +18",5459.5
6302457,"MESH VENTRALIGHT ECHO 59900",6325
6302458,"MESH VENTRALIGHT ECHO 59900",6597.5
6302460,"LENS TORIC INTRA SN6AT4 +22",3019.5
6302461,"LENS TORIC INTRA SN6AT4 +10",3019.5
6302462,"LENS TORIC MULTI SND1T3 +16",5459.5
6302463,"LENS TORIC INTRA SN6AT6 +24",3019.5
6302464,"GENERATOR SPINAL SPECTRA SC",143175
6302465,"SPINAL REMOTE CONTROL SC-55",9100
6302466,"LENS TORIC INTRA SN6T7 +12.",3019.5
6302467,"LENS TORIC INTRA SN6AT6 +21",3019.5
6302468,"IMPLANT MAMMARY 133MX-16-T",11005.5
6302469,"LENS TORIC MULTI SV25T3 +22",5459.5
6302470,"LENS TORIC MULTI SV25T0 +22",5459.5
6302471,"LENS TORIC INTRA SN6AT4 +27",3019.5
6302475,"LENS INTRAOCULAR MX60 +5.0",915
6302476,"LENS TORIC MULTI SV25T3 +24",5459.5
6302477,"LENS TORIC MULTI SND1T3 +20",5459.5
6302478,"LENS TORIC MULTI SN6AD1 +22",5459.5
6302479,"LENS TORIC MULTI SN6AD1 +17",5459.5
6302480,"MESH PHASIX 10X15 1201015",17595
6302483,"LENS TORIC MULTI SV25T0 +21",5459.5
6302488,"DURAMATRIX 2X2 CDSLM22",7022.475
6302489,"DURAMATRIX 3X3 CDSLM33",8354.528
6302490,"LENS TORIC MULTI SV25T0 +13",5459.5
6302491,"LENS TORIC MULTI SV25T5 +20",5459.5
6302492,"LENS TORIC MULTI SND1T4 +22",5459.5
6302493,"KIT SPINAL LEAD COVEREDGE 8",41400
6302494,"ELEVATOR SPINAL PASS SC-423",751.4
6302495,"LENS VITRECTOMY CZ70BD +24.",849.4
6302496,"LENS TORIC MULTI SND1T5 +20",5459.5
6302497,"ALLODERM SELECT MED CM1518P",37232.4
6302498,"ALLODERM SELECT XLCXL1518P",56497.2
6302501,"LENS TORIC MULTI SND1T3 +13",5459.5
6302502,"LENS TORIC MULTI SND1T4 +21",5459.5
6302503,"PAIN CONTROLLER PT 3883",11212.5
6302504,"PAIN PROGRAMMER PROCLAIM 36",224836.5
6302505,"PAIN LEAD EXTENSION 2321",11247
6302506,"EXPANDER TISSUE 600 133MX-1",11005.5
6302507,"LENS INTRAOCULAR MA60MA -2.",877.7
6302508,"PATCH TYRX NEURO MED 6122",9054.5
6302509,"LENS TORIC INTRA SN6AT3 +6.",3019.5
6302510,"LENS TORIC MULTI SV25T3 +22",5459.5
6302512,"LENS TORIC MULTI SV25T0 +18",5459.5
6302514,"LENS TORIC MULTI SN6AD1 +21",5459.5
6302515,"LENS TORIC MULTI SND1T3 +17",5459.5
6302516,"LENS TORIC MULTI SN6AD1 +12",5459.5
6302517,"LENS TORIC MULTI SN6AD1 +21",5459.5
6302518,"LENS TORIC MULTI SV25T0 +24",5459.5
6302519,"LENS VITRECTOMY CZ70BD +26.",849.4
6302520,"LENS TORIC MULTI SN6AD1 +23",5459.5
