"Type","Name","Per Day Charges"
"Pharmacy","bimatoprost 0.01% Opht Soln (2.5mL Bulk)","302.2"
"Pharmacy","bimatoprost 0.01% Opht Soln (5mL Bulk)","302.08"
"Pharmacy","bimatoprost 0.03% Opht Soln (2.5mL Bulk)","188.48"
"Pharmacy","bimatoprost 0.03% Opht Soln (3mL Bulk)","163.8"
"Pharmacy","biotene moisturizing mouth spray Oral Spray (45mL Bulk)","3.5"
"Pharmacy","biotene mouthwash Oral Soln (240 mL Bulk)","3.5"
"Pharmacy","biotene mouthwash Oral Soln (474mL Bulk)","18.8"
"Pharmacy","biotene mouthwash Oral Soln (59 mL Bulk)","5.4"
"Pharmacy","biotene oral balance Oral Gel (42gm Bulk)","3.5"
"Pharmacy","biotene oral balance Oral Soln (45mL Bulk)","3.5"
"Pharmacy","biotin 1000 mcg Tab","3.5"
"Pharmacy","biotin 300 mcg Tab","3.5"
"Pharmacy","biotin 5 mg Cap","3.5"
"Pharmacy","bisacodyl 10 mg Enema","3.5"
"Pharmacy","bisacodyl 10 mg Supp","3.5"
"Pharmacy","bisacodyl 5 mg Oral EC Tab","3.5"
"Pharmacy","bismuth subsalicylate 262 mg Tab","3.5"
"Pharmacy","bismuth subsalicylate 262 mg Tab-Chew","3.5"
"Pharmacy","bismuth subsalicylate 524mg/30mL  Oral Susp (30mL UD Liq)","3.5"
"Pharmacy","bismuth subsalicylate 525 mg/15 mL OralSusp (15mL UD Liq)","3.5"
"Pharmacy","bisoprolol 10 mg Tab","4.27"
"Pharmacy","bisoprolol 5 mg Tab","4.27"
"Pharmacy","bisoprolol-hydrochlorothiazide 10 mg-6.25 mg Tab","4"
"Pharmacy","bisoprolol-hydrochlorothiazide 2.5 mg-6.25 mg Tab","3.95"
"Pharmacy","bisoprolol-hydrochlorothiazide 5 mg-6.25 mg Tab","3.99"
"Pharmacy","bosentan 125 mg Tab","173.25"
"Pharmacy","brewer's yeast - Tab","3.5"
"Pharmacy","brexpiprazole 2 mg Tab","155.32"
"Pharmacy","brimonidine 0.1% Opht Soln (5mL Bulk)","122.71"
"Pharmacy","brimonidine 0.15% Opht Soln (10mL Bulk)","52.96"
"Pharmacy","brimonidine 0.15% Opht Soln (5mL Bulk)","91.21"
"Pharmacy","brimonidine 0.2% Opht Soln (10mL Bulk)","11.95"
"Pharmacy","brimonidine 0.2% Opht Soln (15mL Bulk)","12.8"
"Pharmacy","brimonidine 0.2% Opht Soln (5mL Bulk)","22.86"
"Pharmacy","brimonidine-brinzolamide 0.2%-1% Ophthalmic Suspension (8mL Bulk)","71.91"
"Pharmacy","brimonidine-timolol 0.2%-0.5% Opht Soln (10ml Bulk)","135.27"
"Pharmacy","brimonidine-timolol 0.2%-0.5% Opht Soln (5ml Bulk)","135.27"
"Pharmacy","brinzolamide 1% Opht Susp (10mL Bulk)","119.93"
"Pharmacy","brivaracetam 10 mg/mL Oral Liquid (10 ml UD)","14"
"Pharmacy","brivaracetam 100 mg Tab","74.91"
"Pharmacy","brivaracetam 50 mg Tab","74.91"
"Pharmacy","brivaracetam 75 mg Tab","74.91"
"Pharmacy","bromfenac 0.075% ophthalmic Sol (5mL Bulk)","226.8"
"Pharmacy","bromfenac 0.09% ophthalmic Solution (1.7mL Bulk)","416.95"
"Pharmacy","bromocriptine 0.8 mg Tab","15.11"
"Pharmacy","bromocriptine 2.5 mg Tab","13.14"
"Pharmacy","bromocriptine 5 mg Cap","32.59"
"Pharmacy","brompheniramine/dextromethorphan/PSE 2 mg-10 mg-30 mg/5 mL Oral  Syrup (5mL UD Liq)","3.5"
"Pharmacy","budesonide 0.032 mg/inh Nasal Spray (8.6gm Bulk)","72.59"
"Pharmacy","budesonide 0.25 mg/2 mL Inh Susp","16.47"
"Pharmacy","budesonide 0.5 mg/2 mL Inh Susp","19.39"
"Pharmacy","budesonide 1 mg/2 mL Inh Susp","40.39"
"Pharmacy","budesonide 180 mcg/inh Inh Pwdr","876.28"
"Pharmacy","budesonide 3 mg ERCap","87"
"Pharmacy","budesonide 9 mg Tab-ER","238.45"
"Pharmacy","budesonide 90 mcg/inh Inh Pwdr","654.37"
"Pharmacy","budesonide-formoterol 160 mcg-4.5 mcg/inh Inh Aerosol (6gm Bulk)","141.49"
"Pharmacy","budesonide-formoterol 80 mcg-4.5 mcg/inh Inh Aerosol (6.9gm Bulk)","117.65"
"Pharmacy","bumetanide 0.25 mg/mL Sol","3.5"
"Pharmacy","bumetanide 0.5 mg Tab","8.5"
"Pharmacy","bumetanide 1 mg Tab","3.82"
"Pharmacy","bumetanide 1mg/4mL Inj Sol 4 mL","3.5"
"Pharmacy","bumetanide 2 mg Tab","10.38"
"Pharmacy","bupivacaine 0.25%  Inj Soln (50mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.25% PF Inj Soln (10mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.25% PF Inj Soln (30mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.5% Inj Soln (50mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.5% PF Inj Soln (10mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.5% PF Inj Soln (30mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.5%-EPINEPHrine 1:200,000 Inj Soln (10mL UD Inj)","3.5"
"Pharmacy","bupivacaine 0.75% PF Inj Soln (10mL UD Inj)","3.5"
"Pharmacy","bupivacaine-EPINEPHrine 0.25%-1:200,000 PF Inj Soln (10mL UD Inj)","3.5"
"Pharmacy","bupivacaine-EPINEPHrine 0.25%-1:200,000 PF Inj Soln (30mL UD Inj)","3.5"
"Pharmacy","buprenorphine 10 mcg/hr Film","422.81"
"Pharmacy","buprenorphine 15 mcg/hr Film","609.9"
"Pharmacy","buprenorphine 150 mcg buccal Film","19.32"
"Pharmacy","buprenorphine 2 mg Tab-SL","14.49"
"Pharmacy","buprenorphine 20 mcg/hr Film","748.52"
"Pharmacy","buprenorphine 5 mcg/hr Film","281.87"
"Pharmacy","buprenorphine 7.5 mcg/hr Film","394.62"
"Pharmacy","buprenorphine 75 mcg buccal Film","19.32"
"Pharmacy","buprenorphine 8 mg Tab-SL","10.15"
"Pharmacy","buprenorphine-naloxone 2 mg-0.5 mg Film","17.37"
"Pharmacy","buprenorphine-naloxone 2 mg-0.5 mg Tab SL","15.9"
"Pharmacy","buprenorphine-naloxone 4 mg-1 mg Film","31.11"
"Pharmacy","buprenorphine-naloxone 5.7 mg-1.4 mg Tab SL","34.88"
"Pharmacy","buprenorphine-naloxone 8 mg-2 mg Film","31.11"
"Pharmacy","buprenorphine-naloxone 8 mg-2 mg Tab SL","28.42"
"Pharmacy","buPROPion 100 mg SR twice daily Tab","5.91"
"Pharmacy","buPROPion 100 mg Tab","6.87"
"Pharmacy","buPROPion 150 mg SR twice daily Tab","6.34"
"Pharmacy","buPROPion 150 mg XL once daily Tab","16.71"
"Pharmacy","buPROPion 300 mg XL once daily Tab","16.69"
"Pharmacy","buPROPion 75 mg Tab","5.41"
"Pharmacy","busPIRone 10 mg Tab","4.71"
"Pharmacy","busPIRone 15 mg Tab","7.07"
"Pharmacy","busPIRone 30 mg Tab","12.72"
"Pharmacy","busPIRone 5 mg Tab","3.5"
"Pharmacy","busPIRone 7.5 mg Tab","5.53"
"Pharmacy","butorphanol 10 mg/mL Spr","134.85"
"Pharmacy","cabergoline 0.5 mg Tab","128.31"
"Pharmacy","cadexomer iodine 0.9% Topical Gel (10gm Bulk)","8.28"
"Pharmacy","cadexomer iodine 0.9% Topical Gel (40gm Bulk)","11.99"
"Pharmacy","caffeine 200 mg Tab","3.5"
"Pharmacy","calamine 8% Topical Lotion (120mL Bulk)","3.5"
"Pharmacy","calamine-pramoxine 8%-1% Topical Lotion (180mL Bulk)","3.5"
"Pharmacy","calazime topical paste","55.72"
"Pharmacy","calcipotriene 0.005% Topical Cream (60gm Bulk)","25.85"
"Pharmacy","calcitonin 200 intl units/inh Nasal Spray (3.7mL Bulk)","84.99"
"Pharmacy","calcitonin 200 intl units/mL Inj Sol 2mL","5676.44"
"Pharmacy","calcitriol 0.25 mcg Oral Cap","4.29"
"Pharmacy","calcitriol 0.5 mcg Oral Cap","6.77"
"Pharmacy","calcitriol 1 mcg/mL Inj Sol","21"
"Pharmacy","calcitriol 1 mcg/mL Oral Liquid (Extemp)","41.88"
"Pharmacy","calcium acetate 667 mg Cap","3.59"
"Pharmacy","calcium acetate 667 mg tab","3.5"
"Pharmacy","calcium acetate 667 mg/5 mL Oral Liquid (5mL UD Liq)","3.5"
"Pharmacy","calcium carbonate 1250 mg Tab  (500mg elemental calcium)","3.5"
"Pharmacy","calcium carbonate 1250 mg/5 mL Oral Susp (5mL UD)","3.5"
"Pharmacy","calcium carbonate 500 mg Chew Tab","3.5"
"Pharmacy","calcium carbonate 600 mg Tab","3.5"
"Pharmacy","calcium carbonate 750 mg ChewTab","3.5"
"Pharmacy","calcium carbonate-magnesium chloride 112 mg-64 mg Tab","3.5"
"Pharmacy","calcium chloride 100mg/mL Solution IV (10mL Vial)","3.78"
"Pharmacy","calcium citrate 950 mg (200mg elemental Calcium)Tab","3.5"
"Pharmacy","calcium citrate-vitamin D 200 mg-250 intl units Tab","3.5"
"Pharmacy","calcium gluconate 100 mg/mL Inj Sol 10 mL","3.84"
"Pharmacy","calcium gluconate 500 mg Tab","3.5"
"Pharmacy","calcium-vita D-Phosphorus 500mg-500intlunits-100mg/15 ml  Oral Liq (15mL UD Liq)","3.5"
"Pharmacy","calcium-vitamin D 250 mg-125 intl units Tab","3.5"
"Pharmacy","calcium-vitamin D 315 mg-250 intl units Tab","3.5"
"Pharmacy","calcium-vitamin D 500 mg-200 intl units Tab","3.5"
"Pharmacy","calcium-vitamin D 500 mg-400 intl units Tab-Chew","3.5"
"Pharmacy","calcium-vitamin D 600 mg-200 intl units Tab","3.5"
"Pharmacy","calcium-vitamin D 600 mg-400 intl units Tab","3.5"
"Pharmacy","camphor/menthol/methyl salicylate 3.1%-6%-10% Topical Film","3.5"
"Pharmacy","camphor-menthol 0.5%-0.5% Topical Lotion (225mL Bulk)","3.5"
"Pharmacy","camphor-menthol 0.5%-0.5% Topical Lotion (59mL Bulk)","3.5"
"Pharmacy","camphor-menthol 4.8%-2.6% Topical Oint (50gm Bulk)","3.5"
"Pharmacy","camphor-menthol topical 0.2%-3.5% Top Gel (89gm Bulk)","3.5"
"Pharmacy","canagliflozin 100 mg Tab","59.13"
"Pharmacy","canagliflozin 300 mg Tab","59.13"
"Pharmacy","canagliflozin-metFORMIN 150 mg-1000 mg Tab","29.56"
"Pharmacy","canagliflozin-metFORMIN 50 mg-500 mg Tab","29.56"
"Pharmacy","candesartan 16 mg Tab","11.57"
"Pharmacy","candesartan 32 mg Tab","15.03"
"Pharmacy","candesartan 4 mg Tab","11.11"
"Pharmacy","candesartan 8 mg Tab","11.11"
"Pharmacy","capecitabine 500 mg Tab","138.87"
"Pharmacy","capsaicin 0.025% Topical Cream (60gm Bulk)","3.5"
"Pharmacy","capsaicin 0.025% Topical Film","4.43"
"Pharmacy","capsaicin 0.075% Topical Crem (57gm Bulk)","3.5"
"Pharmacy","capsaicin 0.1% Topical Cream (42.5gm Bulk)","3.5"
"Pharmacy","capsaicin 0.1% Topical Cream (60gm Bulk)","3.5"
"Pharmacy","captoPRIL 12.5 mg Tab","6.01"
"Pharmacy","captoPRIL 25 mg Tab","5.84"
"Pharmacy","captoPRIL 50 mg Tab","10.15"
"Pharmacy","carBAMazepine 100 mg Cap ER","6.26"
"Pharmacy","carBAMazepine 100 mg Chew Tab","3.5"
"Pharmacy","carBAMazepine 100 mg ER Tab","4.01"
"Pharmacy","carBAMazepine 100 mg/5 mL Oral Susp (5mL UD Liq)","3.5"
"Pharmacy","carBAMazepine 200 mg Cap ER","6.26"
"Pharmacy","carBAMazepine 200 mg Tab","5.6"
"Pharmacy","carBAMazepine 200 mg Tab-ER","7.27"
"Pharmacy","carBAMazepine 200mg/10mL Oral Susp (10mL UD Liq)","3.5"
"Pharmacy","carBAMazepine 300 mg ERCap","6.26"
"Pharmacy","carBAMazepine 400 mg Tab-ER","14.54"
"Pharmacy","carbamide peroxide 10% Oral Topical Solution (15mL Bulk)","3.5"
"Pharmacy","carbamide peroxide 6.5% Otic Soln (15mL Bulk)","3.5"
"Pharmacy","carbidopa 25 mg Tab","76.47"
"Pharmacy","carbidopa/entacapone/levodopa 12.5 mg-200 mg-50 mg Tab","13.11"
"Pharmacy","carbidopa/entacapone/levodopa 18.75 mg-200 mg-75 mg Tab","13.11"
"Pharmacy","carbidopa/entacapone/levodopa 25 mg-200 mg-100 mg Tab","12.98"
"Pharmacy","carbidopa/entacapone/levodopa 31.25 mg-200 mg-125 mg Tab","13.11"
"Pharmacy","carbidopa/entacapone/levodopa 37.5 mg-200 mg-150 mg Tab","12.98"
"Pharmacy","carbidopa/entacapone/levodopa 50 mg-200 mg-200 mg oral tablet","13.11"
"Pharmacy","carbidopa-levodopa 10 mg-100 mg","4.01"
"Pharmacy","carbidopa-levodopa 10 mg-100 mg ODT Tab","4.25"
"Pharmacy","carbidopa-levodopa 23.75 mg-95 mg Cap","12.25"
"Pharmacy","carbidopa-levodopa 25 mg-100 mg","3.5"
"Pharmacy","carbidopa-levodopa 25 mg-100 mg ER Tab","3.5"
"Pharmacy","carbidopa-levodopa 25 mg-100 mg ODT Tab","4.8"
"Pharmacy","carbidopa-levodopa 25 mg-250 mg","5.65"
"Pharmacy","carbidopa-levodopa 25 mg-250 mg ODT Tab","6.12"
"Pharmacy","carbidopa-levodopa 36.25 mg-145 mg Cap","12.25"
"Pharmacy","carbidopa-levodopa 48.75 mg-195 mg Cap","12.25"
"Pharmacy","carbidopa-levodopa 50 mg-200 mg ER Tab","6.1"
"Pharmacy","carbidopa-levodopa 61.25 mg-245 mg Cap","15.39"
"Pharmacy","cariprazine 1.5 mg Cap","152.83"
"Pharmacy","carisoprodol 250 mg Tab","11.57"
"Pharmacy","carisoprodol 350 mg Tab","3.5"
"Pharmacy","carteolol 1% Opht Soln (5mL Bulk)","14.9"
"Pharmacy","carveDILOL 10 mg Cap ER","36.13"
"Pharmacy","carveDILOL 12.5 mg Tab","7.47"
"Pharmacy","carveDILOL 20 mg Cap ER","36.13"
"Pharmacy","carveDILOL 25 mg Tab","3.5"
"Pharmacy","carveDILOL 3.125 mg Tab","7.47"
"Pharmacy","carveDILOL 40 mg Cap ER","36.13"
"Pharmacy","carveDILOL 6.25 mg Tab","7.47"
"Pharmacy","carveDILOL 80 mg Cap ER","36.13"
"Pharmacy","caspofungin 50 mg IV Inj","942.9"
"Pharmacy","caspofungin 70 mg IV Inj","1343.83"
"Pharmacy","cefaclor 250 mg Cap","6.96"
"Pharmacy","cefaclor 500 mg Cap","13.63"
"Pharmacy","cefadroxil 250 mg/5 mL Oral Liquid (Extemp)","3.5"
"Pharmacy","cefadroxil 500 mg Cap","12.6"
"Pharmacy","cefadroxil 500 mg/5 mL (5mL UD LIq)","3.5"
"Pharmacy","ceFAZolin 1 gm Pow inj (vial)","4.62"
"Pharmacy","ceFAZolin 1 gm Powder Injection (addv)","10.33"
"Pharmacy","ceFAZolin 1 gm/50 mL- D5% Solution IV (duplex)","25.7"
"Pharmacy","ceFAZolin 1 gm/50 mL Sol (frozen)","3.5"
"Pharmacy","ceFAZolin 10 g Pow inj (vial)","91.7"
"Pharmacy","ceFAZolin 2 g/100 mL-D5% Solution IV (frozen)","3.5"
"Pharmacy","ceFAZolin 2 gm/50mL - D5% Solution IV (duplex)","38.56"
"Pharmacy","ceFAZolin 500 mg Pow inj (vial)","34.07"
"Pharmacy","cefdinir 125 mg/5 mL Powder-Recon (Extemp)","3.5"
"Pharmacy","cefdinir 300 mg Cap","3.5"
"Pharmacy","cefepime 1 gm Pow inj","71.16"
"Pharmacy","cefepime 1 gm Pow inj (addv)","23.72"
"Pharmacy","cefepime 1 gm/50 mL - D5%  Solution IV (Duplex)","49.22"
"Pharmacy","cefepime 2 g/100 mL Solution IV (frozen)","3.5"
"Pharmacy","cefepime 2 gm Pow inj","141.25"
"Pharmacy","cefepime 2 gm Pow inj (addv)","39.02"
"Pharmacy","cefepime 2 gm/50 mL - D5% Solution IV (Duplex)","74.24"
"Pharmacy","cefixime 100 mg/5 mL Oral Liquid (Extemp)","15.59"
"Pharmacy","cefixime 400 mg Cap UD","96.87"
"Pharmacy","cefotaxime 1 gm Pow Inj (vial)","22.75"
"Pharmacy","cefotaxime 2 gm Powder Injection (Vial)","92.35"
"Pharmacy","cefOXitin 1 gm Pow inj (Vial)","26.81"
"Pharmacy","cefOXitin 1 gm/50 mL Solution IV (duplex)","45.89"
"Pharmacy","cefOXitin 2 gm Pow inj (vial)","53.55"
"Pharmacy","cefOXitin 2 gm/50 mL Solution IV (duplex)","84.24"
"Pharmacy","cefpodoxime 100 mg Tab","23.58"
"Pharmacy","cefpodoxime 200 mg Tab","29.6"
"Pharmacy","cefprozil 125 mg/5 mL (5mL UD Liq)","3.5"
"Pharmacy","cefprozil 250 mg Tab","15.33"
"Pharmacy","cefprozil 500 mg Tab","31.65"
"Pharmacy","ceftaroline 400 mg Pow inj","669.91"
"Pharmacy","ceftaroline 600 mg Pow inj","669.91"
"Pharmacy","cefTAZidime 1 g/50 mL Solution IV (Duplex)","43.85"
"Pharmacy","cefTAZidime 1 gm Pow inj (Addv)","22.51"
"Pharmacy","cefTAZidime 1 gm Pow inj (vial)","18.9"
"Pharmacy","cefTAZidime 1 gm/50 mL Sol (frozen)","3.5"
"Pharmacy","cefTAZidime 2 g/50 mL Solution IV (Duplex)","63.39"
"Pharmacy","cefTAZidime 2 gm Pow inj (addv)","45.74"
"Pharmacy","cefTAZidime 2 gm Pow inj (vial)","42"
"Pharmacy","cefTAZidime 500 mg Pow inj (vial)","27.72"
"Pharmacy","ceftolozane-tazobactam 1 g-0.5 g Pow inj","402.59"
"Pharmacy","cefTRIAXone 1 gm Pow inj (addv)","13.18"
"Pharmacy","cefTRIAXone 1 gm/50 mL Sol (frozen)","3.5"
"Pharmacy","cefTRIAXone 1 gm/50 mL Solution IV (Duplex)","48.72"
"Pharmacy","cefTRIAXone 2 gm Pow inj (addv)","30.16"
"Pharmacy","cefTRIAXone 2 gm Pow inj (vial)","11.97"
"Pharmacy","cefTRIAXone 2 gm/50 mL Sol (frozen)","5.8"
"Pharmacy","cefTRIAXone 2 gm/50 mL Solution IV (Duplex)","77.88"
"Pharmacy","cefTRIAXone 500 mg Pow Inj (vial)","26.25"
"Pharmacy","cefuroxime 1.5 gm Powder Injection (Vial)","47.04"
"Pharmacy","cefuroxime 250 mg Tab","15.39"
"Pharmacy","cefuroxime 500 mg Tab","28.05"
"Pharmacy","cefuroxime 750 mg Powder Injection (Vial)","12.85"
"Pharmacy","celecoxib 100 mg Cap","15.28"
"Pharmacy","celecoxib 200 mg Cap","26.53"
"Pharmacy","celecoxib 50 mg Cap","7.55"
"Pharmacy","cellulose 100% Powder (240gm Bulk)","3.5"
"Pharmacy","cephalexin 250 mg Cap","3.5"
"Pharmacy","cephalexin 250 mg/5 mL Oral Liquid (Extemp)","3.5"
"Pharmacy","cephalexin 500 mg Cap","3.5"
"Pharmacy","cetirizine 1 mg/mL Oral Syrup (Extemp)","3.5"
"Pharmacy","cetirizine 10 mg Tab","7.87"
"Pharmacy","cetirizine 5 mg Tab","8.73"
"Pharmacy","cetirizine-pseudoephedrine 5 mg-120 mg ER Tab 12 hr","3.5"
"Pharmacy","cevimeline 30 mg Cap","12.2"
"Pharmacy","charcoal 25 g Oral Suspension (120mL Bulk)","3.5"
"Pharmacy","charcoal 50 g Oral Suspension (240mL Bulk)","3.5"
"Pharmacy","charcoal-sorbitol 25 g Oral Susp (120mL UD Liq)","3.5"
"Pharmacy","charcoal-sorbitol 50 g  Oral Suspension (240mL Bulk)","3.5"
"Pharmacy","chloral hydrate 500 mg Cap","5.67"
"Pharmacy","chloral hydrate 500 mg/5 mL Oral Syrup (5mL UD)","3.5"
"Pharmacy","chlorambucil 2 mg Tab","102.18"
"Pharmacy","chlordiazePOXIDE 10 mg Cap","3.5"
"Pharmacy","chlordiazePOXIDE 25 mg Cap","3.5"
"Pharmacy","chlordiazePOXIDE 5 mg Cap","3.5"
"Pharmacy","chlordiazePOXIDE-clidinium 5 mg-2.5 mg Cap","18"
"Pharmacy","chlorhexidine  0.12% Oral Topical Liquid (118mL Bulk)","3.5"
"Pharmacy","chlorhexidine  0.12% Oral Topical Liquid (480mL Bulk)","3.5"
"Pharmacy","chlorhexidine 0.12% Oral Topical Soln (15mL UD)","3.5"
"Pharmacy","chlorhexidine 4% Topical Soap (120mL Bulk)","3.5"
"Pharmacy","chlorhexidine 4% Topical Soap (15mL Bulk)","3.5"
"Pharmacy","chlorhexidine 4% Topical Soap (237mL Bulk)","3.5"
"Pharmacy","chlorhexidine 4% Topical Soap (473mL Bulk)","3.5"
"Pharmacy","chlorophyllin 3 mg Tab","3.5"
"Pharmacy","chloroquine 250 mg Tab","16.26"
"Pharmacy","chlorothiazide 0.5 g Inj","436.63"
"Pharmacy","chlorothiazide 250 mg Tab","3.5"
"Pharmacy","chlorothiazide 500 mg Tab","4.34"
"Pharmacy","chlorpheniramine 4 mg Tab","3.5"
"Pharmacy","chlorpheniramine-dextromethorphan 2 mg-15 mg/5 mL Syrup","3.5"
"Pharmacy","chlorpheniramine-HYDROcodone 8 mg-10 mg Cap","132.42"
"Pharmacy","chlorpheniramine-HYDROcodone 8mg-10mg/5mL Oral Susp-ER (5mL UD Liq)","3.5"
"Pharmacy","chlorproMAZINE 10 mg Tab","23.2"
"Pharmacy","chlorproMAZINE 100 mg Tab","52.1"
"Pharmacy","chlorproMAZINE 200 mg Tab","79.95"
"Pharmacy","chlorproMAZINE 25 mg Tab","33.46"
"Pharmacy","chlorproMAZINE 25 mg/mL Inj Sol","93.97"
"Pharmacy","chlorproMAZINE 25 mg/mL Inj Sol (2mL)","53.84"
"Pharmacy","chlorproMAZINE 50 mg Tab","48.42"
"Pharmacy","chlorproPAMIDE 100 mg Tab","4.21"
"Pharmacy","chlorproPAMIDE 250 mg Tab","8.89"
"Pharmacy","chlorthalidone 25 mg Tab","8.03"
"Pharmacy","chlorthalidone 50 mg Tab","5.21"
"Pharmacy","chlorzoxazone 500 mg Tab","3.5"
"Pharmacy","cholecalciferol 1000 intl units Tab","3.5"
"Pharmacy","cholecalciferol 1000 intl units/10 mL Oral Liquid (10mL UD Liq)","3.5"
"Pharmacy","cholecalciferol 10000 intl units Cap","6.42"
"Pharmacy","cholecalciferol 2000 intl units Cap","3.5"
"Pharmacy","cholecalciferol 2000 intl units Tab","3.5"
"Pharmacy","cholecalciferol 400 intl units Cap","3.5"
"Pharmacy","cholecalciferol 400 intl units Tab","3.5"
"Pharmacy","cholecalciferol 400 intl units/mL Oral Liquid (Extemp)","3.5"
"Pharmacy","cholecalciferol 50,000 intl units Cap","3.5"
"Pharmacy","cholecalciferol 5000 intl units Cap","3.5"
"Pharmacy","cholecalciferol 5000 intl units Oral Liquid (1mL UD Liq)","3.5"
"Pharmacy","cholestyramine 4 g/5 g Oral Powder (1EA UD)","11.73"
"Pharmacy","cholestyramine 4 g/5.5g Oral Powder (1EA UD)","17.88"
"Pharmacy","cholestyramine 4 g/9 g Oral Powder (1EA UD)","11.79"
"Pharmacy","choline-magnesium salicylate 500 mg/5 mL Oral Liquid (5mL UD Liq)","3.5"
"Pharmacy","chondroitin-glucosamine 200 mg-250 mg Cap","3.5"
"Pharmacy","chondroitin-glucosamine 400 mg-500 mg oral capsule","3.5"
"Pharmacy","chondroitin-glucosamine 400 mg-500 mg Tab","3.5"
"Pharmacy","chromium picolinate 200 mcg Cap","3.5"
"Pharmacy","chromium picolinate 200 mcg Tab","3.5"
"Pharmacy","ciclopirox 0.77% Topical Cream (15gm Bulk)","7.37"
"Pharmacy","ciclopirox 8% Topical Solution (6.6mL Bulk)","89.39"
"Pharmacy","cilostazol 100 mg Tab","6.39"
"Pharmacy","cilostazol 50 mg Tab","6.39"
"Pharmacy","cimetidine 400 mg Tab","9.14"
"Pharmacy","cinacalcet 30 mg Tab","112.94"
"Pharmacy","cinacalcet 60 mg Tab","225.88"
"Pharmacy","cinacalcet 90 mg Tab","338.81"
"Pharmacy","cinnamon 500mg cap","3.5"
"Pharmacy","ciprofloxacin 0.3% Opht Oint (3.5gm Bulk)","257.23"
"Pharmacy","ciprofloxacin 0.3% Opht Soln (10mL Bulk)","33.05"
"Pharmacy","ciprofloxacin 0.3% Opht Soln (2.5mL Bulk)","35.04"
"Pharmacy","ciprofloxacin 0.3% Opht Soln (5mL Bulk)","33.12"
"Pharmacy","ciprofloxacin 200 mg/100 mL IV Sol","3.5"
"Pharmacy","ciprofloxacin 250 mg Tab","19.11"
"Pharmacy","ciprofloxacin 400mg/200mL IV Sol","3.5"
"Pharmacy","ciprofloxacin 500 mg Tab","3.5"
"Pharmacy","ciprofloxacin 500 mg/5 mL Oral Powder","6.09"
"Pharmacy","ciprofloxacin 750 mg Tab","26.81"
"Pharmacy","ciprofloxacin otic 0.2%  Otic Sol (1 EA)","29.79"
"Pharmacy","ciprofloxacin-dexamethasone 0.3%-0.1% Otic Susp (7.5mL Bulk)","122.42"
"Pharmacy","ciprofloxacin-hydrocortisone 0.2%-1% Otic Susp (10mL Bulk)","125.16"
"Pharmacy","citalopram 10 mg Tab","8.49"
"Pharmacy","citalopram 10 mg/5 mL Oral Solution ( 5mL UD Liq)","3.5"
"Pharmacy","citalopram 20 mg Tab","9.43"
"Pharmacy","citalopram 40 mg Tab","12.22"
"Pharmacy","citicoline 1000 mg Tab","9.33"
"Pharmacy","citric acid/gluconodelta-lactone/Mg carbonate - Solution IRR (30mL)","3.5"
"Pharmacy","citric acid/Mg oxide/Na picosulfate 12 g-3.5 g-10 mg Pow","270.62"
"Pharmacy","citric acid-potassium bicarbonate 10 mEq Tab-eff","3.5"
"Pharmacy","citric acid-potassium bicarbonate 20 mEq Tab-eff","3.5"
"Pharmacy","citric acid-potassium citrate 30 mEq/1packet Oral Powder  (1EA UD)","5.8"
"Pharmacy","citric acid-potassium citrate 334 mg-1100 mg/5 mL Oral Liquid (5mL UD Liq)","3.5"
"Pharmacy","citric acid-sodium citrate 1002mg-1500mg/15mL Oral Soln (15mL UD)","3.5"
"Pharmacy","citric acid-sodium citrate 2004mg-3000mg/30mL Oral Soln (30mL UD Liq)","7.6"
"Pharmacy","citric acid-sodium citrate 3840mg-2940mg/30mL Oral Sol (30mL UD Liq)","3.5"
"Pharmacy","clarithromycin 250 mg Tab","21.05"
"Pharmacy","clarithromycin 250 mg/5 mL Oral Liquid (Extemp)","6.32"
"Pharmacy","clarithromycin 500 mg Tab","21.05"
"Pharmacy","clemastine 2.68 mg Tab","8.3"
"Pharmacy","clindamycin  2% Vaginal Cream (40gm Bulk)","11.4"
"Pharmacy","clindamycin 1% Topical Soln (30mL Bulk)","3.5"
"Pharmacy","clindamycin 150 mg Cap","3.5"
"Pharmacy","clindamycin 150 mg/mL Sol IV (2 mL vial)","6.24"
"Pharmacy","clindamycin 150 mg/mL Sol IV (4 mL addv)","6.09"
"Pharmacy","clindamycin 150 mg/mL Sol IV (4 mL vial)","3.69"
"Pharmacy","clindamycin 150 mg/mL Sol IV (6 mL addv)","3.5"
"Pharmacy","clindamycin 150 mg/mL Sol IV (6 mL SDV)","3.5"
"Pharmacy","clindamycin 300 mg Cap","4.54"
"Pharmacy","clindamycin 300 mg/50 mL-D5W IV Sol (premix)","3.5"
"Pharmacy","clindamycin 600 mg/50 mL 0.9% NS IV Sol (premix)","3.5"
"Pharmacy","clindamycin 600 mg/50 mL-D5W IV Sol (premix)","3.5"
