"Charge name","Charge procedure master #","Revenue ID","Associated Cost Centers & NAME","HOSPITAL BILLING DEFAULT TECH FEE SCHEDULE","Fee Schedule Year"
"HC PT CAR/MOV/HAND PROJ <40%","H4200067","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND PROJ <60%","H4200068","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND PROJ <80%","H4200069","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND PROJ <100%","H4200070","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND PROJ 100%","H4200071","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH 0%","H4200072","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH <20%","H4200073","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH <40%","H4200074","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH <60%","H4200075","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH <80%","H4200076","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH <100%","H4200077","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT CAR/MOV/HAND OB DISCH 100%","H4200078","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR 0%","H4200079","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR <20%","H4200080","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR <40%","H4200081","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR <60%","H4200082","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR <80%","H4200083","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR <100%","H4200084","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN CURR 100%","H4200085","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ 0%","H4200086","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ <20%","H4200087","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ <40%","H4200088","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ <60%","H4200089","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ <80%","H4200090","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ <100%","H4200091","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN PROJ 100%","H4200092","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH 0%","H4200093","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY                                          55 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH <20%","H4200094","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH <40%","H4200095","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH <60%","H4200096","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH <80%","H4200097","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH <100%","H4200098","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT SELF CARE LMTN DISCH 100%","H4200099","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR 0%","H4200100","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR <20%","H4200101","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR <40%","H4200102","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR <60%","H4200103","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR <80%","H4200104","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR <100%","H4200105","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN CURR 100%","H4200106","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ 0%","H4200107","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ <20%","H4200108","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ <40%","H4200109","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ <60%","H4200110","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ <80%","H4200111","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ <100%","H4200112","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN PROJ 100%","H4200113","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH 0%","H4200114","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH <20%","H4200115","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH <40%","H4200116","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH <60%","H4200117","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH <80%","H4200118","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH <100%","H4200119","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER PRIM LMTN DISCH 100%","H4200120","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER SUBS LMTN CURR 0%","H4200121","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER SUBS LMTN CURR <20%","H4200122","0420","20 PHYSICAL THERAPY O/P 20 PHYSICAL THERAPY I/P 20 OUTPATIENT REHAB CORK ST 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY O/P 25 PHYSICAL THERAPY I/P 30 PHYSICAL THERAPY I/P 30 STRASBURG PHYSICAL THERAPY 30 MT JACKSON PHYSICAL THERAPY 45 PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 80 PHYSICAL THERAPY OP 80 REHAB PHYSICAL THERAPY 25 S.N.F.-PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER SUBS LMTN CURR <40%","H4200123","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER SUBS LMTN CURR <60%","H4200124","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
"HC PT OTHER SUBS LMTN CURR <80%","H4200125","0420","20 PHYSICAL THERAPY I/P 20 REHAB PHYSICAL THERAPY 25 PHYSICAL THERAPY I/P 25 S.N.F.-PHYSICAL THERAPY 30 PHYSICAL THERAPY I/P 80 REHAB PHYSICAL THERAPY 55 PHYSICAL THERAPY I/P 45 PHYSICAL THERAPY","$0.01","2018"
