"PROC #","Procedure Description","IP Price","OP Price"
527,PCM SYS MEDTR ADAPTA DR,"16,575","16,575",
528,PCM SYS SJ ENDURITY DR,"10,530","10,530",
529,PEG 20FR,"1,512","1,512",
530,PF FO DYNAMIC,182,182,
531,PF HFO STATIC W/EXPERTISE,175,175,
532,PF WHFO STATIC OTS,625,625,
533,PF WRIST COCK UP,109,109,
534,PH FLUID,38,22,
535,PHENOBARBITAL,151,86,
536,PHENYTOIN,161,92,
537,PHOSPHORUS,59,34,
538,PLACE CV CATH PERC AGE 5+,"1,947","1,947",
539,PLATELET COUNT AUTO,107,61,
540,PLATELET NEUTRALIZATION,247,141,
541,PLETH LUNG VOLUME AND AWR,552,552,
542,PNEUMOCOCCAL VACCINE ADMIN FEE,78,78,
543,PORT ISP MRI IMPLANT  8FR,"3,662","3,662",
544,POTASSIUM,69,39,
545,POTASSIUM URINE,55,31,
546,POUCH ETHICON 225,406,406,
547,PRE ALBUMIN,178,102,
548,PRO INSULIN,241,138,
549,PROCALCITONIN,325,186,
550,PROLACTIN,236,135,
551,PROSTATE SPECIFIC AG TOTAL,223,128,
552,PROTEIN C ACTIVITY,641,366,
553,PROTEIN C ANTIGEN,682,390,
554,PROTEIN ELECT UR W/O INTERP,216,124,
555,PROTEIN ELECT W/O INTERPRET,132,75,
556,PROTEIN S AG FREE,297,170,
557,PROTEIN S AG TOTAL,352,201,
558,PROTEIN TOTAL OTHER SOURCE,73,42,
559,PROTEIN TOTAL SERUM,52,30,
560,PROTEIN TOTAL URINE,173,99,
561,PT,51,29,
562,PT AQUATIC THERAPY/EXER 15 MIN,205,117,
563,PT CANALITH REPOSITIONING PER DAY,303,303,
564,PT E-STIM UNATTENDED,105,60,
565,PT EVAL COMPLEX,428,245,
566,PT EVAL LOW,385,220,
567,PT EVAL MODERATE,385,220,
568,PT EXERCISE THERAPEUTIC 15 MIN,220,126,
569,PT GAIT TRAINING 15 MIN,136,78,
570,PT IONTOPHORESIS 15 MIN,189,108,
571,PT NEUROMUSCULAR RE-ED 15 MIN,198,113,
572,PT RE-EVAL,262,150,
573,PT TRACTION MECHANICAL,100,57,
574,PT ULTRASOUND 15 MIN,122,70,
575,PTT,74,42,
576,PULM REHAB EXER/MONIT PER SESS,146,146,
577,PULMONARY STRESS TEST SIMPLE,305,305,
578,QUICK CLOT 4 X 4 XRAY,135,135,
579,R&B - ICU,"4,119","4,119",
580,R&B - Intermediate ICU,"2,288","2,288",
581,R&B - Med/Surg,"1,605","1,605",
582,RAPID PLASMA REAGIN,63,36,
583,RAPID PLASMA REAGIN TITER,61,61,
584,RBC ANTIGENS NOT ABO/RH EAC,913,522,
585,RBC PRETREATMENT AB ID,561,321,
586,REMOTE 30 DAY ECG TECH SUPP_ACT,"1,328","1,328",
587,REMOTE 30 DAY EVENT RECORDER,254,254,
588,REMOVE CERUMEN VIA IRRIGATION,169,169,
589,REMOVE SKIN TAG <15,176,176,
590,RENAL FUNCTION PANEL,106,61,
591,RENIN,267,153,
592,REPAIR CATH CV W/O PORT/PUMP,562,562,
593,RESERVOIR HEMOVAC 70,234,234,
594,RESERVOIR/DRAIN WOUND 20,82,82,
595,RESP FCN THERAPY/15 MIN,141,141,
596,RESP FCN/STRENGH GROUP,125,125,
597,RESP MS THERAPY/15 MIN,229,229,
598,RETICULOCYTE COUNT AUTOM,123,70,
599,RETRACTOR ENDOSCOPIC,"1,529","1,529",
600,RETRACTOR/PROTCTR WND ALEXIS,203,203,
601,RETRACTOR/PROTCTR WND LRG ALEXIS,312,312,
602,RHEUMATOID FACTOR QUANT,86,49,
603,ROTAVIRUS ANTIGEN EIA,146,84,
604,RSV AG DIRECT OPTICAL,146,84,
605,RUSSELL VIPER VENOM TIME DILUT,319,182,
606,RUSSELL VIPER VENOM UNDILUTED,130,74,
607,SCD KNEE MED KENDALL,131,131,
608,SEDIMENTATION RATE WESTERGR,74,42,
609,SET 11397 SECONDARY PB VENTED,8,8,
610,SET 11664 BLOOD PUMP Y TYPE,76,76,
611,SET DIAL-A-FLO EXT CLAVE,29,29,
612,SET MICROBORE FILTER,23,23,
613,SET PCA PUMP ALARIS,21,21,
614,SET PRIMARY 1Y CLAVE,17,17,
615,SET PRIMARY 3Y CLAVE,30,30,
616,SET PRIMARY IV PLUMSET,42,42,
617,SET PRIMARY PLUM CLAVE,42,42,
618,SET PRIMARY W/CHECK VALVE,19,19,
619,SHEARS COAGULATING 850,"1,836","1,836",
620,SHEARS CURVD ACE HARMONIC 36CM,"1,198","1,198",
621,SHEARS CURVD ACE HARMONIC 5MM,"3,824","3,824",
622,SHEARS CURVD COAGULATNG HARMONIC,"1,557","1,557",
623,SICKLING OF RBC REDUCTION,95,54,
624,SIGMOIDOSCOPY,"1,487","1,487",
625,SIGMOIDOSCOPY W/BIOPSY,"1,904","1,904",
626,SIGMOIDOSCOPY W/DECOMPRESSION,"3,064","3,064",
627,SIGMOIDOSCOPY W/REMOVE BYSNARE,"2,317","2,317",
628,SLEEVE SCD 200,453,453,
629,SLEEVE SCD KNEE ALL SIZES,89,89,
630,SLEEVE SCD SMALL KAMBIA,291,291,
631,SMEAR AFB/FLUORO STAIN,89,51,
632,SMEAR PRIMARY SOURCE,66,38,
633,SMOKING CESSATION COUNSEL 3-10,69,69,
634,SODIUM,66,38,
635,SODIUM URINE,61,35,
636,SPECIAL STAIN GROUP 1,424,242,
637,SPECIAL STAIN GROUP 2,554,317,
638,SPECIAL STAIN IMMUNOPEROX,"1,853","1,059",
639,SPECIFIC GRAVITY FLUID,36,21,
640,SPECIMEN COLLECTION CATH,47,47,
641,SPECIMEN RETRIEVAL SYSTEM,276,276,
642,SPECTROPHOTOMETRY ANAL NOS,272,156,
643,SPIROME PFT PRE AND POST BRON,628,628,
644,SPIROMETRY/PFT BASIC,414,414,
645,SPLINT ANKLE STIRRUP,106,106,
646,SPLINT PLASTER ARM LONG,115,115,
647,SPLINT PLASTER LEG LONG,213,213,
648,SPLINT PLASTER LEG SHORT,96,96,
649,SPLINT WRIST THUMB OTS,166,166,
650,ST EVAL APHASIA PER HOUR,318,318,
651,ST MOD BARIUM SWALLOW 31-60MIN,256,147,
652,ST SWALLOW EVAL 31-60 MIN,407,233,
653,ST SWALLOW TREATMENT 31-60 MIN,409,234,
654,ST TREATMENT 31-60 MIN,377,215,
655,STAPH AUREUS METHICILLIN RESIST,398,228,
656,STAPLE RELOAD 175,424,424,
657,STAPLE RELOAD 275,842,842,
658,STAPLE RELOAD 300,842,842,
659,STAPLER 40,834,834,
660,STAPLER 600,"1,393","1,393",
661,STAPLER 800,"2,362","2,362",
662,STAPLER ENDOSCOPIC CURVD,"1,266","1,266",
663,STAPLER HEMORRHOID 33MM,"2,533","2,533",
664,STAPLER LINEAR CUTTER 75MM,923,923,
665,STAPLER RELOAD 55MM ETHICON,475,475,
666,STENT BILIARY VIABIL,"9,065","9,065",
667,STREP GRP A SCREEN IMMUNOAS,165,94,
668,STREPTOLYSIN-O ANTIBODY,217,124,
669,STRESS TEST CARDIOVASCULAR,"1,020","1,020",
670,SUCTION TUBING 60,167,167,
671,SUPPLIES CENTRAL LINE,316,316,
672,SUPPLIES EMERGENT INTUBATION,440,440,
673,SUPPLIES GENERAL ETT/OPEN HRT,283,283,
674,SUPPLIES GENERAL W/LMA,126,126,
675,SUPPLIES MAC/TIVA W/REG/SPINAL/EPIDRL,191,191,
676,SUPPLIES PICC JACC/MAXBARRIER,773,773,
677,SUPPLIES PICC MIDLINE,411,411,
678,SUPPLIES TIVA,107,107,
679,SUPPORT ANKLE LACE UP OTS,91,91,
680,SURG PATH DECALCIFICATION,83,47,
681,SURG PATH LEVEL 1 GROSS ONL,272,155,
682,SURG PATH LEVEL 2 GR/MICRO,420,240,
683,SURG PATH LEVEL 3 GR/MICRO,520,297,
684,SURG PATH LEVEL 4 GR/MICRO,650,372,
685,SURG PATH LEVEL 5 GR/MICRO,"1,853","1,059",
686,SURG PATH LEVEL 6 GR/MICRO,"3,895","2,226",
687,SUSEPTIBILITY STUDIES,62,35,
688,SUSPENSORIES SUPPORT 30,72,72,
689,SUTURE,192,192,
690,SUTURE 125,327,327,
691,SUTURE 25,103,103,
692,SUTURE 30,102,102,
693,SUTURE ENDOSTITCH,373,373,
694,SUTURE PASSER 225,532,532,
695,SUTURE PROLENE,182,182,
696,SYSTEM AIR TAP,"1,075","1,075",
697,SYSTEM BOWEL MANAGEMENT,869,869,
698,SYSTEM TACKER 1000,"1,372","1,372",
699,T CELLS ABS CD4 AND CD8 WRATIO,568,325,
700,T3 FREE,214,122,
701,T3 UPTAKE,80,46,
702,TACROLIMUS,571,326,
703,TB TEST ALL MEDIATED IMMUN,748,428,
704,TEMP EXTERNAL PACING,"1,169","1,169",
705,THEOPHYLLINE,173,99,
706,THIAMINE VITAMIN B1,258,147,
707,THORACENTESIS W IMAGING GUIDANCE,"1,115","1,115",
708,THORACENTESIS WO IMAGING GUIDANCE,835,835,
709,THYROID MICROSOMAL ANTIBODIES,187,107,
710,THYROID STIMULATING HORMONE,204,117,
711,THYROXINE,88,50,
712,THYROXINE FREE,128,73,
713,TIP INSERTER,759,759,
714,TOPIRAMATE,146,83,
715,TOURNIQUET CUFF SGL 30-44 INCH,175,175,
716,TOURNIQUET CUFF SGL STRYKER,133,133,
717,TRANSFERRIN,156,89,
718,TRANSFUSE BLOOD/COMPONENT 4 HR,"1,939","1,108",
719,TRAP POLYP 40,130,130,
720,TRAY CATH CV PED ALL SIZES ARROW,369,369,
721,TRAY CATH FOLEY SILVER,145,145,
722,TRAY CENT LINE 3L 7FRX15CM,671,671,
723,TRAY CHEST TUBE PLACEMENT,387,387,
724,TRAY COUDE  ALL SIZES,284,284,
725,TRAY FOLEY URINEMETER SURESTEP,145,145,
726,TRAY FOLEY W/STATLOCK SURESTEP,111,111,
727,TRAY LUMBAR PUNCTURE INFANT,103,103,
728,TRAY LUMBAR PUNCTURE PED,113,113,
729,TRAY PARACENTESIS,465,465,
730,TRAY PICC INSERTION SL,"1,322","1,322",
731,TRAY THORA PARA,217,217,
732,TRAY THORA/PARACENTESIS,250,250,
733,TRAY THORACENTESIS,178,178,
734,TREPONEMA PALLIDUM AB,161,92,
735,TRIGLYCERIDE,98,56,
736,TRIIODOTHYRONINE (T-3) TOTA,173,99,
737,TROCAR 225,"1,088","1,088",
738,TROCAR 90,203,203,
739,TROCAR BALLOON GELPORT,211,211,
740,TROCAR BLADED 11/12MM APPLIED,153,153,
741,TROCAR BLADED 5MM APPLIED MED,138,138,
742,TROCAR BLLN AND INFLATION 532,"1,301","1,301",
743,TROCAR CHEST TUBE,112,112,
744,TROCAR NONBLADED 5MM APPLIED,138,138,
745,TROCAR NONBLADED APPLIED MED,217,217,
746,TROCAR OPTICAL 5X55 LO PROFILE,153,153,
747,TROPONIN I,120,69,
748,TUBE FEEDING JEJUNAL 250,599,599,
749,TUBING INSUFFLATOR 70,286,286,
750,TUBING VACUUM 40,87,87,
751,UA AUTO W/MICRO,68,39,
752,UPR/LXTR ART STDY 3+ LVLS,556,556,
753,UREA NITROGEN ISTAT,49,28,
754,UREA NITROGEN URINE,65,37,
755,URIC ACID BLOOD,297,170,
756,URINALYSIS WITHOUT MICROSCO,50,29,
757,URINE CULT BACT COLONY CNT,99,57,
758,URINE CULT W/PRESUMPT IDISOL,99,57,
759,URINE PREGNANCY TEST,128,73,
760,URINEMETER W/CATH FOLEY SILVER,143,143,
761,US ABDOMEN,"1,779","1,017",
762,US ABDOMEN LIMITED,"1,346",769,
763,US AORTA DIAGNOSTIC,"1,346",769,
764,US AORTA SCREENING,988,565,
765,US BIOPHYS PROF W/O,"1,346",769,
766,US CHEST,"1,057",604,
767,US DUPLEX ABD/PEL/RETRO LIM,692,692,
768,US EXTREMITY NONVASC COMP RT,"1,347",770,
769,US EXTREMITY NONVASC LIMIT LT,808,462,
770,US GUIDANCE NEEDLE PLACEMEN,"2,455","1,403",
771,US GUIDANCE VASCULAR ACCESS,229,131,
772,US LIMITED ECHO,808,808,
773,US PELVIS NON OB,"1,497",855,
774,US PELVIS NON OB LIMITED,982,561,
775,US PREG COMP SIZE/DATE,"1,711",978,
776,US PREG COMP SIZE/DATE EA A,"1,540",880,
777,US PREGNANCY DIAGNOSIS TA,"1,346",769,
778,US PREGNANCY FOLLOW UP,808,462,
779,US PREGNANCY LIMITED,"1,346",769,
780,US PREGNANCY TRANSVAGINAL,"1,346",769,
781,US RENAL COMPLETE,"1,481",846,
782,US SCROTUM,"1,496",855,
783,US SOFT TISSUE HEAD/NECK,"1,439",822,
784,US TRANSVAGINAL,"1,346",769,
785,VALPROIC ACID,165,94,
786,VANCOMYCIN TROUGH,165,94,
787,VARICELLA ZOSTER AB IGM,301,172,
788,VENIPUNCTURE,41,24,
789,VENTILATOR INITIAL DAILY,"1,832","1,832",
790,VENTILATOR SUBSEQUENT DAILY,"1,582","1,582",
791,VEST CHEST WALL OSCILLATE,375,375,
792,VIRUS ISOLATIOIN BY NONIMMUNO,573,328,
793,VISIT OP ESTAB LEVEL 1,78,78,
794,VISIT OP NEW LEVEL 3 L AND D,295,295,
795,VITAMIN B12,183,105,
796,VITAMIN B6,410,234,
797,VITAMIN D1-25 DIHYDROXY,486,278,
798,VITAMIN D3 25-OH HYDROXY,364,208,
799,VITAMIN E,173,99,
800,WAND COBLATOR W/CORD,"1,410","1,410",
801,WET PREP YEAS TRIC CLUE CEL,174,99,
802,WIRE LEAD DISPOSABLE,68,68,
803,XR ABDOMEN AP ONLY (KUB),170,97,
804,XR ABDOMEN AP/DECUB OR ERECT,223,128,
805,XR ABDOMEN AP/DECUB/ERECT/C,505,289,
806,XR AC JOINTS BILAT,328,187,
807,XR ANKLE 2 VIEWS LT,361,206,
808,XR ANKLE COMPLETE 3+ VIEWS LT,385,220,
809,XR BONE AGE STUDIES,505,289,
810,XR BONE DENSITY STUDY AXIAL,638,365,
811,XR BONE LENGTH STUDIES,555,317,
812,XR BONE SURVEY COMPLETE,"1,110",634,
813,XR CALCANEUS 2+ VIEWS RT,305,175,
814,XR CHEST 1 VIEW,160,92,
815,XR CHEST 2 VIEWS,293,168,
816,XR CHEST 2 VIEWS W/APICAL L,574,328,
817,XR CHOLANGIOGRAM INTRAOP,436,249,
818,XR CLAVICLE COMPLETE LT,459,263,
819,XR COLON BARIUM ENEMA,"1,454",831,
820,XR COLON BARIUM ENEMA W/AIR,"2,056","1,175",
821,XR C-SPINE 2 OR 3 VIEWS,883,505,
822,XR C-SPINE 4 OR 5 VIEWS,972,555,
823,XR C-SPINE 6+ VIEWS,"1,694",968,
824,XR ELBOW 2 VIEWS LT,305,175,
825,XR ELBOW COMPLETE 3+ VIEWS RT,338,193,
826,XR ERCP OR,"1,247",713,
827,XR ESOPHAGUS,551,315,
828,XR FACIAL BONES COMPLETE 3+,706,403,
829,XR FEMUR 1 VW RT,305,175,
830,XR FEMUR 2 VW RT,366,209,
831,XR FINGER LEFT HAND THUMB,403,231,
832,XR FLUORO < 1 HR,961,549,
833,XR FOOT 2 VIEWS RT,305,175,
834,XR FOOT COMPLETE 3+ VIEWS LT,346,198,
835,XR FOREARM 2 VIEWS RT,481,275,
836,XR HAND COMPLETE 3+ VIEWS RT,555,317,
837,XR HAND LIMITED 2 VIEWS RT,505,289,
838,XR HIP BILAT [& PELVIS IF PERFORMED] 2 VW,555,317,
839,XR HIP BILAT [& PELVIS IF PERFORMED] 3 OR 4 VW,801,458,
840,XR HIP BILAT [& PELVIS IF PERFORMED] 5+ VW,961,549,
841,XR HIP UNI [& PELVIS IF PERFORMED] 1 VW RT,305,175,
842,XR HIP UNI [& PELVIS IF PERFORMED] 2 OR 3 VW RT,409,234,
843,XR HIP UNI [& PELVIS IF PERFORMED] 4+ VW LT,505,289,
844,XR HUMERUS 2+ VIEWS LT,305,175,
845,XR INJECT CONTRAST EVAL TUBE,273,273,
846,XR KNEE <3 VIEWS RT,305,175,
847,XR KNEE 3 VIEWS LT,353,202,
848,XR KNEE AP STANDING BILAT,428,245,
849,XR KNEE COMPLETE 4+ VIEWS LT,505,289,
850,XR L SPINE FLEX/EXT ONLY,693,396,
851,XR L-SPINE 2 OR 3 VIEWS,883,505,
852,XR L-SPINE AP/LAT/ FLEX/EXT,972,555,
853,XR L-SPINE COMPLETE W/BENDI,"1,212",693,
854,XR MANDIBLE < 4 VIEWS,544,311,
855,XR MANDIBLE COMPLETE 4+ VIE,883,505,
856,XR NASAL BONES COMPLETE 3+,594,339,
857,XR NECK SOFT TISSUE,305,175,
858,XR NOSE TO RECTUM FB 1VW CH,961,549,
859,XR PELVIS 1 OR 2 VIEWS,505,289,
860,XR PELVIS COMPLETE 3+ VIEWS,590,337,
861,XR RIBS BILAT W/CHEST 4+ VI,"1,902","1,087",
862,XR RIBS UNILAT 2 VIEWS RT,534,305,
863,XR RIBS UNILAT W/CHEST 3+ V RT,883,505,
864,XR SACRUM/COCCYX 2+ VIEWS,620,354,
865,XR SC JOINTS 3+ VIEWS,"1,157",661,
866,XR SCAPULA COMPLETE LT,502,287,
867,XR SHOULDER 1 VIEW RT,305,175,
868,XR SHOULDER COMPL 2+ VIEWS RT,326,186,
869,XR SI JOINTS 3+ VIEWS,615,351,
870,XR SINUSES COMPLETE 3+ VIEW,735,420,
871,XR SKULL < 4 VIEWS,505,289,
872,XR SKULL COMPLETE 4+ VIEWS,554,317,
873,XR SM BOWEL,"1,031",589,
874,XR SPINE ENTIRE T-L 1 VW,534,305,
875,XR SPINE ENTIRE T-L 2 OR 3 VW,883,505,
876,XR SPINE ENTIRE T-L 4 OR 5 VW,"1,682",961,
877,XR SPINE ENTIRE T-L 6+ VW,"1,850","1,057",
878,XR STERNUM 2+ VIEWS,601,344,
879,XR SWALLOWING FUNCTION,537,307,
880,XR TEMPOROMANDIBULAR JOINT BIL,521,298,
881,XR TIBIA/FIBULA 2 VIEWS LT,305,175,
882,XR T-L SPINE JUNCTION 2 VIEWS,534,305,
883,XR TOE LEFT FOOT GREAT,345,197,
884,XR T-SPINE 2 VIEWS,883,505,
885,XR T-SPINE 3 VIEWS,972,555,
886,XR T-SPINE 4+ VIEWS,"1,209",691,
887,XR UGI W/AIR CONTRAST W/KUB,851,486,
888,XR UGI W/AIR CONTRAST W/O K,"1,218",717,
889,XR UGI W/AIR CONTRAST W/SM,"1,734",991,
890,XR UGI W/KUB,775,443,
891,XR UGI W/SM BOWEL,"1,078",616,
892,XR WRIST 2 VIEWS LT,380,217,
893,XR WRIST COMPLETE 3+ VIEWS LT,418,239,
894,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,3,3,*
895,ACETAMINOPHEN 325 MG TABLET,0,0,*
896,ACETAMINOPHEN 500 MG TABLET,0,0,*
897,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,3,3,*
898,ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,3,3,*
899,ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,3,3,*
900,ACETAZOLAMIDE 250 MG TABLET,4,4,*
901,ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,266,266,*
902,CEFEPIME 2 G/50 ML NS (LOADABLE MIXTURE),167,167,*
903,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,95,95,*
904,ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,5,5,*
905,ALBUTEROL SULFATE 2 MG/5 ML SYRUP,1,1,*
906,ALBUTEROL SULFATE 2 MG TABLET,6,6,*
907,MIDAZOLAM (VERSED)50 MG IN NS 50 ML IV SOLN,291,291,*
908,ALLOPURINOL 100 MG TABLET,5,5,*
909,ALLOPURINOL 300 MG TABLET,7,7,*
910,ALPRAZOLAM 0.25 MG TABLET,5,5,*
911,ALPRAZOLAM 0.5 MG TABLET,5,5,*
912,ISOSULFAN BLUE 1 % SUBCUTANEOUS SOLUTION,"1,997.5","1,997.5",*
913,AMANTADINE HCL 100 MG CAPSULE,3,3,*
914,AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION,1,1,*
915,AMITRIPTYLINE 10 MG TABLET,3,3,*
916,AMITRIPTYLINE 25 MG TABLET,3,3,*
917,CEFAZOLIN 1 G/50 ML D5W (LOADABLE MIXTURE),63,63,*
918,AMOXICILLIN 250 MG CAPSULE,3,3,*
919,AMOXICILLIN 500 MG CAPSULE,3,3,*
920,AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,29,29,*
921,AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,38,38,*
922,AMPICILLIN 250 MG SOLUTION FOR INJECTION,14,14,*
923,AMPICILLIN 500 MG SOLUTION FOR INJECTION,12,12,*
924,ASCORBIC ACID (VITAMIN C) 500 MG TABLET,3,3,*
925,ASPIRIN 81 MG CHEWABLE TABLET,0,0,*
926,ASPIRIN 300 MG RECTAL SUPPOSITORY,3,3,*
927,ATENOLOL 25 MG TABLET,3,3,*
928,ATENOLOL 50 MG TABLET,3,3,*
929,ATROPINE 0.1 MG/ML INJECTION SYRINGE,117,117,*
930,ATROPINE 0.4 MG/ML INJECTION SOLUTION,48,48,*
931,ATROPINE 1 MG/ML INJECTION SOLUTION,73,73,*
932,"DIPH,PERTUS(ACEL),TET PED(PF) 25 LF UNIT-58 MCG-10 LF/0.5ML IM SYRINGE",297,297,*
933,C1 ESTERASE INHIBITOR 500 UNIT (10 ML) INTRAVENOUS KIT,"11,725","11,725",*
934,MELATONIN 3 MG TABLET,5,5,*
935,BACITRACIN 500 UNIT/GRAM EYE OINTMENT,681,681,*
936,BACLOFEN 10 MG TABLET,3,3,*
937,"WATER FOR INJECTION, BACTERIOSTATIC INJECTION SOLUTION",14,14,*
938,BENZONATATE 100 MG CAPSULE,3,3,*
939,BETHANECHOL CHLORIDE 25 MG TABLET,3,3,*
940,BISACODYL 10 MG RECTAL SUPPOSITORY,3,3,*
941,CARILION CLINIC OPIOID PAIN GUIDELINES LINK,0,0,*
942,CALAMINE 8 %-ZINC OXIDE 8 % LOTION,3,3,*
943,"CALCIUM CARBONATE 500 MG CALCIUM (1,250 MG) TABLET",3,3,*
944,"CALCIUM CARBONATE 600 MG CALCIUM (1,500 MG) TABLET",3,3,*
945,CALCIUM CHLORIDE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,61,61,*
946,CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,66,66,*
947,CAPSAICIN 0.025 % TOPICAL CREAM,6,6,*
948,CARBAMAZEPINE 100 MG CHEWABLE TABLET,3,3,*
949,CARBAMAZEPINE 200 MG/10 ML ORAL SUSPENSION,4,4,*
950,CARBAMAZEPINE 200 MG TABLET,3,3,*
951,CARBAMIDE PEROXIDE 6.5 % EAR DROPS,3,3,*
952,CARISOPRODOL 350 MG TABLET,3,3,*
953,CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,21,21,*
954,FLUTICASONE 200 MCG-VILANTEROL 25 MCG/DOSE POWDER FOR INHALATION,221,221,*
955,CHLORDIAZEPOXIDE 25 MG CAPSULE,3,3,*
956,CHLORDIAZEPOXIDE 5 MG CAPSULE,3,3,*
957,CHLORPROMAZINE 25 MG/ML INJECTION SOLUTION,170,170,*
958,LIDOCAINE IN 5 % DEXTROSE (PF) 4 MG/ML (0.4 %) IV BOLUS,0,0,*
959,CHLORPROMAZINE 25 MG TABLET,5,5,*
960,CEFTAROLINE FOSAMIL 600 MG INTRAVENOUS SOLUTION,898,898,*
961,FLUTICASONE FUROATE 100 MCG/ACTUATION BLISTER POWDER FOR INHALATION,117,117,*
962,CLINDAMYCIN HCL 150 MG CAPSULE,3,3,*
963,CLONIDINE HCL 0.1 MG TABLET,3,3,*
964,CLONIDINE HCL 0.2 MG TABLET,3,3,*
965,CLONIDINE HCL 0.3 MG TABLET,3,3,*
966,CLOPIDOGREL 300 MG TABLET,25,25,*
967,CLOTRIMAZOLE 1 % TOPICAL CREAM,3,3,*
968,BALANCED B-100 TABLET,3,3,*
969,"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION",22,22,*
970,CYCLOBENZAPRINE 10 MG TABLET,3,3,*
971,CYCLOPENTOLATE 1 % EYE DROPS,65,65,*
972,CYPROHEPTADINE 4 MG TABLET,3,3,*
973,ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION,66,66,*
974,DEXAMETHASONE 0.5 MG TABLET,3,3,*
975,DEXAMETHASONE 4 MG TABLET,3,3,*
976,DEXAMETHASONE 10 MG/ML INJECTION SOLUTION,18,18,*
977,DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,8,8,*
978,DEXTROSE 25 % IN WATER (D25W) INTRAVENOUS SYRINGE,98,98,*
979,DEXTROSE 5 % IN WATER (D5W) INTRAVENOUS SOLUTION,29,29,*
980,DEXTROSE 50 % IN WATER (D50W) INTRAVENOUS SYRINGE,16,16,*
981,DIAZEPAM 2 MG TABLET,3,3,*
982,DIAZEPAM 5 MG TABLET,3,3,*
983,DIBUCAINE 1 % TOPICAL OINTMENT,61,61,*
984,DICYCLOMINE 10 MG/ML INTRAMUSCULAR SOLUTION,372,372,*
985,DICYCLOMINE 10 MG CAPSULE,3,3,*
986,DICYCLOMINE 20 MG TABLET,3,3,*
987,DIGOXIN 250 MCG/ML INJECTION SOLUTION,245,245,*
988,LEVOFLOXACIN 750 MG/150 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,81,81,*
989,DIGOXIN 125 MCG TABLET,3,3,*
990,DIGOXIN 250 MCG TABLET,3,3,*
991,DILTIAZEM 30 MG TABLET,3,3,*
992,OSELTAMIVIR 30 MG CAPSULE,23,23,*
993,DIPHENHYDRAMINE 50 MG/ML INJECTION SOLUTION,9,9,*
994,DIPHENHYDRAMINE 12.5 MG/5 ML ORAL ELIXIR,5,5,*
995,DIPHENHYDRAMINE 25 MG TABLET,3,3,*
996,DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG TABLET,3,3,*
997,TETANUS AND DIPHTHERIA TOX (PF) 5 LF UNIT-2 LF UNIT/0.5 ML IM SUSP,157,157,*
998,DIPYRIDAMOLE 25 MG TABLET,3,3,*
999,DOCUSATE SODIUM 100 MG CAPSULE,3,3,*
1000,DOCUSATE SODIUM 50 MG/5 ML ORAL LIQUID,1,1,*
1001,DOXEPIN 25 MG CAPSULE,3,3,*
1002,ACETAMINOPHEN (OFIRMEV) INJECTABLE,335,335,*
1003,DOXYCYCLINE HYCLATE 100 MG CAPSULE,3,3,*
1004,EPHEDRINE SULFATE 50 MG/ML INJECTION SOLUTION,133,133,*
1005,EPINEPHRINE 0.1 MG/ML INJECTION SYRINGE,51,51,*
1006,EPINEPHRINE 1 MG/ML INJECTION SOLUTION,29,29,*
1007,TOCILIZUMAB 400 MG/20 ML (20 MG/ML) INTRAVENOUS SOLUTION,"6,859","6,859",*
1008,ERYTHROMYCIN 5 MG/GRAM (0.5 %) EYE OINTMENT,190,190,*
1009,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION,449,449,*
1010,FERROUS SULFATE 325 MG (65 MG IRON) TABLET,3,3,*
1011,FLUOCINONIDE 0.05 % TOPICAL CREAM,26,26,*
1012,FLUOCINONIDE 0.05 % TOPICAL OINTMENT,36,36,*
1013,FLUPHENAZINE 2.5 MG/ML INJECTION SOLUTION,809,809,*
1014,FOLIC ACID 5 MG/ML INJECTION SOLUTION,300,300,*
1015,FOLIC ACID 1 MG TABLET,3,3,*
1016,FUROSEMIDE 10 MG/ML INJECTION SOLUTION,9,9,*
1017,FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION,5,5,*
1018,FUROSEMIDE 20 MG TABLET,3,3,*
1019,FUROSEMIDE 40 MG TABLET,3,3,*
